parameters,median_magnitude,toff
current=2000_tbl=1_toff=3_hstrt=0_hend=2_speed=47,7977.974920114186,3
current=2000_tbl=1_toff=3_hstrt=0_hend=3_speed=47,7574.57142567807,3
current=2000_tbl=1_toff=3_hstrt=0_hend=4_speed=47,7357.113293191211,3
current=2000_tbl=1_toff=3_hstrt=0_hend=5_speed=47,6895.030554844967,3
current=2000_tbl=1_toff=3_hstrt=0_hend=6_speed=47,6503.430924705756,3
current=2000_tbl=1_toff=3_hstrt=0_hend=7_speed=47,6125.977496263283,3
current=2000_tbl=1_toff=3_hstrt=0_hend=8_speed=47,5882.463342324312,3
current=2000_tbl=1_toff=3_hstrt=0_hend=9_speed=47,5450.172775829475,3
current=2000_tbl=1_toff=3_hstrt=0_hend=10_speed=47,5193.398034886857,3
current=2000_tbl=1_toff=3_hstrt=0_hend=11_speed=47,4917.151659041996,3
current=2000_tbl=1_toff=3_hstrt=0_hend=12_speed=47,4632.331663970297,3
current=2000_tbl=1_toff=3_hstrt=0_hend=13_speed=47,4325.02701252881,3
current=2000_tbl=1_toff=3_hstrt=0_hend=14_speed=47,4167.9440875025775,3
current=2000_tbl=1_toff=3_hstrt=0_hend=15_speed=47,4016.4457704981023,3
current=2000_tbl=1_toff=3_hstrt=1_hend=2_speed=47,7614.5279338068785,3
current=2000_tbl=1_toff=3_hstrt=1_hend=3_speed=47,7285.473419481001,3
current=2000_tbl=1_toff=3_hstrt=1_hend=4_speed=47,6859.8335645359475,3
current=2000_tbl=1_toff=3_hstrt=1_hend=5_speed=47,6573.351184316147,3
current=2000_tbl=1_toff=3_hstrt=1_hend=6_speed=47,6144.729638528257,3
current=2000_tbl=1_toff=3_hstrt=1_hend=7_speed=47,5884.675866536783,3
current=2000_tbl=1_toff=3_hstrt=1_hend=8_speed=47,5548.687221630118,3
current=2000_tbl=1_toff=3_hstrt=1_hend=9_speed=47,5280.520175451223,3
current=2000_tbl=1_toff=3_hstrt=1_hend=10_speed=47,5004.595084605358,3
current=2000_tbl=1_toff=3_hstrt=1_hend=11_speed=47,4686.753558045273,3
current=2000_tbl=1_toff=3_hstrt=1_hend=12_speed=47,4457.934051963569,3
current=2000_tbl=1_toff=3_hstrt=1_hend=13_speed=47,4263.951496617179,3
current=2000_tbl=1_toff=3_hstrt=1_hend=14_speed=47,4101.072459235416,3
current=2000_tbl=1_toff=3_hstrt=2_hend=2_speed=47,7169.4119869391725,3
current=2000_tbl=1_toff=3_hstrt=2_hend=3_speed=47,6762.334325909341,3
current=2000_tbl=1_toff=3_hstrt=2_hend=4_speed=47,6411.207134064977,3
current=2000_tbl=1_toff=3_hstrt=2_hend=5_speed=47,6048.872668689654,3
current=2000_tbl=1_toff=3_hstrt=2_hend=6_speed=47,5732.760751665988,3
current=2000_tbl=1_toff=3_hstrt=2_hend=7_speed=47,5489.225155418151,3
current=2000_tbl=1_toff=3_hstrt=2_hend=8_speed=47,5284.602391922916,3
current=2000_tbl=1_toff=3_hstrt=2_hend=9_speed=47,4925.747430373071,3
current=2000_tbl=1_toff=3_hstrt=2_hend=10_speed=47,4605.307681188482,3
current=2000_tbl=1_toff=3_hstrt=2_hend=11_speed=47,4430.805094262787,3
current=2000_tbl=1_toff=3_hstrt=2_hend=12_speed=47,4206.674316822818,3
current=2000_tbl=1_toff=3_hstrt=2_hend=13_speed=47,4120.392537585225,3
current=2000_tbl=1_toff=3_hstrt=3_hend=2_speed=47,6644.183532418275,3
current=2000_tbl=1_toff=3_hstrt=3_hend=3_speed=47,6389.700366142496,3
current=2000_tbl=1_toff=3_hstrt=3_hend=4_speed=47,6041.7212806873085,3
current=2000_tbl=1_toff=3_hstrt=3_hend=5_speed=47,5724.601756038027,3
current=2000_tbl=1_toff=3_hstrt=3_hend=6_speed=47,5466.2544089729745,3
current=2000_tbl=1_toff=3_hstrt=3_hend=7_speed=47,5276.205564958719,3
current=2000_tbl=1_toff=3_hstrt=3_hend=8_speed=47,4846.014368229971,3
current=2000_tbl=1_toff=3_hstrt=3_hend=9_speed=47,4605.18076382007,3
current=2000_tbl=1_toff=3_hstrt=3_hend=10_speed=47,4462.365438795588,3
current=2000_tbl=1_toff=3_hstrt=3_hend=11_speed=47,4229.03854675577,3
current=2000_tbl=1_toff=3_hstrt=3_hend=12_speed=47,4144.694320710425,3
current=2000_tbl=1_toff=3_hstrt=4_hend=2_speed=47,6329.618084117255,3
current=2000_tbl=1_toff=3_hstrt=4_hend=3_speed=47,5853.746067626803,3
current=2000_tbl=1_toff=3_hstrt=4_hend=4_speed=47,5617.835914506943,3
current=2000_tbl=1_toff=3_hstrt=4_hend=5_speed=47,5384.968801296383,3
current=2000_tbl=1_toff=3_hstrt=4_hend=6_speed=47,5039.962256214539,3
current=2000_tbl=1_toff=3_hstrt=4_hend=7_speed=47,4735.803507665014,3
current=2000_tbl=1_toff=3_hstrt=4_hend=8_speed=47,4515.426247499955,3
current=2000_tbl=1_toff=3_hstrt=4_hend=9_speed=47,4349.051330092339,3
current=2000_tbl=1_toff=3_hstrt=4_hend=10_speed=47,4130.847820180916,3
current=2000_tbl=1_toff=3_hstrt=4_hend=11_speed=47,4027.282039728739,3
current=2000_tbl=1_toff=3_hstrt=5_hend=2_speed=47,5879.162898100221,3
current=2000_tbl=1_toff=3_hstrt=5_hend=3_speed=47,5642.051907205,3
current=2000_tbl=1_toff=3_hstrt=5_hend=4_speed=47,5386.621722554923,3
current=2000_tbl=1_toff=3_hstrt=5_hend=5_speed=47,5089.237055086334,3
current=2000_tbl=1_toff=3_hstrt=5_hend=6_speed=47,4647.4099944209065,3
