parameters,median_magnitude,toff
current=2200_tbl=0_toff=1_hstrt=0_hend=2_speed=47,12002.170891583271,1
current=2200_tbl=0_toff=1_hstrt=0_hend=3_speed=47,11471.106630177086,1
current=2200_tbl=0_toff=1_hstrt=0_hend=4_speed=47,10890.711493573432,1
current=2200_tbl=0_toff=1_hstrt=0_hend=5_speed=47,10260.786423384587,1
current=2200_tbl=0_toff=1_hstrt=0_hend=6_speed=47,9721.574397706952,1
current=2200_tbl=0_toff=1_hstrt=0_hend=7_speed=47,9208.531601719882,1
current=2200_tbl=0_toff=1_hstrt=0_hend=8_speed=47,8608.56107226405,1
current=2200_tbl=0_toff=1_hstrt=0_hend=9_speed=47,8209.453571587592,1
current=2200_tbl=0_toff=1_hstrt=0_hend=10_speed=47,7773.845595003281,1
current=2200_tbl=0_toff=1_hstrt=0_hend=11_speed=47,7386.1055243932005,1
current=2200_tbl=0_toff=1_hstrt=0_hend=12_speed=47,6904.7264954717775,1
current=2200_tbl=0_toff=1_hstrt=0_hend=13_speed=47,6841.580980845121,1
current=2200_tbl=0_toff=1_hstrt=0_hend=14_speed=47,6310.3507354882095,1
current=2200_tbl=0_toff=1_hstrt=0_hend=15_speed=47,6168.92621953332,1
current=2200_tbl=0_toff=1_hstrt=1_hend=2_speed=47,11421.383480966573,1
current=2200_tbl=0_toff=1_hstrt=1_hend=3_speed=47,10854.088866697562,1
current=2200_tbl=0_toff=1_hstrt=1_hend=4_speed=47,10623.830602848237,1
current=2200_tbl=0_toff=1_hstrt=1_hend=5_speed=47,10018.952502509568,1
current=2200_tbl=0_toff=1_hstrt=1_hend=6_speed=47,9350.059776161881,1
current=2200_tbl=0_toff=1_hstrt=1_hend=7_speed=47,8781.927773661058,1
current=2200_tbl=0_toff=1_hstrt=1_hend=8_speed=47,8338.151623431235,1
current=2200_tbl=0_toff=1_hstrt=1_hend=9_speed=47,7832.122728608671,1
current=2200_tbl=0_toff=1_hstrt=1_hend=10_speed=47,7289.293125680531,1
current=2200_tbl=0_toff=1_hstrt=1_hend=11_speed=47,7025.057682925392,1
current=2200_tbl=0_toff=1_hstrt=1_hend=12_speed=47,6737.29708430801,1
current=2200_tbl=0_toff=1_hstrt=1_hend=13_speed=47,6396.450178586019,1
current=2200_tbl=0_toff=1_hstrt=1_hend=14_speed=47,6104.695802501098,1
current=2200_tbl=0_toff=1_hstrt=2_hend=2_speed=47,11258.099353774138,1
current=2200_tbl=0_toff=1_hstrt=2_hend=3_speed=47,10520.780289112385,1
current=2200_tbl=0_toff=1_hstrt=2_hend=4_speed=47,10023.330894710867,1
current=2200_tbl=0_toff=1_hstrt=2_hend=5_speed=47,9360.517733730723,1
current=2200_tbl=0_toff=1_hstrt=2_hend=6_speed=47,8895.07447890504,1
