freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.474e+03,1.377e+02,3.088e+01,2.643e+03
1.7,2.911e+03,1.685e+02,8.866e+01,3.169e+03
3.3,2.519e+03,1.377e+02,1.087e+02,2.766e+03
5.0,5.248e+03,1.575e+02,1.110e+02,5.517e+03
6.7,1.002e+04,1.407e+02,9.729e+01,1.025e+04
8.4,1.418e+04,1.249e+02,9.154e+01,1.439e+04
10.0,1.945e+04,1.290e+02,8.962e+01,1.967e+04
11.7,2.582e+04,1.309e+02,8.333e+01,2.603e+04
13.4,3.311e+04,1.483e+02,9.409e+01,3.335e+04
15.0,4.136e+04,1.463e+02,9.946e+01,4.161e+04
16.7,5.053e+04,1.605e+02,9.878e+01,5.079e+04
18.4,6.050e+04,1.564e+02,9.331e+01,6.075e+04
20.0,7.207e+04,1.616e+02,9.262e+01,7.232e+04
21.7,8.469e+04,1.480e+02,9.694e+01,8.493e+04
23.4,9.799e+04,1.520e+02,9.900e+01,9.824e+04
25.1,1.120e+05,1.620e+02,1.097e+02,1.123e+05
26.7,1.259e+05,1.493e+02,1.117e+02,1.262e+05
28.4,1.419e+05,1.641e+02,1.023e+02,1.421e+05
30.1,1.618e+05,1.981e+02,1.090e+02,1.621e+05
31.7,1.823e+05,2.394e+02,1.251e+02,1.827e+05
33.4,2.041e+05,2.774e+02,1.351e+02,2.045e+05
35.1,2.276e+05,3.819e+02,1.314e+02,2.281e+05
36.7,2.537e+05,5.365e+02,1.357e+02,2.543e+05
38.4,2.802e+05,8.699e+02,1.558e+02,2.813e+05
40.1,3.123e+05,1.108e+03,1.815e+02,3.136e+05
41.8,3.521e+05,1.063e+03,2.062e+02,3.533e+05
43.4,3.947e+05,1.514e+03,2.156e+02,3.965e+05
45.1,4.427e+05,2.699e+03,2.299e+02,4.457e+05
46.8,4.939e+05,3.790e+03,2.099e+02,4.979e+05
48.4,5.533e+05,4.145e+03,2.193e+02,5.577e+05
50.1,6.286e+05,2.577e+03,3.104e+02,6.315e+05
51.8,7.097e+05,1.074e+03,4.582e+02,7.112e+05
53.4,7.900e+05,2.343e+03,6.268e+02,7.930e+05
55.1,8.763e+05,7.736e+03,7.590e+02,8.848e+05
56.8,9.774e+05,2.020e+04,7.781e+02,9.984e+05
58.5,1.092e+06,3.717e+04,7.190e+02,1.129e+06
60.1,1.216e+06,5.078e+04,5.602e+02,1.267e+06
61.8,1.358e+06,6.731e+04,3.289e+02,1.426e+06
63.5,1.514e+06,9.738e+04,1.832e+02,1.612e+06
