freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.808e+02,5.485e+03,4.397e+01,6.310e+03
1.7,3.686e+03,3.230e+03,2.111e+02,7.128e+03
3.3,4.155e+03,3.935e+02,2.431e+02,4.792e+03
5.0,4.514e+03,3.025e+03,2.400e+02,7.780e+03
6.7,4.737e+03,7.921e+03,2.435e+02,1.290e+04
8.4,4.772e+03,1.241e+04,2.478e+02,1.743e+04
10.0,4.731e+03,1.770e+04,2.381e+02,2.267e+04
11.7,4.572e+03,2.397e+04,2.406e+02,2.878e+04
13.4,4.741e+03,3.168e+04,2.597e+02,3.668e+04
15.0,4.753e+03,4.105e+04,2.793e+02,4.608e+04
16.7,4.635e+03,5.197e+04,2.739e+02,5.687e+04
18.4,4.652e+03,6.529e+04,2.773e+02,7.022e+04
20.1,4.532e+03,8.093e+04,2.664e+02,8.572e+04
21.7,4.805e+03,9.708e+04,2.807e+02,1.022e+05
23.4,5.015e+03,1.140e+05,2.809e+02,1.193e+05
25.1,4.700e+03,1.320e+05,2.942e+02,1.370e+05
26.7,5.344e+03,1.500e+05,3.015e+02,1.556e+05
28.4,5.496e+03,1.713e+05,2.803e+02,1.771e+05
30.1,5.415e+03,1.973e+05,2.790e+02,2.030e+05
31.8,5.331e+03,2.220e+05,2.840e+02,2.276e+05
33.4,5.391e+03,2.480e+05,2.828e+02,2.536e+05
35.1,5.494e+03,2.811e+05,2.543e+02,2.869e+05
36.8,6.448e+03,3.284e+05,2.568e+02,3.351e+05
38.4,7.648e+03,3.924e+05,3.048e+02,4.004e+05
40.1,8.724e+03,5.012e+05,3.741e+02,5.103e+05
41.8,1.009e+04,6.533e+05,5.467e+02,6.639e+05
43.5,1.148e+04,8.006e+05,6.666e+02,8.127e+05
45.1,1.368e+04,9.496e+05,6.003e+02,9.639e+05
46.8,1.774e+04,1.193e+06,7.672e+02,1.211e+06
48.5,2.448e+04,1.563e+06,1.360e+03,1.589e+06
50.1,3.513e+04,2.115e+06,2.365e+03,2.152e+06
51.8,5.019e+04,2.995e+06,4.469e+03,3.050e+06
53.5,6.712e+04,4.477e+06,9.815e+03,4.554e+06
55.2,9.436e+04,6.526e+06,1.895e+04,6.639e+06
56.8,1.395e+05,8.398e+06,2.702e+04,8.564e+06
58.5,1.738e+05,8.973e+06,2.810e+04,9.175e+06
60.2,1.804e+05,8.034e+06,2.565e+04,8.240e+06
61.9,1.607e+05,6.573e+06,2.539e+04,6.759e+06
63.5,1.313e+05,5.387e+06,2.513e+04,5.543e+06
65.2,1.047e+05,4.919e+06,2.427e+04,5.048e+06
66.9,8.508e+04,5.197e+06,2.349e+04,5.305e+06
68.5,7.871e+04,5.924e+06,2.392e+04,6.027e+06
70.2,8.066e+04,6.813e+06,2.185e+04,6.916e+06
71.9,9.229e+04,8.144e+06,1.874e+04,8.255e+06
73.6,1.119e+05,1.010e+07,1.634e+04,1.023e+07
75.2,1.386e+05,1.281e+07,1.592e+04,1.296e+07
76.9,1.711e+05,1.558e+07,1.758e+04,1.576e+07
78.6,1.935e+05,1.708e+07,1.434e+04,1.729e+07
80.2,2.021e+05,1.672e+07,6.895e+03,1.693e+07
81.9,1.917e+05,1.528e+07,2.737e+03,1.547e+07
83.6,1.684e+05,1.318e+07,4.093e+03,1.335e+07
85.3,1.335e+05,1.083e+07,9.596e+03,1.097e+07
86.9,1.049e+05,8.727e+06,1.533e+04,8.847e+06
88.6,8.633e+04,7.096e+06,1.783e+04,7.200e+06
90.3,8.001e+04,5.838e+06,1.854e+04,5.936e+06
91.9,8.045e+04,5.157e+06,2.095e+04,5.258e+06
93.6,6.939e+04,4.771e+06,2.615e+04,4.866e+06
95.3,7.858e+04,4.361e+06,2.978e+04,4.470e+06
97.0,7.571e+04,4.166e+06,3.099e+04,4.273e+06
98.6,7.473e+04,3.956e+06,2.665e+04,4.058e+06
100.3,7.016e+04,3.667e+06,2.381e+04,3.761e+06
