freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.339e+02,9.447e+02,6.524e+01,1.344e+03
1.6,4.007e+02,7.048e+02,2.913e+02,1.397e+03
3.2,3.024e+02,2.650e+02,3.149e+02,8.823e+02
4.8,2.908e+02,9.838e+02,3.042e+02,1.579e+03
6.4,2.631e+02,2.509e+03,3.343e+02,3.106e+03
8.0,2.881e+02,3.737e+03,3.417e+02,4.367e+03
9.6,2.930e+02,5.171e+03,3.615e+02,5.826e+03
11.2,2.932e+02,6.759e+03,3.757e+02,7.427e+03
12.8,2.975e+02,8.598e+03,3.902e+02,9.286e+03
14.4,3.138e+02,1.089e+04,3.789e+02,1.159e+04
16.0,3.439e+02,1.382e+04,3.826e+02,1.455e+04
17.6,3.376e+02,1.729e+04,3.940e+02,1.802e+04
19.2,3.409e+02,2.099e+04,3.668e+02,2.169e+04
20.8,3.436e+02,2.470e+04,3.880e+02,2.543e+04
22.4,3.744e+02,2.815e+04,4.059e+02,2.893e+04
24.0,4.398e+02,3.147e+04,4.139e+02,3.233e+04
25.6,5.421e+02,3.592e+04,3.839e+02,3.684e+04
27.2,6.983e+02,4.002e+04,4.067e+02,4.112e+04
28.8,9.029e+02,4.369e+04,4.293e+02,4.502e+04
30.4,1.226e+03,4.668e+04,4.280e+02,4.833e+04
32.0,1.604e+03,5.182e+04,4.079e+02,5.384e+04
33.6,1.534e+03,6.288e+04,4.631e+02,6.488e+04
35.2,1.239e+03,7.664e+04,5.073e+02,7.839e+04
36.8,1.136e+03,9.032e+04,5.001e+02,9.196e+04
38.4,1.462e+03,1.037e+05,4.799e+02,1.057e+05
40.0,2.375e+03,1.196e+05,5.029e+02,1.224e+05
41.6,4.489e+03,1.417e+05,5.503e+02,1.467e+05
43.2,8.020e+03,1.709e+05,6.083e+02,1.795e+05
44.8,1.180e+04,1.987e+05,6.858e+02,2.112e+05
46.4,1.525e+04,2.140e+05,8.025e+02,2.300e+05
48.0,2.133e+04,2.349e+05,9.045e+02,2.571e+05
49.6,3.197e+04,2.823e+05,1.290e+03,3.155e+05
51.2,4.314e+04,3.595e+05,1.573e+03,4.042e+05
52.8,5.963e+04,4.558e+05,2.052e+03,5.174e+05
54.4,9.692e+04,5.598e+05,3.762e+03,6.605e+05
56.0,1.644e+05,6.415e+05,8.750e+03,8.147e+05
57.6,2.575e+05,6.605e+05,1.698e+04,9.350e+05
59.2,3.689e+05,6.297e+05,2.160e+04,1.020e+06
60.8,5.007e+05,6.056e+05,2.089e+04,1.127e+06
62.4,6.183e+05,6.031e+05,1.887e+04,1.240e+06
64.0,7.072e+05,6.242e+05,1.816e+04,1.350e+06
65.6,7.688e+05,6.732e+05,1.700e+04,1.459e+06
67.2,7.851e+05,7.374e+05,1.637e+04,1.539e+06
68.8,7.820e+05,8.232e+05,1.470e+04,1.620e+06
70.4,7.722e+05,9.144e+05,1.187e+04,1.698e+06
72.0,7.953e+05,1.041e+06,1.013e+04,1.847e+06
73.6,8.504e+05,1.247e+06,9.719e+03,2.108e+06
75.2,9.324e+05,1.558e+06,1.026e+04,2.501e+06
76.8,1.016e+06,1.940e+06,1.108e+04,2.967e+06
78.4,1.138e+06,2.530e+06,1.154e+04,3.680e+06
