freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.248e+02,1.176e+03,8.351e+01,1.684e+03
1.6,4.471e+02,8.187e+02,3.350e+02,1.601e+03
3.2,2.697e+02,2.959e+02,4.025e+02,9.682e+02
4.8,2.827e+02,9.117e+02,4.008e+02,1.595e+03
6.4,3.012e+02,2.631e+03,4.207e+02,3.353e+03
8.0,3.068e+02,4.153e+03,4.007e+02,4.861e+03
9.6,3.092e+02,5.683e+03,3.931e+02,6.385e+03
11.2,3.186e+02,7.334e+03,3.933e+02,8.046e+03
12.8,3.388e+02,9.310e+03,3.985e+02,1.005e+04
14.4,3.355e+02,1.182e+04,4.125e+02,1.257e+04
16.0,3.235e+02,1.493e+04,4.040e+02,1.565e+04
17.6,3.411e+02,1.866e+04,3.711e+02,1.937e+04
19.2,3.391e+02,2.292e+04,3.590e+02,2.361e+04
20.8,3.401e+02,2.658e+04,3.678e+02,2.729e+04
22.4,3.987e+02,3.054e+04,3.585e+02,3.130e+04
24.0,4.512e+02,3.548e+04,3.769e+02,3.630e+04
25.6,5.488e+02,4.067e+04,4.104e+02,4.163e+04
27.2,7.310e+02,4.614e+04,4.377e+02,4.731e+04
28.8,9.416e+02,5.047e+04,4.703e+02,5.189e+04
30.4,1.275e+03,5.382e+04,5.530e+02,5.565e+04
32.0,1.462e+03,5.976e+04,6.244e+02,6.184e+04
33.6,1.339e+03,7.240e+04,7.386e+02,7.447e+04
35.2,1.059e+03,8.910e+04,8.187e+02,9.097e+04
36.8,1.178e+03,1.064e+05,8.426e+02,1.084e+05
38.4,1.790e+03,1.254e+05,8.624e+02,1.280e+05
40.0,2.888e+03,1.495e+05,9.442e+02,1.533e+05
41.6,5.009e+03,1.814e+05,1.080e+03,1.875e+05
43.2,8.245e+03,2.173e+05,1.239e+03,2.268e+05
44.8,1.209e+04,2.445e+05,1.374e+03,2.580e+05
46.4,1.626e+04,2.587e+05,1.581e+03,2.765e+05
48.0,2.312e+04,2.888e+05,1.884e+03,3.138e+05
49.6,3.299e+04,3.584e+05,2.428e+03,3.938e+05
51.2,4.572e+04,4.711e+05,3.136e+03,5.200e+05
