freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.540e+02,4.445e+03,1.220e+02,5.021e+03
2.0,2.548e+02,3.623e+03,7.109e+01,3.949e+03
4.0,2.580e+00,3.800e+03,3.998e+00,3.807e+03
5.9,4.391e+00,8.213e+03,4.203e+00,8.221e+03
7.9,6.029e+00,1.437e+04,4.590e+00,1.438e+04
9.9,8.612e+00,2.244e+04,4.725e+00,2.245e+04
11.9,1.338e+01,3.267e+04,4.462e+00,3.268e+04
13.8,1.782e+01,4.514e+04,4.508e+00,4.517e+04
15.8,1.102e+01,5.990e+04,5.680e+00,5.992e+04
17.8,7.344e+00,7.823e+04,6.613e+00,7.824e+04
19.8,6.726e+00,1.015e+05,8.562e+00,1.015e+05
21.7,5.911e+00,1.300e+05,1.434e+01,1.300e+05
23.7,2.058e+01,1.593e+05,3.032e+01,1.593e+05
25.7,1.330e+02,1.743e+05,7.357e+01,1.745e+05
27.7,3.369e+02,1.964e+05,1.321e+02,1.969e+05
29.6,6.107e+02,2.411e+05,1.683e+02,2.419e+05
31.6,6.230e+02,2.970e+05,1.647e+02,2.978e+05
33.6,6.157e+02,3.645e+05,2.257e+02,3.653e+05
35.6,1.880e+03,4.360e+05,4.715e+02,4.384e+05
37.5,4.964e+03,5.130e+05,9.674e+02,5.190e+05
39.5,9.118e+03,6.046e+05,1.733e+03,6.155e+05
41.5,1.636e+04,7.306e+05,2.568e+03,7.496e+05
43.5,3.378e+04,8.968e+05,3.476e+03,9.341e+05
45.4,5.419e+04,1.084e+06,3.723e+03,1.142e+06
47.4,5.586e+04,1.315e+06,2.736e+03,1.374e+06
49.4,6.353e+04,1.654e+06,1.116e+03,1.719e+06
51.4,1.061e+05,2.104e+06,1.948e+03,2.212e+06
53.4,1.249e+05,2.704e+06,6.891e+03,2.836e+06
55.3,1.830e+05,3.338e+06,1.492e+04,3.536e+06
57.3,2.794e+05,3.867e+06,2.039e+04,4.167e+06
59.3,3.506e+05,4.502e+06,2.547e+04,4.878e+06
61.3,5.174e+05,5.125e+06,3.311e+04,5.675e+06
63.2,7.272e+05,6.122e+06,3.180e+04,6.881e+06
65.2,1.046e+06,8.192e+06,3.778e+04,9.276e+06
67.2,1.460e+06,1.029e+07,4.833e+04,1.180e+07
69.2,1.558e+06,1.043e+07,4.309e+04,1.203e+07
71.1,1.110e+06,1.004e+07,2.581e+04,1.117e+07
73.1,5.145e+05,9.804e+06,4.561e+04,1.036e+07
75.1,3.465e+05,8.538e+06,8.918e+04,8.974e+06
77.1,3.641e+05,6.832e+06,1.235e+05,7.320e+06
79.0,4.769e+05,5.285e+06,1.524e+05,5.915e+06
81.0,5.463e+05,4.124e+06,1.614e+05,4.832e+06
83.0,5.053e+05,3.288e+06,1.598e+05,3.953e+06
85.0,4.900e+05,2.682e+06,1.669e+05,3.339e+06
86.9,4.911e+05,2.174e+06,1.880e+05,2.853e+06
88.9,4.855e+05,1.790e+06,2.389e+05,2.514e+06
90.9,4.791e+05,1.629e+06,3.385e+05,2.446e+06
92.9,4.591e+05,1.623e+06,5.030e+05,2.585e+06
94.8,4.134e+05,1.534e+06,6.832e+05,2.630e+06
96.8,3.529e+05,1.232e+06,7.703e+05,2.355e+06
98.8,3.370e+05,8.514e+05,7.070e+05,1.895e+06
100.8,3.365e+05,5.609e+05,5.806e+05,1.478e+06
102.8,2.999e+05,4.801e+05,4.881e+05,1.268e+06
104.7,2.797e+05,6.070e+05,4.384e+05,1.325e+06
106.7,2.666e+05,9.266e+05,3.680e+05,1.561e+06
108.7,1.623e+05,1.091e+06,2.204e+05,1.473e+06
110.7,1.379e+05,8.214e+05,1.123e+05,1.072e+06
112.6,3.680e+05,6.672e+05,8.908e+04,1.124e+06
114.6,4.429e+05,5.761e+05,1.118e+05,1.131e+06
116.6,3.609e+05,4.685e+05,1.321e+05,9.615e+05
118.6,3.187e+05,3.642e+05,1.397e+05,8.226e+05
120.5,3.147e+05,2.651e+05,1.637e+05,7.434e+05
122.5,3.337e+05,1.821e+05,1.935e+05,7.093e+05
124.5,3.527e+05,1.254e+05,2.056e+05,6.836e+05
126.5,3.710e+05,8.417e+04,2.062e+05,6.613e+05
128.4,4.032e+05,7.277e+04,2.041e+05,6.801e+05
130.4,4.404e+05,9.015e+04,1.953e+05,7.259e+05
132.4,4.460e+05,1.437e+05,1.804e+05,7.700e+05
134.4,4.102e+05,1.844e+05,1.540e+05,7.485e+05
136.3,3.613e+05,1.900e+05,1.194e+05,6.707e+05
138.3,2.769e+05,1.794e+05,8.194e+04,5.382e+05
140.3,9.729e+04,8.112e+04,2.413e+04,2.025e+05
142.3,2.572e+04,3.441e+04,1.460e+03,6.159e+04
144.2,2.760e+04,3.363e+04,1.083e+03,6.231e+04
146.2,2.907e+04,2.102e+04,1.453e+03,5.154e+04
148.2,2.421e+04,1.876e+04,1.373e+03,4.435e+04
150.2,1.887e+04,1.889e+04,1.039e+03,3.880e+04
152.2,1.636e+04,1.920e+04,7.532e+02,3.632e+04
154.1,1.584e+04,2.382e+04,6.233e+02,4.028e+04
156.1,1.371e+04,2.753e+04,6.627e+02,4.191e+04
158.1,1.461e+04,3.020e+04,6.732e+02,4.549e+04
160.1,1.470e+04,3.385e+04,6.790e+02,4.923e+04
162.0,1.409e+04,3.805e+04,7.296e+02,5.287e+04
164.0,1.240e+04,4.607e+04,7.563e+02,5.923e+04
166.0,1.210e+04,5.776e+04,8.380e+02,7.070e+04
168.0,1.340e+04,6.907e+04,9.187e+02,8.338e+04
169.9,1.460e+04,8.032e+04,9.867e+02,9.590e+04
171.9,1.685e+04,9.738e+04,1.117e+03,1.153e+05
173.9,2.073e+04,1.171e+05,1.324e+03,1.392e+05
175.9,2.600e+04,1.326e+05,1.482e+03,1.601e+05
177.8,3.599e+04,1.558e+05,1.623e+03,1.934e+05
179.8,4.846e+04,1.731e+05,1.502e+03,2.230e+05
181.8,5.594e+04,1.942e+05,1.252e+03,2.514e+05
183.8,4.463e+04,2.043e+05,1.231e+03,2.502e+05
185.7,4.526e+04,1.948e+05,1.239e+03,2.413e+05
187.7,4.957e+04,1.833e+05,1.202e+03,2.341e+05
189.7,5.591e+04,1.738e+05,1.206e+03,2.309e+05
191.7,6.692e+04,1.593e+05,1.184e+03,2.275e+05
193.6,8.404e+04,1.518e+05,1.261e+03,2.371e+05
195.6,1.070e+05,1.562e+05,1.595e+03,2.648e+05
197.6,1.278e+05,1.576e+05,2.045e+03,2.875e+05
199.6,1.494e+05,1.685e+05,2.604e+03,3.205e+05
