freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.278e+03,1.176e+02,1.104e+02,7.506e+03
2.0,5.147e+03,6.704e+01,6.579e+01,5.280e+03
4.0,3.912e+03,2.018e+00,9.025e+00,3.923e+03
5.9,8.554e+03,2.775e+00,1.526e+01,8.572e+03
7.9,1.510e+04,3.139e+00,2.501e+01,1.512e+04
9.9,2.365e+04,4.094e+00,4.409e+01,2.370e+04
11.9,3.477e+04,4.996e+00,6.986e+01,3.485e+04
13.8,4.983e+04,6.430e+00,9.203e+01,4.993e+04
15.8,6.899e+04,9.607e+00,1.203e+02,6.912e+04
17.8,9.237e+04,1.475e+01,1.765e+02,9.256e+04
19.8,1.215e+05,1.511e+01,2.701e+02,1.217e+05
21.7,1.607e+05,1.613e+01,4.520e+02,1.612e+05
23.7,1.999e+05,3.102e+01,7.782e+02,2.007e+05
25.7,1.980e+05,4.789e+01,1.096e+03,1.992e+05
27.7,2.222e+05,7.731e+01,1.508e+03,2.238e+05
29.6,3.315e+05,1.422e+02,1.654e+03,3.332e+05
31.6,4.602e+05,1.768e+02,1.719e+03,4.621e+05
33.6,5.938e+05,1.597e+02,2.465e+03,5.964e+05
35.6,7.411e+05,1.644e+02,3.911e+03,7.452e+05
37.5,9.697e+05,2.238e+02,6.615e+03,9.765e+05
39.5,1.367e+06,4.517e+02,1.255e+04,1.380e+06
41.5,2.143e+06,1.722e+03,2.460e+04,2.169e+06
43.5,3.600e+06,8.448e+03,3.706e+04,3.645e+06
45.4,6.756e+06,6.125e+04,5.188e+04,6.869e+06
47.4,9.175e+06,1.771e+05,6.902e+04,9.422e+06
49.4,7.654e+06,1.571e+05,7.085e+04,7.882e+06
51.4,5.374e+06,8.772e+04,7.276e+04,5.535e+06
53.3,3.619e+06,5.424e+04,7.827e+04,3.751e+06
55.3,2.585e+06,3.452e+04,9.119e+04,2.711e+06
57.3,1.745e+06,2.192e+04,9.554e+04,1.862e+06
59.3,1.188e+06,2.015e+04,9.761e+04,1.306e+06
61.2,1.008e+06,2.578e+04,1.006e+05,1.135e+06
63.2,1.212e+06,4.170e+04,9.671e+04,1.351e+06
65.2,1.790e+06,5.989e+04,9.285e+04,1.943e+06
67.2,2.917e+06,7.691e+04,9.796e+04,3.091e+06
69.2,4.859e+06,8.527e+04,1.100e+05,5.054e+06
71.1,7.638e+06,7.954e+04,1.385e+05,7.856e+06
73.1,1.067e+07,5.475e+04,2.064e+05,1.093e+07
75.1,1.341e+07,3.472e+04,2.902e+05,1.373e+07
77.1,1.579e+07,4.280e+04,3.495e+05,1.618e+07
79.0,1.664e+07,7.996e+04,3.578e+05,1.708e+07
81.0,1.487e+07,1.163e+05,3.091e+05,1.530e+07
83.0,1.160e+07,1.353e+05,2.241e+05,1.196e+07
85.0,8.494e+06,1.373e+05,1.478e+05,8.779e+06
86.9,6.507e+06,1.290e+05,1.053e+05,6.741e+06
88.9,5.160e+06,1.165e+05,8.304e+04,5.360e+06
90.9,4.389e+06,1.169e+05,7.919e+04,4.585e+06
92.9,4.133e+06,1.253e+05,9.293e+04,4.351e+06
94.8,3.969e+06,1.369e+05,9.920e+04,4.205e+06
96.8,3.597e+06,1.428e+05,9.403e+04,3.834e+06
98.8,3.172e+06,1.290e+05,7.278e+04,3.373e+06
100.8,2.607e+06,8.040e+04,3.794e+04,2.726e+06
102.7,2.296e+06,9.314e+04,2.858e+04,2.418e+06
104.7,2.304e+06,1.051e+05,2.035e+04,2.430e+06
106.7,1.912e+06,8.418e+04,9.785e+03,2.006e+06
108.7,1.536e+06,8.177e+04,4.829e+03,1.623e+06
110.6,1.455e+06,7.121e+04,5.789e+03,1.532e+06
112.6,1.985e+06,6.183e+04,9.418e+03,2.056e+06
114.6,2.830e+06,1.018e+05,1.150e+04,2.943e+06
116.6,2.752e+06,1.168e+05,1.089e+04,2.880e+06
118.5,2.477e+06,1.081e+05,1.045e+04,2.595e+06
120.5,2.381e+06,1.032e+05,1.229e+04,2.497e+06
122.5,2.381e+06,9.726e+04,1.659e+04,2.495e+06
124.5,2.340e+06,8.936e+04,2.060e+04,2.450e+06
126.5,2.288e+06,8.567e+04,2.295e+04,2.397e+06
128.4,2.330e+06,8.481e+04,2.573e+04,2.441e+06
130.4,2.438e+06,8.339e+04,2.898e+04,2.551e+06
132.4,2.576e+06,8.399e+04,3.129e+04,2.692e+06
134.4,2.634e+06,8.824e+04,3.062e+04,2.753e+06
136.3,2.762e+06,9.872e+04,2.953e+04,2.890e+06
138.3,2.547e+06,1.013e+05,2.564e+04,2.674e+06
140.3,8.678e+05,4.799e+04,1.026e+04,9.261e+05
142.3,4.955e+04,1.554e+04,3.061e+03,6.815e+04
144.2,4.078e+04,1.221e+04,2.497e+03,5.549e+04
146.2,4.974e+04,2.082e+04,2.199e+03,7.276e+04
148.2,5.257e+04,4.513e+04,2.077e+03,9.977e+04
150.2,5.240e+04,7.652e+04,1.938e+03,1.309e+05
152.1,5.062e+04,9.167e+04,1.654e+03,1.439e+05
154.1,4.607e+04,8.961e+04,1.345e+03,1.370e+05
156.1,4.551e+04,7.348e+04,1.109e+03,1.201e+05
158.1,6.831e+04,5.781e+04,1.155e+03,1.273e+05
160.0,9.644e+04,5.013e+04,1.175e+03,1.477e+05
162.0,1.062e+05,5.294e+04,1.100e+03,1.603e+05
164.0,6.982e+04,5.893e+04,8.112e+02,1.296e+05
166.0,4.945e+04,4.443e+04,6.986e+02,9.459e+04
167.9,6.610e+04,3.154e+04,9.207e+02,9.855e+04
169.9,8.932e+04,3.099e+04,1.128e+03,1.214e+05
171.9,1.149e+05,3.421e+04,1.269e+03,1.503e+05
173.9,1.417e+05,3.830e+04,1.370e+03,1.813e+05
175.8,1.665e+05,4.607e+04,1.526e+03,2.141e+05
177.8,1.940e+05,6.166e+04,1.594e+03,2.572e+05
179.8,2.142e+05,8.327e+04,1.481e+03,2.989e+05
181.8,2.450e+05,8.959e+04,1.382e+03,3.360e+05
183.7,2.867e+05,9.164e+04,1.541e+03,3.799e+05
185.7,3.146e+05,1.010e+05,1.871e+03,4.174e+05
187.7,3.504e+05,1.179e+05,2.226e+03,4.705e+05
189.7,4.032e+05,1.435e+05,2.467e+03,5.492e+05
191.7,4.380e+05,1.616e+05,2.568e+03,6.022e+05
193.6,4.840e+05,1.753e+05,2.742e+03,6.621e+05
195.6,5.747e+05,2.026e+05,2.967e+03,7.802e+05
197.6,6.379e+05,2.276e+05,2.775e+03,8.683e+05
199.6,7.076e+05,2.445e+05,2.474e+03,9.546e+05
