freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.080e+02,1.669e+03,6.925e+01,2.347e+03
1.6,2.012e+03,2.154e+03,1.966e+02,4.362e+03
3.2,2.360e+03,1.961e+03,2.343e+02,4.555e+03
4.8,2.343e+03,2.619e+03,2.542e+02,5.216e+03
6.4,2.267e+03,3.676e+03,2.434e+02,6.187e+03
8.0,2.342e+03,5.251e+03,2.337e+02,7.827e+03
9.6,2.453e+03,6.645e+03,2.432e+02,9.341e+03
11.2,2.478e+03,8.521e+03,2.402e+02,1.124e+04
12.8,2.482e+03,1.079e+04,2.306e+02,1.351e+04
14.4,2.485e+03,1.354e+04,2.264e+02,1.625e+04
16.0,2.505e+03,1.634e+04,2.350e+02,1.908e+04
17.6,2.571e+03,1.970e+04,2.558e+02,2.252e+04
19.3,2.791e+03,2.507e+04,2.719e+02,2.813e+04
20.9,2.161e+03,3.027e+04,2.974e+02,3.272e+04
22.5,2.078e+03,3.540e+04,2.765e+02,3.775e+04
24.1,2.154e+03,4.263e+04,2.981e+02,4.508e+04
25.7,2.298e+03,5.004e+04,3.113e+02,5.265e+04
27.3,2.893e+03,5.834e+04,2.689e+02,6.150e+04
28.9,3.497e+03,6.767e+04,2.426e+02,7.141e+04
30.5,3.430e+03,7.509e+04,2.604e+02,7.878e+04
32.1,3.441e+03,8.162e+04,2.983e+02,8.536e+04
33.7,3.957e+03,9.095e+04,3.529e+02,9.526e+04
35.3,4.838e+03,1.089e+05,4.818e+02,1.142e+05
36.9,5.340e+03,1.384e+05,5.635e+02,1.443e+05
38.5,5.462e+03,1.718e+05,6.054e+02,1.778e+05
40.1,5.587e+03,2.067e+05,7.076e+02,2.130e+05
41.7,8.110e+03,2.460e+05,7.980e+02,2.549e+05
43.3,1.421e+04,2.959e+05,9.283e+02,3.110e+05
44.9,2.050e+04,3.634e+05,9.408e+02,3.848e+05
46.5,2.457e+04,4.460e+05,9.992e+02,4.716e+05
48.1,2.609e+04,5.471e+05,1.277e+03,5.745e+05
49.7,2.787e+04,6.790e+05,1.526e+03,7.084e+05
51.3,3.551e+04,8.723e+05,1.886e+03,9.097e+05
52.9,6.204e+04,1.153e+06,2.635e+03,1.218e+06
54.5,1.433e+05,1.546e+06,3.790e+03,1.693e+06
56.2,2.876e+05,2.021e+06,5.401e+03,2.314e+06
57.8,5.035e+05,2.390e+06,7.643e+03,2.902e+06
59.4,7.283e+05,2.309e+06,9.667e+03,3.047e+06
61.0,7.700e+05,1.780e+06,9.351e+03,2.559e+06
62.6,7.985e+05,1.450e+06,8.040e+03,2.256e+06
64.2,8.711e+05,1.352e+06,6.648e+03,2.230e+06
65.8,8.939e+05,1.370e+06,6.410e+03,2.270e+06
67.4,8.852e+05,1.488e+06,7.390e+03,2.380e+06
69.0,8.619e+05,1.665e+06,9.139e+03,2.536e+06
70.6,8.549e+05,1.882e+06,1.069e+04,2.748e+06
