freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.434e+01,8.216e+02,3.191e+01,9.279e+02
2.0,4.278e+01,7.222e+02,2.126e+01,7.862e+02
4.0,1.990e+00,9.155e+02,3.960e+00,9.214e+02
5.9,2.616e+00,1.966e+03,4.269e+00,1.973e+03
7.9,3.633e+00,3.412e+03,4.176e+00,3.419e+03
9.9,5.915e+00,5.275e+03,4.196e+00,5.285e+03
11.9,9.704e+00,7.610e+03,4.602e+00,7.625e+03
13.9,5.746e+00,1.041e+04,4.660e+00,1.042e+04
15.8,3.025e+00,1.364e+04,4.319e+00,1.365e+04
17.8,5.759e+00,1.729e+04,4.804e+00,1.730e+04
19.8,1.181e+01,2.181e+04,7.062e+00,2.183e+04
21.8,1.577e+01,2.723e+04,7.273e+00,2.725e+04
23.8,2.117e+01,3.307e+04,7.319e+00,3.310e+04
25.7,3.976e+01,3.807e+04,7.763e+00,3.812e+04
27.7,3.299e+01,4.314e+04,6.160e+00,4.318e+04
29.7,1.573e+01,5.052e+04,4.659e+00,5.054e+04
31.7,1.899e+01,5.959e+04,5.623e+00,5.962e+04
33.7,3.558e+01,7.019e+04,1.142e+01,7.023e+04
35.6,9.588e+01,8.228e+04,2.790e+01,8.240e+04
37.6,4.032e+02,9.519e+04,9.280e+01,9.568e+04
39.6,1.118e+03,1.094e+05,2.339e+02,1.107e+05
41.6,1.881e+03,1.262e+05,3.463e+02,1.284e+05
43.6,3.116e+03,1.452e+05,4.824e+02,1.488e+05
45.5,5.177e+03,1.666e+05,7.296e+02,1.725e+05
47.5,6.329e+03,1.937e+05,8.459e+02,2.009e+05
49.5,5.660e+03,2.250e+05,7.536e+02,2.314e+05
51.5,3.310e+03,2.595e+05,6.629e+02,2.635e+05
53.4,1.027e+03,2.990e+05,6.625e+02,3.006e+05
55.4,1.321e+03,3.461e+05,8.482e+02,3.483e+05
57.4,5.596e+03,3.972e+05,1.780e+03,4.046e+05
59.4,2.201e+04,4.425e+05,4.880e+03,4.694e+05
61.4,5.536e+04,4.783e+05,9.461e+03,5.432e+05
63.3,7.593e+04,4.988e+05,1.200e+04,5.867e+05
65.3,8.730e+04,5.217e+05,1.272e+04,6.218e+05
67.3,1.051e+05,5.848e+05,1.081e+04,7.007e+05
69.3,1.420e+05,7.005e+05,6.896e+03,8.494e+05
71.3,2.008e+05,8.723e+05,6.080e+03,1.079e+06
73.2,2.658e+05,1.107e+06,1.232e+04,1.385e+06
75.2,3.275e+05,1.337e+06,2.796e+04,1.692e+06
77.2,3.216e+05,1.487e+06,5.174e+04,1.861e+06
79.2,2.451e+05,1.578e+06,7.930e+04,1.902e+06
81.2,1.748e+05,1.570e+06,1.067e+05,1.851e+06
83.1,1.312e+05,1.529e+06,1.311e+05,1.792e+06
85.1,1.255e+05,1.468e+06,1.579e+05,1.752e+06
87.1,1.323e+05,1.397e+06,1.847e+05,1.714e+06
89.1,1.251e+05,1.260e+06,1.902e+05,1.575e+06
91.1,1.236e+05,1.063e+06,1.654e+05,1.352e+06
93.0,1.250e+05,8.608e+05,1.332e+05,1.119e+06
95.0,1.115e+05,6.991e+05,1.091e+05,9.198e+05
97.0,1.031e+05,5.888e+05,9.396e+04,7.859e+05
99.0,9.451e+04,5.051e+05,7.901e+04,6.787e+05
101.0,7.881e+04,4.753e+05,6.468e+04,6.188e+05
102.9,6.293e+04,4.604e+05,5.035e+04,5.737e+05
104.9,5.307e+04,4.521e+05,3.572e+04,5.408e+05
106.9,5.447e+04,4.569e+05,2.293e+04,5.343e+05
108.9,3.931e+04,5.166e+05,1.201e+04,5.679e+05
110.9,4.358e+04,5.588e+05,8.687e+03,6.110e+05
112.8,9.674e+04,5.546e+05,1.141e+04,6.628e+05
114.8,1.304e+05,5.646e+05,2.360e+04,7.186e+05
116.8,7.182e+04,5.149e+05,3.162e+04,6.184e+05
118.8,3.787e+04,4.412e+05,2.832e+04,5.074e+05
120.8,2.970e+04,4.127e+05,2.269e+04,4.651e+05
122.7,2.706e+04,4.119e+05,1.566e+04,4.546e+05
124.7,2.345e+04,4.140e+05,9.573e+03,4.470e+05
126.7,1.847e+04,4.223e+05,4.666e+03,4.454e+05
128.7,1.669e+04,4.334e+05,1.570e+03,4.517e+05
130.7,2.319e+04,4.577e+05,1.913e+03,4.828e+05
132.6,2.887e+04,4.799e+05,5.151e+03,5.139e+05
