freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.702e+03,3.381e+01,2.836e+01,1.765e+03
2.0,1.233e+03,2.016e+01,1.897e+01,1.273e+03
4.0,9.647e+02,1.956e+00,4.245e+00,9.709e+02
5.9,2.062e+03,2.163e+00,4.550e+00,2.068e+03
7.9,3.568e+03,2.133e+00,5.669e+00,3.576e+03
9.9,5.458e+03,2.244e+00,7.681e+00,5.468e+03
11.9,7.856e+03,2.743e+00,9.722e+00,7.868e+03
13.9,1.114e+04,3.691e+00,9.912e+00,1.115e+04
15.8,1.471e+04,5.365e+00,1.424e+01,1.473e+04
17.8,1.941e+04,7.654e+00,1.989e+01,1.944e+04
19.8,2.633e+04,1.026e+01,1.766e+01,2.636e+04
21.8,3.335e+04,1.668e+01,2.047e+01,3.339e+04
23.8,4.116e+04,2.722e+01,2.846e+01,4.122e+04
25.7,4.989e+04,4.059e+01,4.313e+01,4.997e+04
27.7,6.016e+04,2.875e+01,6.530e+01,6.025e+04
29.7,6.895e+04,2.636e+01,1.219e+02,6.910e+04
31.7,7.462e+04,4.966e+01,2.513e+02,7.492e+04
33.7,8.542e+04,6.460e+01,4.591e+02,8.594e+04
35.6,1.128e+05,6.538e+01,6.407e+02,1.135e+05
37.6,1.519e+05,7.345e+01,6.625e+02,1.527e+05
39.6,1.891e+05,1.162e+02,7.475e+02,1.899e+05
41.6,2.274e+05,1.556e+02,9.814e+02,2.286e+05
43.6,2.792e+05,1.773e+02,1.498e+03,2.809e+05
45.5,3.535e+05,2.105e+02,2.060e+03,3.557e+05
47.5,4.422e+05,3.107e+02,2.325e+03,4.448e+05
49.5,5.609e+05,4.997e+02,2.940e+03,5.644e+05
51.5,7.521e+05,5.703e+02,4.725e+03,7.574e+05
53.5,1.007e+06,6.801e+02,1.005e+04,1.018e+06
55.4,1.360e+06,1.106e+03,2.475e+04,1.386e+06
57.4,1.735e+06,1.665e+03,5.142e+04,1.788e+06
59.4,1.779e+06,1.456e+03,8.040e+04,1.861e+06
61.4,1.591e+06,5.953e+02,8.659e+04,1.679e+06
63.4,1.471e+06,2.412e+02,7.196e+04,1.544e+06
65.3,1.511e+06,3.616e+02,5.458e+04,1.566e+06
67.3,1.662e+06,8.570e+02,4.417e+04,1.707e+06
69.3,1.863e+06,1.401e+03,4.165e+04,1.906e+06
71.3,2.044e+06,2.054e+03,4.275e+04,2.089e+06
73.3,2.453e+06,3.679e+03,4.449e+04,2.501e+06
75.2,3.150e+06,6.269e+03,4.680e+04,3.203e+06
77.2,3.841e+06,9.761e+03,4.494e+04,3.896e+06
79.2,4.013e+06,1.344e+04,4.023e+04,4.066e+06
81.2,3.652e+06,1.724e+04,3.821e+04,3.707e+06
83.2,3.104e+06,2.101e+04,3.375e+04,3.159e+06
85.1,2.618e+06,2.365e+04,2.885e+04,2.670e+06
87.1,2.214e+06,2.636e+04,1.975e+04,2.260e+06
89.1,1.847e+06,2.956e+04,8.524e+03,1.885e+06
91.1,1.530e+06,3.089e+04,2.693e+03,1.564e+06
93.1,1.319e+06,3.387e+04,1.643e+03,1.354e+06
95.0,1.232e+06,4.055e+04,1.694e+03,1.275e+06
97.0,1.130e+06,4.092e+04,1.494e+03,1.172e+06
99.0,1.079e+06,4.335e+04,1.330e+03,1.124e+06
101.0,1.026e+06,5.163e+04,1.328e+03,1.079e+06
103.0,9.410e+05,6.474e+04,1.167e+03,1.007e+06
104.9,7.939e+05,8.024e+04,8.321e+02,8.749e+05
106.9,5.576e+05,8.951e+04,1.079e+03,6.481e+05
108.9,3.638e+05,8.969e+04,1.984e+03,4.555e+05
110.9,3.510e+05,7.950e+04,3.703e+03,4.342e+05
112.9,4.366e+05,6.586e+04,5.631e+03,5.081e+05
114.8,7.265e+05,7.749e+04,9.986e+03,8.139e+05
116.8,8.374e+05,6.804e+04,8.785e+03,9.142e+05
118.8,6.565e+05,5.299e+04,7.311e+03,7.168e+05
120.8,5.440e+05,4.847e+04,7.052e+03,5.996e+05
122.8,4.875e+05,5.140e+04,7.429e+03,5.464e+05
124.7,4.461e+05,5.594e+04,8.237e+03,5.103e+05
126.7,4.135e+05,6.003e+04,8.910e+03,4.825e+05
128.7,4.025e+05,6.391e+04,9.500e+03,4.759e+05
130.7,4.000e+05,6.576e+04,9.837e+03,4.756e+05
132.7,3.947e+05,6.802e+04,9.632e+03,4.723e+05
134.6,3.815e+05,7.480e+04,8.709e+03,4.650e+05
136.6,3.832e+05,8.631e+04,7.731e+03,4.773e+05
138.6,3.250e+05,8.411e+04,5.868e+03,4.150e+05
140.6,1.052e+05,4.648e+04,1.762e+03,1.534e+05
142.6,3.043e+04,3.264e+04,5.194e+02,6.360e+04
144.5,2.819e+04,3.472e+04,4.236e+02,6.334e+04
146.5,2.641e+04,4.003e+04,3.498e+02,6.679e+04
148.5,2.486e+04,4.796e+04,2.938e+02,7.311e+04
150.5,2.416e+04,5.643e+04,2.345e+02,8.082e+04
152.5,2.473e+04,6.792e+04,2.229e+02,9.287e+04
154.4,2.535e+04,7.908e+04,2.420e+02,1.047e+05
156.4,2.596e+04,8.610e+04,2.575e+02,1.123e+05
158.4,2.648e+04,9.099e+04,3.083e+02,1.178e+05
160.4,2.690e+04,9.259e+04,3.870e+02,1.199e+05
162.4,2.779e+04,9.065e+04,4.558e+02,1.189e+05
164.3,2.870e+04,8.960e+04,4.892e+02,1.188e+05
166.3,2.738e+04,8.482e+04,4.956e+02,1.127e+05
168.3,2.574e+04,7.914e+04,5.184e+02,1.054e+05
170.3,2.232e+04,7.362e+04,4.970e+02,9.644e+04
172.3,1.862e+04,6.444e+04,4.184e+02,8.348e+04
174.2,1.607e+04,5.405e+04,3.966e+02,7.051e+04
176.2,1.294e+04,4.428e+04,3.910e+02,5.761e+04
178.2,8.735e+03,3.615e+04,3.876e+02,4.527e+04
180.2,5.097e+03,3.081e+04,3.366e+02,3.625e+04
182.2,3.738e+03,2.853e+04,3.169e+02,3.258e+04
184.1,3.774e+03,2.859e+04,3.184e+02,3.268e+04
186.1,4.374e+03,2.798e+04,3.654e+02,3.272e+04
188.1,4.951e+03,2.641e+04,3.561e+02,3.171e+04
190.1,6.475e+03,2.920e+04,3.495e+02,3.602e+04
192.0,7.402e+03,3.013e+04,3.211e+02,3.785e+04
194.0,7.557e+03,3.027e+04,3.111e+02,3.814e+04
196.0,8.111e+03,3.060e+04,3.360e+02,3.904e+04
198.0,8.045e+03,3.086e+04,3.541e+02,3.926e+04
200.0,8.093e+03,3.086e+04,3.551e+02,3.931e+04
