freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.490e+02,9.930e+02,4.463e+01,1.187e+03
2.0,8.501e+01,8.238e+02,2.888e+01,9.377e+02
4.0,1.960e+00,9.292e+02,4.411e+00,9.355e+02
5.9,2.605e+00,1.994e+03,4.325e+00,2.001e+03
7.9,2.731e+00,3.465e+03,3.927e+00,3.472e+03
9.9,3.552e+00,5.414e+03,3.929e+00,5.421e+03
11.9,4.461e+00,7.862e+03,3.995e+00,7.871e+03
13.8,5.464e+00,1.066e+04,4.180e+00,1.067e+04
15.8,4.496e+00,1.388e+04,4.426e+00,1.389e+04
17.8,3.779e+00,1.779e+04,4.733e+00,1.780e+04
19.8,5.190e+00,2.281e+04,4.873e+00,2.282e+04
21.8,6.662e+00,2.916e+04,5.557e+00,2.917e+04
23.7,1.483e+01,3.581e+04,8.852e+00,3.584e+04
25.7,4.900e+01,3.947e+04,1.789e+01,3.954e+04
27.7,8.960e+01,4.494e+04,2.879e+01,4.506e+04
29.7,1.690e+02,5.592e+04,4.421e+01,5.614e+04
31.6,2.752e+02,6.993e+04,5.924e+01,7.027e+04
33.6,3.269e+02,8.672e+04,6.855e+01,8.711e+04
35.6,3.766e+02,1.046e+05,9.585e+01,1.051e+05
37.6,8.347e+02,1.229e+05,2.017e+02,1.240e+05
39.6,2.277e+03,1.413e+05,4.329e+02,1.440e+05
41.5,3.984e+03,1.642e+05,5.638e+02,1.687e+05
43.5,7.319e+03,1.969e+05,7.210e+02,2.049e+05
45.5,1.416e+04,2.382e+05,9.783e+02,2.533e+05
47.5,2.017e+04,2.858e+05,1.112e+03,3.071e+05
49.4,2.570e+04,3.495e+05,7.673e+02,3.760e+05
51.4,3.678e+04,4.260e+05,5.346e+02,4.633e+05
53.4,4.120e+04,5.258e+05,1.097e+03,5.680e+05
55.4,4.679e+04,6.306e+05,3.362e+03,6.808e+05
57.4,7.293e+04,6.804e+05,6.140e+03,7.595e+05
59.3,9.043e+04,7.276e+05,7.763e+03,8.258e+05
61.3,1.228e+05,7.858e+05,1.084e+04,9.195e+05
63.3,1.616e+05,8.227e+05,1.103e+04,9.953e+05
65.3,1.883e+05,9.635e+05,1.001e+04,1.162e+06
67.2,2.371e+05,1.316e+06,1.246e+04,1.566e+06
69.2,2.551e+05,1.852e+06,1.783e+04,2.125e+06
71.2,1.694e+05,2.439e+06,2.121e+04,2.630e+06
73.2,6.281e+04,2.618e+06,2.608e+04,2.707e+06
75.2,1.035e+05,2.340e+06,3.791e+04,2.481e+06
77.1,2.256e+05,1.869e+06,5.254e+04,2.147e+06
79.1,3.353e+05,1.443e+06,6.811e+04,1.846e+06
81.1,3.926e+05,1.151e+06,7.845e+04,1.622e+06
83.1,3.945e+05,9.534e+05,8.004e+04,1.428e+06
85.0,3.682e+05,8.130e+05,7.796e+04,1.259e+06
87.0,3.532e+05,7.235e+05,8.233e+04,1.159e+06
89.0,3.475e+05,6.798e+05,9.498e+04,1.122e+06
91.0,3.334e+05,6.300e+05,1.167e+05,1.080e+06
92.9,3.097e+05,6.180e+05,1.502e+05,1.078e+06
94.9,2.861e+05,6.203e+05,1.889e+05,1.095e+06
96.9,2.584e+05,6.004e+05,2.234e+05,1.082e+06
98.9,2.264e+05,5.441e+05,2.460e+05,1.017e+06
100.9,1.838e+05,4.345e+05,2.396e+05,8.579e+05
102.8,1.643e+05,2.997e+05,2.041e+05,6.682e+05
104.8,1.837e+05,3.565e+05,1.927e+05,7.329e+05
106.8,1.689e+05,4.635e+05,1.798e+05,8.121e+05
108.8,1.424e+05,4.273e+05,1.499e+05,7.196e+05
110.7,7.883e+04,4.561e+05,9.854e+04,6.335e+05
112.7,6.919e+04,4.485e+05,4.800e+04,5.657e+05
114.7,1.722e+05,4.097e+05,3.215e+04,6.141e+05
116.7,1.708e+05,3.257e+05,3.075e+04,5.273e+05
118.7,1.250e+05,2.782e+05,2.933e+04,4.325e+05
120.6,1.110e+05,2.467e+05,2.848e+04,3.861e+05
122.6,1.112e+05,2.168e+05,3.064e+04,3.586e+05
124.6,1.177e+05,1.936e+05,3.559e+04,3.468e+05
126.6,1.320e+05,1.750e+05,4.225e+04,3.493e+05
128.5,1.408e+05,1.523e+05,4.341e+04,3.365e+05
130.5,1.466e+05,1.467e+05,4.477e+04,3.381e+05
132.5,1.627e+05,1.772e+05,5.118e+04,3.910e+05
134.5,1.779e+05,2.160e+05,5.500e+04,4.489e+05
136.5,1.856e+05,2.390e+05,5.518e+04,4.798e+05
138.4,1.720e+05,2.291e+05,4.962e+04,4.507e+05
140.4,6.203e+04,8.677e+04,1.687e+04,1.657e+05
142.4,7.133e+03,8.658e+03,9.659e+02,1.676e+04
144.4,6.804e+03,6.353e+03,7.639e+02,1.392e+04
146.3,8.691e+03,7.392e+03,1.030e+03,1.711e+04
148.3,9.271e+03,9.461e+03,1.149e+03,1.988e+04
150.3,8.414e+03,1.336e+04,1.124e+03,2.290e+04
152.3,7.631e+03,1.854e+04,9.583e+02,2.713e+04
154.3,7.244e+03,2.344e+04,7.632e+02,3.144e+04
156.2,5.466e+03,2.723e+04,5.742e+02,3.327e+04
158.2,4.413e+03,2.469e+04,5.662e+02,2.967e+04
160.2,4.047e+03,2.382e+04,6.148e+02,2.848e+04
162.2,3.559e+03,2.709e+04,5.294e+02,3.118e+04
164.1,2.915e+03,3.319e+04,3.207e+02,3.643e+04
166.1,2.750e+03,3.956e+04,2.681e+02,4.258e+04
168.1,2.843e+03,4.539e+04,2.468e+02,4.848e+04
170.1,3.158e+03,4.642e+04,2.438e+02,4.982e+04
172.1,3.154e+03,4.680e+04,2.897e+02,5.024e+04
174.0,3.473e+03,5.418e+04,2.833e+02,5.794e+04
176.0,4.133e+03,6.220e+04,2.580e+02,6.659e+04
178.0,4.795e+03,7.405e+04,2.492e+02,7.910e+04
180.0,5.426e+03,8.852e+04,2.487e+02,9.420e+04
181.9,7.002e+03,9.044e+04,2.703e+02,9.772e+04
183.9,7.769e+03,9.313e+04,2.607e+02,1.012e+05
185.9,8.189e+03,1.002e+05,2.515e+02,1.086e+05
187.9,1.010e+04,9.373e+04,2.331e+02,1.041e+05
189.9,1.134e+04,9.783e+04,2.371e+02,1.094e+05
191.8,1.247e+04,1.008e+05,2.852e+02,1.136e+05
193.8,1.347e+04,1.004e+05,3.236e+02,1.142e+05
195.8,1.491e+04,9.685e+04,3.450e+02,1.121e+05
197.8,1.689e+04,9.544e+04,4.307e+02,1.128e+05
199.7,1.880e+04,9.545e+04,4.849e+02,1.147e+05
