freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.762e+03,2.601e+01,2.833e+01,1.817e+03
2.0,1.260e+03,1.561e+01,1.967e+01,1.295e+03
4.0,9.630e+02,1.845e+00,5.789e+00,9.706e+02
5.9,2.100e+03,2.096e+00,7.207e+00,2.109e+03
7.9,3.699e+03,2.335e+00,9.057e+00,3.711e+03
9.9,5.836e+03,2.415e+00,1.282e+01,5.851e+03
11.9,8.467e+03,2.926e+00,1.863e+01,8.489e+03
13.8,1.175e+04,3.917e+00,2.635e+01,1.179e+04
15.8,1.640e+04,5.430e+00,3.120e+01,1.644e+04
17.8,2.186e+04,7.489e+00,4.204e+01,2.191e+04
19.8,2.824e+04,1.207e+01,6.048e+01,2.831e+04
21.7,3.711e+04,1.510e+01,9.804e+01,3.723e+04
23.7,4.686e+04,1.694e+01,1.638e+02,4.704e+04
25.7,4.745e+04,3.054e+01,2.231e+02,4.771e+04
27.7,4.964e+04,3.717e+01,3.262e+02,5.000e+04
29.7,6.881e+04,6.180e+01,5.135e+02,6.939e+04
31.6,1.022e+05,7.590e+01,5.438e+02,1.028e+05
33.6,1.354e+05,6.608e+01,7.724e+02,1.362e+05
35.6,1.694e+05,8.292e+01,1.313e+03,1.708e+05
37.6,2.257e+05,1.335e+02,1.969e+03,2.278e+05
39.5,3.173e+05,1.927e+02,3.207e+03,3.207e+05
41.5,4.588e+05,2.104e+02,5.955e+03,4.650e+05
43.5,6.703e+05,3.211e+02,1.101e+04,6.816e+05
45.5,1.076e+06,1.224e+03,1.479e+04,1.092e+06
47.5,1.903e+06,5.466e+03,1.860e+04,1.927e+06
49.4,2.424e+06,1.135e+04,2.326e+04,2.459e+06
51.4,1.917e+06,1.163e+04,2.543e+04,1.954e+06
53.4,1.291e+06,8.567e+03,2.835e+04,1.328e+06
55.4,9.118e+05,5.677e+03,3.215e+04,9.497e+05
57.3,6.750e+05,3.755e+03,3.460e+04,7.134e+05
59.3,5.849e+05,5.054e+03,3.601e+04,6.259e+05
61.3,6.143e+05,7.613e+03,3.810e+04,6.600e+05
63.3,7.660e+05,1.275e+04,3.654e+04,8.153e+05
65.2,9.780e+05,1.585e+04,3.237e+04,1.026e+06
67.2,1.327e+06,1.748e+04,3.121e+04,1.375e+06
69.2,1.876e+06,1.826e+04,3.393e+04,1.928e+06
71.2,2.641e+06,1.898e+04,3.759e+04,2.698e+06
73.2,3.476e+06,1.770e+04,4.272e+04,3.536e+06
75.1,3.985e+06,1.322e+04,4.943e+04,4.047e+06
77.1,3.776e+06,1.000e+04,5.029e+04,3.837e+06
79.1,3.076e+06,1.175e+04,4.035e+04,3.129e+06
81.1,2.271e+06,1.828e+04,2.927e+04,2.318e+06
83.0,1.808e+06,2.693e+04,2.345e+04,1.859e+06
85.0,1.526e+06,3.226e+04,1.918e+04,1.577e+06
87.0,1.324e+06,3.349e+04,1.591e+04,1.373e+06
89.0,1.220e+06,3.509e+04,1.472e+04,1.270e+06
90.9,1.136e+06,3.663e+04,1.565e+04,1.188e+06
92.9,1.056e+06,3.793e+04,1.900e+04,1.113e+06
94.9,9.765e+05,3.860e+04,2.254e+04,1.038e+06
96.9,9.172e+05,3.978e+04,2.579e+04,9.828e+05
98.9,8.526e+05,3.862e+04,2.512e+04,9.163e+05
100.8,7.649e+05,3.494e+04,1.975e+04,8.196e+05
