freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.778e+03,1.107e+02,3.392e+01,2.923e+03
1.7,3.068e+03,3.012e+02,8.347e+01,3.453e+03
3.3,2.521e+03,3.591e+02,8.096e+01,2.961e+03
5.0,5.653e+03,3.491e+02,8.593e+01,6.088e+03
6.7,1.033e+04,3.560e+02,8.795e+01,1.077e+04
8.3,1.509e+04,3.601e+02,7.945e+01,1.553e+04
10.0,2.106e+04,3.707e+02,7.720e+01,2.151e+04
11.7,2.773e+04,3.166e+02,7.987e+01,2.813e+04
13.4,3.599e+04,3.170e+02,9.309e+01,3.640e+04
15.0,4.494e+04,3.547e+02,8.366e+01,4.538e+04
16.7,5.462e+04,3.492e+02,7.895e+01,5.505e+04
18.4,6.595e+04,3.383e+02,8.687e+01,6.638e+04
20.0,7.937e+04,3.247e+02,9.156e+01,7.979e+04
21.7,9.209e+04,3.153e+02,8.631e+01,9.249e+04
23.4,1.045e+05,3.507e+02,9.032e+01,1.049e+05
25.0,1.212e+05,4.222e+02,9.310e+01,1.218e+05
26.7,1.430e+05,5.111e+02,9.483e+01,1.436e+05
28.4,1.667e+05,6.262e+02,1.064e+02,1.674e+05
30.0,1.904e+05,7.591e+02,1.097e+02,1.912e+05
31.7,2.145e+05,1.035e+03,1.115e+02,2.156e+05
33.4,2.407e+05,1.650e+03,1.416e+02,2.425e+05
35.0,2.713e+05,2.327e+03,1.567e+02,2.738e+05
36.7,3.069e+05,2.185e+03,1.646e+02,3.093e+05
38.4,3.459e+05,1.299e+03,1.553e+02,3.474e+05
40.1,3.912e+05,7.112e+02,1.302e+02,3.920e+05
41.7,4.448e+05,4.393e+02,1.199e+02,4.453e+05
43.4,5.035e+05,4.415e+02,1.341e+02,5.041e+05
45.1,5.593e+05,9.857e+02,2.010e+02,5.605e+05
46.7,6.270e+05,3.737e+03,3.761e+02,6.311e+05
48.4,7.061e+05,9.563e+03,6.226e+02,7.163e+05
50.1,7.996e+05,1.751e+04,8.002e+02,8.179e+05
51.7,9.002e+05,2.120e+04,8.004e+02,9.222e+05
53.4,1.017e+06,1.914e+04,6.395e+02,1.037e+06
55.1,1.146e+06,1.971e+04,4.701e+02,1.167e+06
56.7,1.286e+06,2.307e+04,3.624e+02,1.309e+06
58.4,1.454e+06,2.584e+04,2.658e+02,1.480e+06
60.1,1.672e+06,2.876e+04,1.707e+02,1.701e+06
61.7,1.958e+06,3.742e+04,1.725e+02,1.996e+06
63.4,2.340e+06,6.455e+04,4.882e+02,2.405e+06
65.1,2.835e+06,1.046e+05,1.536e+03,2.941e+06
66.8,3.414e+06,1.110e+05,3.886e+03,3.529e+06
68.4,4.084e+06,7.945e+04,7.769e+03,4.171e+06
70.1,4.851e+06,2.615e+04,1.423e+04,4.891e+06
71.8,5.882e+06,2.909e+04,2.696e+04,5.938e+06
73.4,6.782e+06,4.915e+04,5.484e+04,6.886e+06
75.1,7.599e+06,1.055e+05,8.534e+04,7.790e+06
76.8,8.244e+06,1.295e+05,1.100e+05,8.484e+06
78.4,8.715e+06,7.956e+04,1.247e+05,8.919e+06
80.1,8.565e+06,5.289e+04,1.242e+05,8.742e+06
81.8,7.795e+06,4.070e+04,1.115e+05,7.947e+06
83.4,6.784e+06,6.113e+04,9.563e+04,6.941e+06
85.1,5.853e+06,6.005e+04,8.788e+04,6.001e+06
86.8,4.649e+06,4.494e+04,7.516e+04,4.769e+06
88.4,3.582e+06,5.249e+04,6.147e+04,3.696e+06
90.1,2.846e+06,7.546e+04,4.736e+04,2.969e+06
91.8,2.521e+06,1.101e+05,3.190e+04,2.663e+06
93.5,2.404e+06,1.390e+05,1.883e+04,2.562e+06
95.1,2.143e+06,1.310e+05,1.226e+04,2.286e+06
96.8,1.856e+06,1.137e+05,1.247e+04,1.982e+06
98.5,1.628e+06,1.147e+05,1.455e+04,1.758e+06
100.1,1.497e+06,1.920e+05,1.826e+04,1.708e+06
101.8,1.567e+06,3.814e+05,2.377e+04,1.972e+06
103.5,1.406e+06,3.331e+05,1.603e+04,1.756e+06
105.1,1.027e+06,9.517e+04,5.351e+03,1.128e+06
106.8,8.147e+05,2.890e+04,2.747e+03,8.463e+05
108.5,6.868e+05,1.979e+04,4.850e+03,7.114e+05
110.1,5.872e+05,1.681e+04,8.198e+03,6.122e+05
111.8,5.416e+05,2.542e+04,1.234e+04,5.794e+05
113.5,5.237e+05,4.497e+04,1.554e+04,5.842e+05
115.1,5.553e+05,6.076e+04,1.347e+04,6.295e+05
116.8,6.121e+05,6.936e+04,9.569e+03,6.911e+05
118.5,6.630e+05,7.372e+04,7.081e+03,7.438e+05
120.2,7.347e+05,7.688e+04,6.530e+03,8.181e+05
121.8,8.364e+05,7.813e+04,8.769e+03,9.233e+05
123.5,9.609e+05,7.739e+04,1.096e+04,1.049e+06
125.2,1.094e+06,7.162e+04,1.180e+04,1.178e+06
126.8,1.258e+06,6.519e+04,1.182e+04,1.335e+06
128.5,1.490e+06,6.611e+04,7.681e+03,1.564e+06
130.2,1.819e+06,6.715e+04,6.028e+03,1.892e+06
131.8,2.083e+06,6.608e+04,6.665e+03,2.156e+06
133.5,1.360e+06,4.420e+04,4.471e+03,1.409e+06
135.2,1.941e+05,1.657e+04,8.383e+02,2.115e+05
136.8,5.936e+04,1.297e+04,5.893e+02,7.292e+04
138.5,6.012e+04,1.197e+04,7.707e+02,7.286e+04
140.2,6.006e+04,1.056e+04,9.251e+02,7.155e+04
141.8,6.181e+04,9.796e+03,1.044e+03,7.265e+04
143.5,6.535e+04,9.413e+03,1.062e+03,7.583e+04
145.2,7.303e+04,9.294e+03,8.846e+02,8.321e+04
146.9,8.736e+04,9.151e+03,7.138e+02,9.722e+04
148.5,1.053e+05,9.182e+03,8.074e+02,1.152e+05
150.2,1.336e+05,1.001e+04,1.106e+03,1.447e+05
151.9,1.812e+05,1.050e+04,1.341e+03,1.931e+05
153.5,2.154e+05,1.044e+04,1.473e+03,2.273e+05
155.2,2.509e+05,9.417e+03,1.221e+03,2.615e+05
156.9,2.798e+05,8.802e+03,9.373e+02,2.895e+05
158.5,2.932e+05,9.057e+03,1.044e+03,3.033e+05
160.2,2.926e+05,9.110e+03,1.042e+03,3.027e+05
161.9,2.868e+05,1.699e+04,9.412e+02,3.047e+05
163.5,2.618e+05,5.469e+04,8.207e+02,3.173e+05
165.2,2.282e+05,1.653e+05,1.182e+03,3.947e+05
166.9,2.779e+05,3.192e+05,2.948e+03,6.000e+05
168.5,3.290e+05,1.531e+05,2.179e+03,4.842e+05
170.2,3.336e+05,1.407e+04,1.130e+03,3.488e+05
171.9,3.390e+05,5.993e+03,1.276e+03,3.462e+05
173.6,3.520e+05,6.682e+03,1.516e+03,3.602e+05
175.2,3.946e+05,8.380e+03,2.030e+03,4.050e+05
176.9,4.038e+05,9.870e+03,2.515e+03,4.162e+05
178.6,3.869e+05,1.055e+04,2.791e+03,4.003e+05
180.2,3.666e+05,1.134e+04,2.882e+03,3.808e+05
181.9,3.835e+05,1.247e+04,3.293e+03,3.993e+05
183.6,4.067e+05,1.637e+04,3.465e+03,4.265e+05
185.2,3.793e+05,1.885e+04,3.298e+03,4.014e+05
186.9,3.546e+05,2.356e+04,2.953e+03,3.812e+05
188.6,3.350e+05,3.176e+04,2.420e+03,3.692e+05
190.2,3.359e+05,4.035e+04,1.919e+03,3.781e+05
