freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.561e+03,5.509e+01,3.696e+01,2.653e+03
1.7,2.413e+03,8.945e+01,7.674e+01,2.579e+03
3.3,1.333e+03,8.119e+01,7.792e+01,1.492e+03
5.0,4.159e+03,9.220e+01,7.814e+01,4.329e+03
6.7,9.071e+03,9.332e+01,7.797e+01,9.242e+03
8.4,1.361e+04,9.118e+01,7.298e+01,1.377e+04
10.0,1.900e+04,8.041e+01,7.229e+01,1.915e+04
11.7,2.534e+04,7.902e+01,7.471e+01,2.549e+04
13.4,3.288e+04,9.029e+01,7.152e+01,3.305e+04
15.0,4.140e+04,9.850e+01,7.069e+01,4.157e+04
16.7,5.102e+04,9.953e+01,7.744e+01,5.119e+04
18.4,6.167e+04,1.042e+02,8.012e+01,6.185e+04
20.1,7.345e+04,1.150e+02,7.104e+01,7.363e+04
21.7,8.640e+04,1.899e+02,7.741e+01,8.667e+04
23.4,1.004e+05,2.982e+02,7.983e+01,1.007e+05
25.1,1.147e+05,3.542e+02,7.822e+01,1.151e+05
26.7,1.296e+05,3.951e+02,8.475e+01,1.300e+05
28.4,1.466e+05,3.644e+02,9.155e+01,1.471e+05
30.1,1.665e+05,3.458e+02,9.959e+01,1.670e+05
31.8,1.876e+05,4.165e+02,1.059e+02,1.881e+05
33.4,2.115e+05,6.367e+02,1.154e+02,2.122e+05
35.1,2.393e+05,1.006e+03,1.297e+02,2.404e+05
36.8,2.678e+05,1.421e+03,1.346e+02,2.693e+05
38.4,2.961e+05,1.615e+03,1.188e+02,2.978e+05
40.1,3.310e+05,1.836e+03,1.175e+02,3.329e+05
41.8,3.723e+05,2.467e+03,1.197e+02,3.749e+05
43.5,4.183e+05,3.572e+03,1.171e+02,4.220e+05
45.1,4.690e+05,4.294e+03,1.228e+02,4.735e+05
46.8,5.274e+05,4.305e+03,1.347e+02,5.318e+05
48.5,5.893e+05,4.886e+03,1.558e+02,5.944e+05
50.2,6.595e+05,5.506e+03,1.951e+02,6.652e+05
51.8,7.384e+05,6.154e+03,2.288e+02,7.448e+05
53.5,8.222e+05,6.571e+03,2.862e+02,8.290e+05
55.2,9.105e+05,6.397e+03,3.230e+02,9.173e+05
56.8,1.014e+06,6.706e+03,4.664e+02,1.022e+06
58.5,1.128e+06,8.888e+03,7.657e+02,1.137e+06
60.2,1.242e+06,1.316e+04,1.012e+03,1.256e+06
61.9,1.373e+06,1.788e+04,9.477e+02,1.392e+06
63.5,1.545e+06,2.147e+04,7.055e+02,1.567e+06
65.2,1.769e+06,2.682e+04,8.285e+02,1.797e+06
66.9,2.081e+06,3.470e+04,1.574e+03,2.117e+06
68.5,2.501e+06,8.589e+04,3.288e+03,2.590e+06
70.2,3.028e+06,1.754e+05,6.427e+03,3.210e+06
71.9,3.742e+06,1.262e+05,1.029e+04,3.879e+06
73.6,4.630e+06,1.179e+05,1.447e+04,4.763e+06
75.2,5.467e+06,1.534e+05,2.167e+04,5.642e+06
76.9,6.179e+06,1.321e+05,3.624e+04,6.348e+06
78.6,6.812e+06,6.306e+04,5.760e+04,6.933e+06
80.2,7.168e+06,3.354e+04,8.815e+04,7.289e+06
81.9,7.486e+06,2.774e+04,1.326e+05,7.646e+06
83.6,7.201e+06,2.018e+04,1.785e+05,7.399e+06
85.3,6.296e+06,2.616e+04,2.106e+05,6.533e+06
86.9,5.232e+06,3.309e+04,2.276e+05,5.493e+06
88.6,4.344e+06,4.094e+04,2.260e+05,4.611e+06
90.3,3.594e+06,4.198e+04,2.007e+05,3.836e+06
91.9,2.966e+06,4.287e+04,1.587e+05,3.167e+06
93.6,2.562e+06,6.176e+04,1.189e+05,2.743e+06
95.3,2.340e+06,9.541e+04,8.270e+04,2.518e+06
97.0,2.152e+06,1.144e+05,4.915e+04,2.316e+06
98.6,1.980e+06,1.169e+05,3.307e+04,2.130e+06
100.3,1.784e+06,1.009e+05,2.975e+04,1.915e+06
102.0,1.544e+06,7.658e+04,3.351e+04,1.654e+06
