freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.086e+02,5.199e+02,4.352e+03,5.580e+03
1.6,3.356e+03,1.923e+03,2.749e+03,8.028e+03
3.2,4.207e+03,2.202e+03,5.185e+02,6.928e+03
4.8,5.113e+03,2.468e+03,3.396e+03,1.098e+04
6.4,5.132e+03,2.494e+03,1.017e+04,1.779e+04
8.0,4.516e+03,2.383e+03,1.629e+04,2.319e+04
9.6,4.147e+03,2.482e+03,2.323e+04,2.986e+04
11.2,4.374e+03,2.423e+03,3.134e+04,3.814e+04
12.8,4.608e+03,2.468e+03,4.033e+04,4.741e+04
14.4,4.933e+03,2.519e+03,5.116e+04,5.861e+04
16.0,4.933e+03,2.672e+03,6.344e+04,7.105e+04
17.6,4.672e+03,2.692e+03,7.644e+04,8.381e+04
19.2,4.144e+03,2.593e+03,9.030e+04,9.704e+04
20.8,3.929e+03,2.620e+03,1.076e+05,1.142e+05
22.4,4.420e+03,2.890e+03,1.262e+05,1.335e+05
24.0,4.655e+03,2.981e+03,1.451e+05,1.528e+05
25.5,4.915e+03,3.150e+03,1.617e+05,1.697e+05
27.1,4.894e+03,3.114e+03,1.830e+05,1.910e+05
28.7,4.429e+03,3.140e+03,2.113e+05,2.188e+05
30.3,4.158e+03,3.737e+03,2.426e+05,2.505e+05
31.9,3.916e+03,4.085e+03,2.774e+05,2.854e+05
33.5,4.099e+03,4.485e+03,3.157e+05,3.243e+05
35.1,4.790e+03,4.686e+03,3.590e+05,3.685e+05
36.7,5.443e+03,4.844e+03,4.046e+05,4.148e+05
38.3,5.119e+03,4.744e+03,4.483e+05,4.582e+05
39.9,4.669e+03,4.687e+03,5.021e+05,5.115e+05
41.5,4.230e+03,5.232e+03,5.638e+05,5.733e+05
43.1,3.906e+03,6.954e+03,6.326e+05,6.435e+05
44.7,4.184e+03,9.561e+03,7.104e+05,7.241e+05
46.3,5.355e+03,1.211e+04,7.996e+05,8.171e+05
47.9,6.156e+03,1.392e+04,9.011e+05,9.212e+05
49.5,6.700e+03,1.560e+04,1.016e+06,1.039e+06
