freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.543e+03,2.101e+04,5.812e+02,3.013e+04
1.6,1.021e+04,1.546e+04,7.122e+02,2.638e+04
3.2,6.723e+03,3.646e+03,4.052e+02,1.077e+04
4.8,6.882e+03,3.980e+03,3.972e+02,1.126e+04
6.4,6.840e+03,4.069e+03,3.978e+02,1.131e+04
8.0,7.757e+03,4.169e+03,4.111e+02,1.234e+04
9.6,7.729e+03,2.061e+04,4.211e+02,2.876e+04
11.2,7.240e+03,6.391e+04,4.376e+02,7.159e+04
12.8,7.715e+03,9.261e+04,4.277e+02,1.008e+05
14.4,8.334e+03,1.188e+05,4.008e+02,1.276e+05
16.0,8.279e+03,1.509e+05,3.766e+02,1.595e+05
17.6,8.701e+03,1.877e+05,4.171e+02,1.968e+05
19.2,7.889e+03,2.289e+05,5.048e+02,2.373e+05
20.8,8.618e+03,2.748e+05,5.702e+02,2.840e+05
22.4,7.232e+03,3.280e+05,5.409e+02,3.358e+05
24.0,8.306e+03,3.867e+05,4.955e+02,3.955e+05
25.6,1.050e+04,4.464e+05,5.644e+02,4.575e+05
27.1,1.171e+04,5.197e+05,6.229e+02,5.320e+05
28.7,1.220e+04,6.167e+05,5.549e+02,6.295e+05
30.3,1.119e+04,7.217e+05,5.865e+02,7.335e+05
31.9,1.190e+04,8.460e+05,6.818e+02,8.586e+05
33.5,1.476e+04,9.993e+05,7.639e+02,1.015e+06
35.1,1.762e+04,1.191e+06,7.562e+02,1.209e+06
36.7,2.559e+04,1.423e+06,1.065e+03,1.449e+06
38.3,3.771e+04,1.713e+06,1.543e+03,1.752e+06
39.9,5.362e+04,1.984e+06,2.254e+03,2.040e+06
41.5,7.802e+04,2.214e+06,3.352e+03,2.295e+06
43.1,1.121e+05,2.589e+06,4.680e+03,2.706e+06
44.7,1.378e+05,3.208e+06,6.533e+03,3.353e+06
46.3,1.677e+05,4.033e+06,1.053e+04,4.211e+06
47.9,2.362e+05,5.150e+06,1.828e+04,5.404e+06
49.5,4.096e+05,6.784e+06,3.198e+04,7.225e+06
51.1,9.357e+05,9.235e+06,6.581e+04,1.024e+07
52.7,3.029e+06,1.340e+07,2.294e+05,1.666e+07
54.3,6.999e+06,1.659e+07,4.493e+05,2.404e+07
55.9,1.001e+07,1.629e+07,4.658e+05,2.677e+07
57.5,1.154e+07,1.327e+07,3.772e+05,2.519e+07
59.1,1.344e+07,1.223e+07,3.796e+05,2.605e+07
60.7,1.542e+07,1.308e+07,5.115e+05,2.901e+07
62.3,1.607e+07,1.375e+07,4.923e+05,3.031e+07
63.9,1.621e+07,1.467e+07,3.952e+05,3.127e+07
