freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.790e+03,1.019e+02,4.439e+01,3.937e+03
1.7,7.765e+03,2.280e+02,1.500e+02,8.143e+03
3.3,7.701e+03,2.125e+02,1.824e+02,8.096e+03
5.0,9.943e+03,2.174e+02,1.689e+02,1.033e+04
6.7,1.581e+04,2.521e+02,1.731e+02,1.624e+04
8.4,2.041e+04,2.705e+02,1.784e+02,2.086e+04
10.0,2.614e+04,2.428e+02,1.748e+02,2.656e+04
11.7,3.342e+04,2.478e+02,1.867e+02,3.386e+04
13.4,4.110e+04,2.583e+02,1.859e+02,4.154e+04
15.1,5.084e+04,2.594e+02,1.764e+02,5.127e+04
16.7,6.258e+04,2.621e+02,1.956e+02,6.304e+04
18.4,7.358e+04,2.680e+02,1.932e+02,7.404e+04
20.1,8.615e+04,2.778e+02,1.799e+02,8.661e+04
21.8,1.001e+05,2.852e+02,1.726e+02,1.005e+05
23.4,1.132e+05,2.871e+02,1.813e+02,1.137e+05
25.1,1.281e+05,3.095e+02,2.000e+02,1.286e+05
26.8,1.437e+05,2.866e+02,1.812e+02,1.441e+05
28.4,1.607e+05,2.857e+02,1.734e+02,1.612e+05
30.1,1.809e+05,4.695e+02,1.942e+02,1.815e+05
31.8,2.059e+05,7.335e+02,2.231e+02,2.069e+05
33.5,2.305e+05,8.945e+02,2.305e+02,2.317e+05
35.1,2.560e+05,1.074e+03,2.229e+02,2.573e+05
36.8,2.835e+05,1.292e+03,2.199e+02,2.850e+05
38.5,3.124e+05,1.617e+03,2.460e+02,3.143e+05
40.2,3.450e+05,1.654e+03,2.800e+02,3.469e+05
41.8,3.835e+05,1.659e+03,3.025e+02,3.855e+05
43.5,4.232e+05,2.090e+03,3.136e+02,4.256e+05
45.2,4.627e+05,2.312e+03,3.060e+02,4.653e+05
46.9,5.079e+05,2.104e+03,2.978e+02,5.103e+05
48.5,5.597e+05,1.931e+03,3.307e+02,5.620e+05
50.2,6.139e+05,2.192e+03,4.221e+02,6.165e+05
51.9,6.737e+05,3.019e+03,5.563e+02,6.773e+05
53.5,7.412e+05,5.814e+03,7.232e+02,7.477e+05
55.2,8.208e+05,1.243e+04,8.298e+02,8.341e+05
56.9,8.948e+05,2.155e+04,8.332e+02,9.172e+05
58.6,9.738e+05,3.006e+04,6.190e+02,1.004e+06
60.2,1.057e+06,3.543e+04,3.756e+02,1.093e+06
61.9,1.143e+06,3.760e+04,2.958e+02,1.181e+06
63.6,1.241e+06,4.111e+04,3.492e+02,1.282e+06
65.3,1.347e+06,4.931e+04,7.439e+02,1.397e+06
66.9,1.467e+06,6.428e+04,1.788e+03,1.533e+06
68.6,1.625e+06,8.098e+04,4.041e+03,1.710e+06
70.3,1.806e+06,9.219e+04,6.876e+03,1.905e+06
72.0,2.008e+06,9.516e+04,8.890e+03,2.112e+06
73.6,2.289e+06,1.020e+05,1.105e+04,2.402e+06
75.3,2.638e+06,1.237e+05,1.545e+04,2.777e+06
77.0,3.060e+06,1.340e+05,2.265e+04,3.217e+06
78.6,3.599e+06,1.008e+05,3.105e+04,3.731e+06
80.3,4.226e+06,8.090e+04,3.555e+04,4.342e+06
