freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.937e+03,1.216e+04,9.643e+01,1.419e+04
1.7,1.172e+04,7.240e+03,4.013e+02,1.937e+04
3.3,1.349e+04,1.046e+03,4.842e+02,1.503e+04
5.0,1.440e+04,3.778e+03,4.736e+02,1.865e+04
6.7,1.547e+04,8.968e+03,5.133e+02,2.495e+04
8.4,1.489e+04,1.354e+04,5.326e+02,2.896e+04
10.0,1.386e+04,1.911e+04,5.367e+02,3.351e+04
11.7,1.447e+04,2.602e+04,5.152e+02,4.101e+04
13.4,1.528e+04,3.455e+04,5.051e+02,5.033e+04
15.1,1.479e+04,4.483e+04,5.251e+02,6.015e+04
16.7,1.475e+04,5.614e+04,5.518e+02,7.144e+04
18.4,1.559e+04,6.903e+04,5.700e+02,8.519e+04
20.1,1.518e+04,8.416e+04,5.770e+02,9.992e+04
21.8,1.416e+04,1.012e+05,5.537e+02,1.159e+05
23.4,1.456e+04,1.189e+05,5.972e+02,1.340e+05
25.1,1.487e+04,1.356e+05,5.843e+02,1.511e+05
26.8,1.324e+04,1.500e+05,5.738e+02,1.638e+05
28.4,1.429e+04,1.677e+05,5.367e+02,1.825e+05
30.1,1.489e+04,1.921e+05,5.578e+02,2.076e+05
31.8,1.608e+04,2.133e+05,5.851e+02,2.300e+05
33.5,1.548e+04,2.294e+05,5.960e+02,2.455e+05
35.1,1.280e+04,2.506e+05,5.528e+02,2.640e+05
36.8,1.413e+04,2.898e+05,5.639e+02,3.045e+05
38.5,1.594e+04,3.541e+05,7.024e+02,3.707e+05
40.2,1.470e+04,4.475e+05,7.552e+02,4.629e+05
41.8,1.585e+04,5.514e+05,8.617e+02,5.682e+05
43.5,1.485e+04,6.326e+05,8.022e+02,6.483e+05
45.2,1.602e+04,7.282e+05,7.503e+02,7.450e+05
46.9,1.860e+04,8.597e+05,9.813e+02,8.792e+05
48.5,2.204e+04,1.011e+06,1.236e+03,1.034e+06
50.2,2.549e+04,1.197e+06,1.718e+03,1.225e+06
51.9,2.774e+04,1.475e+06,2.927e+03,1.506e+06
53.5,3.071e+04,2.071e+06,5.593e+03,2.108e+06
55.2,4.101e+04,3.096e+06,1.016e+04,3.147e+06
56.9,6.032e+04,4.346e+06,1.632e+04,4.422e+06
58.6,9.350e+04,5.648e+06,2.136e+04,5.763e+06
60.2,1.389e+05,6.979e+06,2.686e+04,7.145e+06
61.9,1.832e+05,8.524e+06,3.931e+04,8.747e+06
63.6,2.121e+05,1.114e+07,5.437e+04,1.141e+07
65.3,2.045e+05,1.467e+07,6.411e+04,1.494e+07
66.9,1.873e+05,1.791e+07,6.000e+04,1.816e+07
68.6,1.564e+05,2.077e+07,4.580e+04,2.097e+07
70.3,1.427e+05,2.404e+07,3.237e+04,2.422e+07
72.0,1.446e+05,2.815e+07,2.216e+04,2.831e+07
73.6,1.571e+05,3.522e+07,1.406e+04,3.539e+07
75.3,2.089e+05,4.558e+07,7.157e+03,4.579e+07
77.0,2.825e+05,5.491e+07,3.013e+03,5.519e+07
78.6,3.586e+05,6.129e+07,7.509e+03,6.165e+07
80.3,4.207e+05,6.346e+07,1.700e+04,6.390e+07
82.0,4.499e+05,5.915e+07,2.444e+04,5.962e+07
83.7,4.118e+05,4.797e+07,2.777e+04,4.841e+07
85.3,3.448e+05,3.544e+07,2.590e+04,3.582e+07
87.0,2.889e+05,2.556e+07,2.106e+04,2.587e+07
88.7,2.542e+05,1.942e+07,2.111e+04,1.969e+07
90.4,2.333e+05,1.621e+07,2.101e+04,1.646e+07
92.0,2.126e+05,1.403e+07,1.218e+04,1.425e+07
93.7,1.889e+05,1.230e+07,5.900e+03,1.250e+07
95.4,1.935e+05,1.161e+07,5.221e+03,1.181e+07
97.1,1.758e+05,1.078e+07,8.637e+03,1.097e+07
98.7,1.667e+05,9.421e+06,1.230e+04,9.600e+06
100.4,1.774e+05,8.045e+06,1.320e+04,8.236e+06
102.1,1.824e+05,6.576e+06,2.114e+04,6.780e+06
103.7,1.903e+05,5.203e+06,2.986e+04,5.423e+06
105.4,2.130e+05,4.105e+06,3.021e+04,4.348e+06
107.1,2.410e+05,3.108e+06,2.793e+04,3.377e+06
108.8,2.486e+05,2.444e+06,2.747e+04,2.720e+06
110.4,2.326e+05,2.388e+06,2.337e+04,2.644e+06
112.1,2.265e+05,3.071e+06,2.622e+04,3.324e+06
113.8,2.408e+05,4.684e+06,3.949e+04,4.965e+06
115.5,2.507e+05,5.089e+06,4.347e+04,5.384e+06
117.1,2.662e+05,4.728e+06,3.993e+04,5.034e+06
118.8,2.993e+05,4.626e+06,3.325e+04,4.959e+06
120.5,3.282e+05,4.528e+06,2.491e+04,4.881e+06
122.2,3.640e+05,4.358e+06,1.800e+04,4.740e+06
123.8,3.962e+05,4.191e+06,1.336e+04,4.601e+06
125.5,4.216e+05,4.085e+06,8.194e+03,4.515e+06
127.2,4.386e+05,4.057e+06,3.732e+03,4.499e+06
128.8,4.943e+05,4.132e+06,2.986e+03,4.629e+06
130.5,5.509e+05,4.119e+06,3.287e+03,4.673e+06
132.2,5.618e+05,3.817e+06,2.956e+03,4.382e+06
133.9,2.762e+05,1.702e+06,1.592e+03,1.980e+06
135.5,5.353e+04,1.986e+05,8.287e+02,2.529e+05
137.2,4.677e+04,1.197e+05,6.813e+02,1.672e+05
138.9,5.718e+04,1.176e+05,5.431e+02,1.753e+05
140.6,7.516e+04,1.158e+05,5.219e+02,1.915e+05
142.2,1.001e+05,1.131e+05,6.540e+02,2.138e+05
143.9,1.211e+05,1.141e+05,8.790e+02,2.361e+05
145.6,1.320e+05,1.166e+05,1.126e+03,2.498e+05
147.3,1.758e+05,1.195e+05,1.125e+03,2.964e+05
148.9,2.104e+05,1.254e+05,1.497e+03,3.373e+05
150.6,2.410e+05,1.322e+05,2.504e+03,3.757e+05
152.3,2.621e+05,1.391e+05,4.114e+03,4.054e+05
153.9,2.895e+05,1.450e+05,4.699e+03,4.392e+05
155.6,3.224e+05,1.474e+05,5.236e+03,4.750e+05
157.3,3.618e+05,1.542e+05,5.515e+03,5.215e+05
159.0,4.127e+05,1.642e+05,5.594e+03,5.824e+05
160.6,4.358e+05,1.683e+05,5.781e+03,6.100e+05
162.3,4.338e+05,1.678e+05,5.621e+03,6.072e+05
164.0,4.516e+05,1.644e+05,4.928e+03,6.210e+05
165.7,4.637e+05,1.595e+05,4.329e+03,6.276e+05
167.3,4.570e+05,1.591e+05,4.011e+03,6.200e+05
169.0,4.468e+05,1.607e+05,4.164e+03,6.117e+05
170.7,4.353e+05,1.624e+05,4.209e+03,6.019e+05
172.4,4.251e+05,1.682e+05,4.631e+03,5.980e+05
174.0,4.282e+05,1.874e+05,5.523e+03,6.212e+05
175.7,4.269e+05,2.060e+05,5.913e+03,6.388e+05
177.4,4.247e+05,2.284e+05,6.042e+03,6.591e+05
179.0,4.267e+05,2.511e+05,6.730e+03,6.845e+05
180.7,4.413e+05,2.865e+05,7.870e+03,7.356e+05
182.4,4.707e+05,3.193e+05,8.968e+03,7.990e+05
