freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.984e+02,1.343e+04,3.911e+01,1.387e+04
1.7,1.039e+03,7.654e+03,8.913e+01,8.782e+03
3.3,1.182e+03,2.934e+02,8.615e+01,1.562e+03
5.0,1.265e+03,2.928e+03,9.465e+01,4.288e+03
6.6,1.240e+03,7.989e+03,9.669e+01,9.326e+03
8.3,1.385e+03,1.265e+04,9.327e+01,1.413e+04
10.0,1.421e+03,1.821e+04,9.793e+01,1.973e+04
11.6,1.380e+03,2.494e+04,9.182e+01,2.641e+04
13.3,1.290e+03,3.296e+04,9.011e+01,3.434e+04
14.9,1.405e+03,4.258e+04,9.762e+01,4.408e+04
16.6,1.429e+03,5.344e+04,1.098e+02,5.498e+04
18.3,1.381e+03,6.601e+04,1.146e+02,6.751e+04
19.9,1.519e+03,8.050e+04,1.258e+02,8.215e+04
21.6,1.472e+03,9.754e+04,1.274e+02,9.914e+04
23.3,1.483e+03,1.145e+05,1.223e+02,1.161e+05
24.9,1.590e+03,1.335e+05,1.325e+02,1.352e+05
26.6,1.612e+03,1.553e+05,1.240e+02,1.570e+05
28.2,1.723e+03,1.731e+05,1.144e+02,1.749e+05
29.9,1.875e+03,1.925e+05,1.028e+02,1.945e+05
31.6,1.848e+03,2.177e+05,1.049e+02,2.196e+05
33.2,1.906e+03,2.438e+05,1.265e+02,2.458e+05
34.9,2.165e+03,2.699e+05,1.609e+02,2.722e+05
36.5,2.653e+03,3.120e+05,2.188e+02,3.149e+05
38.2,3.431e+03,3.830e+05,2.908e+02,3.867e+05
39.9,4.300e+03,4.709e+05,4.073e+02,4.756e+05
41.5,5.042e+03,5.543e+05,5.710e+02,5.599e+05
43.2,6.114e+03,6.528e+05,7.517e+02,6.596e+05
44.8,7.593e+03,7.677e+05,8.714e+02,7.761e+05
46.5,9.223e+03,8.825e+05,1.089e+03,8.929e+05
48.2,1.174e+04,1.000e+06,1.560e+03,1.014e+06
49.8,1.531e+04,1.165e+06,2.445e+03,1.182e+06
51.5,2.111e+04,1.443e+06,3.902e+03,1.468e+06
53.2,3.121e+04,1.913e+06,6.673e+03,1.951e+06
54.8,4.774e+04,2.519e+06,1.158e+04,2.578e+06
56.5,7.181e+04,3.317e+06,1.976e+04,3.408e+06
58.1,1.068e+05,4.631e+06,3.276e+04,4.771e+06
59.8,1.517e+05,7.061e+06,4.481e+04,7.258e+06
61.5,1.707e+05,1.041e+07,5.007e+04,1.063e+07
63.1,1.533e+05,1.430e+07,5.262e+04,1.451e+07
64.8,1.259e+05,1.850e+07,5.278e+04,1.868e+07
66.4,1.045e+05,2.282e+07,4.709e+04,2.298e+07
68.1,1.027e+05,2.822e+07,3.655e+04,2.836e+07
69.8,1.251e+05,3.523e+07,2.321e+04,3.538e+07
71.4,1.775e+05,4.432e+07,1.200e+04,4.451e+07
73.1,2.606e+05,5.467e+07,1.642e+04,5.495e+07
74.7,3.495e+05,6.190e+07,3.409e+04,6.228e+07
76.4,4.001e+05,6.173e+07,4.337e+04,6.217e+07
78.1,4.179e+05,5.758e+07,4.489e+04,5.805e+07
79.7,4.487e+05,5.695e+07,4.886e+04,5.745e+07
81.4,4.414e+05,5.488e+07,6.377e+04,5.539e+07
83.0,3.969e+05,4.772e+07,9.304e+04,4.821e+07
84.7,3.512e+05,3.847e+07,1.216e+05,3.895e+07
86.4,2.992e+05,2.972e+07,1.257e+05,3.015e+07
88.0,2.553e+05,2.337e+07,1.070e+05,2.373e+07
89.7,2.304e+05,1.973e+07,7.230e+04,2.003e+07
91.4,2.307e+05,1.736e+07,3.275e+04,1.762e+07
93.0,2.330e+05,1.590e+07,1.281e+04,1.614e+07
94.7,2.230e+05,1.440e+07,7.127e+03,1.463e+07
96.3,2.080e+05,1.263e+07,6.350e+03,1.284e+07
98.0,2.014e+05,1.099e+07,8.135e+03,1.120e+07
99.7,2.013e+05,9.522e+06,1.032e+04,9.734e+06
101.3,2.053e+05,8.060e+06,1.051e+04,8.275e+06
103.0,2.072e+05,6.886e+06,1.320e+04,7.107e+06
104.6,2.126e+05,5.878e+06,2.607e+04,6.117e+06
106.3,2.360e+05,5.180e+06,4.153e+04,5.457e+06
108.0,2.681e+05,4.562e+06,5.303e+04,4.883e+06
109.6,3.087e+05,3.932e+06,6.432e+04,4.305e+06
111.3,3.412e+05,3.233e+06,7.305e+04,3.647e+06
112.9,3.220e+05,2.630e+06,7.188e+04,3.024e+06
114.6,3.007e+05,2.633e+06,5.105e+04,2.985e+06
116.3,3.471e+05,2.925e+06,4.164e+04,3.313e+06
117.9,4.051e+05,4.691e+06,4.844e+04,5.144e+06
119.6,4.611e+05,5.916e+06,3.854e+04,6.416e+06
121.3,4.808e+05,5.594e+06,2.460e+04,6.100e+06
122.9,4.769e+05,5.253e+06,1.641e+04,5.746e+06
124.6,4.826e+05,5.105e+06,1.180e+04,5.599e+06
126.2,4.968e+05,5.069e+06,9.169e+03,5.575e+06
127.9,5.084e+05,5.055e+06,8.345e+03,5.572e+06
129.6,5.360e+05,5.028e+06,9.067e+03,5.573e+06
131.2,5.599e+05,4.988e+06,9.811e+03,5.558e+06
132.9,4.778e+05,4.004e+06,7.598e+03,4.490e+06
134.5,1.462e+05,9.823e+05,1.812e+03,1.130e+06
136.2,6.205e+04,1.256e+05,3.113e+02,1.879e+05
137.9,8.365e+04,1.160e+05,4.640e+02,2.001e+05
139.5,1.084e+05,1.172e+05,6.294e+02,2.262e+05
141.2,1.371e+05,1.193e+05,8.360e+02,2.572e+05
142.8,1.673e+05,1.231e+05,9.133e+02,2.914e+05
144.5,2.037e+05,1.288e+05,9.066e+02,3.333e+05
