freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.930e+01,2.192e+03,1.526e+01,2.296e+03
1.7,2.994e+02,1.256e+03,6.182e+01,1.617e+03
3.3,3.090e+02,8.051e+01,6.596e+01,4.555e+02
5.0,3.381e+02,7.392e+02,6.337e+01,1.141e+03
6.7,3.221e+02,1.983e+03,6.761e+01,2.373e+03
8.3,3.008e+02,3.120e+03,6.797e+01,3.489e+03
10.0,3.071e+02,4.399e+03,7.245e+01,4.778e+03
11.7,2.855e+02,5.998e+03,6.578e+01,6.350e+03
13.3,3.173e+02,7.796e+03,6.529e+01,8.179e+03
15.0,3.130e+02,1.003e+04,6.868e+01,1.041e+04
16.6,3.072e+02,1.273e+04,6.788e+01,1.310e+04
18.3,3.404e+02,1.583e+04,7.527e+01,1.625e+04
20.0,3.368e+02,1.930e+04,8.055e+01,1.972e+04
21.6,3.540e+02,2.324e+04,7.059e+01,2.367e+04
23.3,3.594e+02,2.769e+04,6.797e+01,2.812e+04
25.0,3.719e+02,3.152e+04,7.654e+01,3.197e+04
26.6,4.105e+02,3.551e+04,7.084e+01,3.599e+04
28.3,4.083e+02,4.027e+04,7.707e+01,4.076e+04
30.0,4.109e+02,4.480e+04,7.176e+01,4.529e+04
31.6,4.153e+02,5.017e+04,6.234e+01,5.064e+04
33.3,4.264e+02,5.662e+04,6.387e+01,5.711e+04
35.0,4.849e+02,6.294e+04,7.030e+01,6.350e+04
36.6,5.350e+02,6.857e+04,7.902e+01,6.918e+04
38.3,6.347e+02,7.548e+04,8.118e+01,7.619e+04
39.9,8.414e+02,8.864e+04,1.021e+02,8.958e+04
41.6,1.171e+03,1.024e+05,1.211e+02,1.037e+05
43.3,1.482e+03,1.217e+05,1.434e+02,1.233e+05
44.9,1.734e+03,1.531e+05,1.626e+02,1.550e+05
46.6,2.065e+03,1.843e+05,1.759e+02,1.865e+05
48.3,2.539e+03,2.118e+05,2.513e+02,2.145e+05
49.9,3.134e+03,2.422e+05,3.915e+02,2.457e+05
51.6,3.874e+03,2.787e+05,5.860e+02,2.832e+05
53.3,5.007e+03,3.139e+05,8.096e+02,3.198e+05
54.9,7.186e+03,3.567e+05,1.110e+03,3.650e+05
56.6,1.068e+04,4.651e+05,1.650e+03,4.774e+05
58.3,1.461e+04,7.234e+05,2.921e+03,7.410e+05
59.9,1.972e+04,1.069e+06,4.832e+03,1.094e+06
61.6,2.345e+04,1.422e+06,6.287e+03,1.452e+06
63.2,2.513e+04,1.832e+06,7.813e+03,1.865e+06
64.9,2.333e+04,2.251e+06,8.708e+03,2.283e+06
66.6,2.024e+04,2.703e+06,8.684e+03,2.731e+06
68.2,1.739e+04,3.233e+06,8.047e+03,3.259e+06
69.9,1.555e+04,3.954e+06,6.492e+03,3.976e+06
71.6,1.569e+04,5.052e+06,4.587e+03,5.073e+06
73.2,1.892e+04,6.555e+06,2.421e+03,6.576e+06
74.9,2.697e+04,8.187e+06,7.865e+02,8.215e+06
76.6,3.934e+04,9.431e+06,2.193e+03,9.473e+06
78.2,5.410e+04,1.020e+07,8.303e+03,1.026e+07
79.9,6.790e+04,1.079e+07,1.452e+04,1.088e+07
81.6,7.130e+04,1.072e+07,2.040e+04,1.082e+07
83.2,6.589e+04,9.855e+06,2.671e+04,9.948e+06
84.9,5.744e+04,8.186e+06,3.211e+04,8.276e+06
86.5,4.907e+04,6.161e+06,3.442e+04,6.245e+06
88.2,4.324e+04,4.670e+06,3.460e+04,4.748e+06
89.9,3.636e+04,3.695e+06,3.051e+04,3.762e+06
91.5,3.334e+04,3.101e+06,2.128e+04,3.155e+06
93.2,3.664e+04,2.828e+06,1.246e+04,2.877e+06
94.9,3.899e+04,2.679e+06,9.171e+03,2.727e+06
96.5,3.803e+04,2.566e+06,7.133e+03,2.611e+06
98.2,3.683e+04,2.424e+06,5.949e+03,2.467e+06
99.9,3.799e+04,2.190e+06,5.674e+03,2.234e+06
101.5,3.758e+04,1.933e+06,5.726e+03,1.976e+06
103.2,3.557e+04,1.693e+06,6.631e+03,1.735e+06
104.9,3.590e+04,1.491e+06,7.957e+03,1.535e+06
106.5,3.968e+04,1.290e+06,8.137e+03,1.338e+06
108.2,4.256e+04,1.047e+06,6.376e+03,1.096e+06
109.8,4.481e+04,7.914e+05,4.255e+03,8.404e+05
111.5,4.607e+04,5.022e+05,2.677e+03,5.509e+05
113.2,4.595e+04,3.247e+05,1.508e+03,3.722e+05
114.8,4.630e+04,5.652e+05,1.661e+03,6.132e+05
116.5,5.226e+04,1.327e+06,4.722e+03,1.384e+06
118.2,5.385e+04,1.483e+06,5.400e+03,1.543e+06
119.8,5.165e+04,1.194e+06,3.893e+03,1.249e+06
121.5,5.215e+04,9.909e+05,2.610e+03,1.046e+06
123.2,5.680e+04,8.885e+05,1.775e+03,9.471e+05
124.8,6.165e+04,8.166e+05,1.225e+03,8.795e+05
126.5,6.474e+04,7.608e+05,8.032e+02,8.263e+05
128.2,6.722e+04,7.206e+05,5.505e+02,7.884e+05
129.8,6.779e+04,6.588e+05,5.036e+02,7.271e+05
131.5,6.267e+04,5.923e+05,5.229e+02,6.555e+05
133.1,4.370e+04,4.158e+05,4.491e+02,4.599e+05
134.8,1.042e+04,9.703e+04,2.888e+02,1.077e+05
136.5,4.860e+03,3.333e+04,2.547e+02,3.844e+04
138.1,6.930e+03,3.353e+04,2.651e+02,4.072e+04
139.8,1.082e+04,3.429e+04,2.733e+02,4.538e+04
141.5,1.637e+04,3.404e+04,2.738e+02,5.069e+04
143.1,2.368e+04,3.380e+04,2.857e+02,5.777e+04
144.8,3.019e+04,3.355e+04,2.826e+02,6.402e+04
146.5,3.393e+04,3.385e+04,2.761e+02,6.806e+04
