freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.468e+01,5.177e+01,4.896e+02,5.860e+02
1.6,2.409e+02,1.988e+02,5.488e+02,9.885e+02
3.2,2.565e+02,2.195e+02,4.095e+02,8.855e+02
4.8,2.640e+02,2.230e+02,9.879e+02,1.475e+03
6.4,2.795e+02,2.380e+02,2.410e+03,2.928e+03
8.0,2.877e+02,2.522e+02,3.485e+03,4.025e+03
9.6,2.939e+02,2.610e+02,4.605e+03,5.160e+03
11.2,2.841e+02,2.568e+02,5.998e+03,6.539e+03
12.8,2.427e+02,2.590e+02,7.313e+03,7.815e+03
14.4,2.496e+02,2.669e+02,8.682e+03,9.198e+03
16.0,2.731e+02,2.352e+02,1.027e+04,1.078e+04
17.6,2.808e+02,2.365e+02,1.207e+04,1.258e+04
19.2,3.042e+02,2.479e+02,1.381e+04,1.436e+04
20.8,2.922e+02,2.675e+02,1.603e+04,1.658e+04
22.4,2.808e+02,2.885e+02,1.809e+04,1.866e+04
24.0,2.908e+02,2.761e+02,2.034e+04,2.091e+04
25.6,3.069e+02,2.717e+02,2.306e+04,2.364e+04
27.2,2.652e+02,2.623e+02,2.521e+04,2.573e+04
28.8,2.617e+02,2.898e+02,2.718e+04,2.773e+04
30.4,2.620e+02,3.178e+02,2.958e+04,3.016e+04
32.0,2.449e+02,3.465e+02,3.293e+04,3.353e+04
33.6,2.863e+02,4.048e+02,3.699e+04,3.768e+04
35.2,3.083e+02,4.510e+02,4.155e+04,4.231e+04
36.8,2.940e+02,5.065e+02,4.676e+04,4.756e+04
38.4,2.895e+02,5.532e+02,5.237e+04,5.321e+04
40.0,2.864e+02,5.602e+02,5.766e+04,5.851e+04
41.6,2.915e+02,6.093e+02,6.349e+04,6.439e+04
43.2,3.084e+02,7.672e+02,7.067e+04,7.174e+04
44.8,3.178e+02,1.022e+03,7.901e+04,8.035e+04
46.4,3.526e+02,1.276e+03,8.840e+04,9.003e+04
48.0,4.197e+02,1.379e+03,1.001e+05,1.019e+05
49.6,4.804e+02,1.471e+03,1.124e+05,1.144e+05
51.2,5.405e+02,1.603e+03,1.266e+05,1.288e+05
52.8,6.179e+02,1.733e+03,1.455e+05,1.478e+05
54.4,8.812e+02,1.935e+03,1.681e+05,1.709e+05
56.0,1.246e+03,2.163e+03,1.939e+05,1.973e+05
57.6,1.888e+03,2.572e+03,2.221e+05,2.266e+05
59.2,2.569e+03,2.907e+03,2.499e+05,2.554e+05
60.8,3.484e+03,2.912e+03,2.790e+05,2.854e+05
62.4,4.692e+03,2.688e+03,3.151e+05,3.225e+05
64.0,5.212e+03,3.610e+03,3.583e+05,3.671e+05
65.6,4.629e+03,7.077e+03,4.168e+05,4.285e+05
67.2,3.899e+03,1.243e+04,4.922e+05,5.085e+05
68.8,4.315e+03,1.952e+04,5.935e+05,6.174e+05
70.4,7.304e+03,2.985e+04,7.293e+05,7.664e+05
72.0,1.368e+04,4.134e+04,8.545e+05,9.095e+05
73.6,2.343e+04,5.236e+04,9.345e+05,1.010e+06
75.2,3.056e+04,5.532e+04,9.739e+05,1.060e+06
76.8,2.874e+04,4.402e+04,9.833e+05,1.056e+06
78.4,2.485e+04,2.956e+04,9.743e+05,1.029e+06
80.0,2.517e+04,2.547e+04,9.509e+05,1.002e+06
81.6,2.317e+04,3.371e+04,8.986e+05,9.555e+05
83.2,1.681e+04,3.885e+04,8.287e+05,8.843e+05
84.8,1.466e+04,4.659e+04,7.664e+05,8.276e+05
86.4,1.664e+04,6.101e+04,6.961e+05,7.737e+05
88.0,1.360e+04,6.005e+04,6.030e+05,6.766e+05
89.6,8.368e+03,4.405e+04,5.857e+05,6.381e+05
91.2,7.724e+03,4.229e+04,6.011e+05,6.511e+05
92.8,7.478e+03,4.125e+04,5.390e+05,5.877e+05
94.4,7.851e+03,4.860e+04,4.768e+05,5.333e+05
96.0,7.812e+03,5.749e+04,4.441e+05,5.094e+05
97.6,6.364e+03,5.869e+04,4.038e+05,4.688e+05
99.2,4.933e+03,5.435e+04,3.517e+05,4.110e+05
100.8,4.469e+03,4.118e+04,2.944e+05,3.401e+05
102.4,6.374e+03,3.863e+04,2.327e+05,2.777e+05
104.0,1.010e+04,9.382e+04,1.689e+05,2.728e+05
105.6,1.310e+04,1.866e+05,1.573e+05,3.570e+05
107.2,7.878e+03,1.462e+05,1.516e+05,3.057e+05
108.8,5.716e+03,4.230e+04,1.323e+05,1.803e+05
110.4,9.416e+03,1.970e+04,1.079e+05,1.370e+05
112.0,1.087e+04,1.464e+04,8.677e+04,1.123e+05
113.6,9.799e+03,9.046e+03,7.157e+04,9.041e+04
115.2,7.702e+03,6.285e+03,6.122e+04,7.521e+04
116.8,5.485e+03,5.874e+03,5.147e+04,6.283e+04
118.4,3.707e+03,6.416e+03,4.481e+04,5.494e+04
120.0,2.934e+03,7.941e+03,4.075e+04,5.163e+04
121.6,2.022e+03,9.846e+03,3.474e+04,4.661e+04
123.2,1.475e+03,1.210e+04,2.638e+04,3.995e+04
124.8,1.683e+03,1.419e+04,1.861e+04,3.448e+04
126.4,2.352e+03,1.616e+04,1.274e+04,3.126e+04
128.0,3.005e+03,1.849e+04,8.807e+03,3.030e+04
129.6,2.559e+03,1.509e+04,5.262e+03,2.291e+04
131.2,1.330e+03,7.066e+03,2.358e+03,1.075e+04
132.8,1.059e+03,5.501e+03,2.327e+03,8.886e+03
134.4,1.010e+03,5.136e+03,2.783e+03,8.929e+03
136.0,9.904e+02,4.797e+03,3.675e+03,9.462e+03
137.6,8.756e+02,4.379e+03,4.844e+03,1.010e+04
139.2,8.738e+02,4.070e+03,6.231e+03,1.117e+04
140.8,8.328e+02,3.556e+03,7.875e+03,1.226e+04
142.4,8.017e+02,3.352e+03,9.002e+03,1.316e+04
144.0,8.211e+02,3.362e+03,9.557e+03,1.374e+04
145.6,8.016e+02,3.033e+03,9.881e+03,1.372e+04
147.2,7.781e+02,2.911e+03,1.029e+04,1.398e+04
148.8,8.080e+02,2.915e+03,1.004e+04,1.376e+04
150.4,8.256e+02,2.926e+03,9.424e+03,1.318e+04
152.0,9.145e+02,3.210e+03,9.517e+03,1.364e+04
153.6,8.713e+02,3.666e+03,9.913e+03,1.445e+04
155.2,8.996e+02,3.536e+03,1.036e+04,1.479e+04
156.8,9.141e+02,3.564e+03,1.115e+04,1.563e+04
158.4,9.255e+02,3.841e+03,1.283e+04,1.760e+04
160.0,9.777e+02,4.203e+03,1.446e+04,1.964e+04
161.6,9.537e+02,4.229e+03,1.564e+04,2.082e+04
163.2,9.815e+02,4.419e+03,1.790e+04,2.330e+04
164.8,1.060e+03,4.482e+03,2.000e+04,2.554e+04
166.4,1.120e+03,4.614e+03,2.101e+04,2.675e+04
168.0,1.212e+03,5.371e+03,2.357e+04,3.015e+04
169.6,1.392e+03,5.795e+03,2.593e+04,3.312e+04
171.2,1.572e+03,6.279e+03,2.674e+04,3.459e+04
