freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.695e+01,1.078e+02,5.188e+02,7.035e+02
1.6,2.599e+02,2.466e+02,5.759e+02,1.082e+03
3.1,2.973e+02,2.464e+02,3.906e+02,9.343e+02
4.7,3.208e+02,2.554e+02,1.016e+03,1.592e+03
6.3,3.024e+02,2.604e+02,2.442e+03,3.005e+03
7.8,2.806e+02,2.786e+02,3.591e+03,4.150e+03
9.4,2.918e+02,2.797e+02,5.091e+03,5.663e+03
11.0,2.906e+02,2.768e+02,6.695e+03,7.262e+03
12.5,3.021e+02,2.951e+02,8.651e+03,9.248e+03
14.1,3.002e+02,2.773e+02,1.094e+04,1.152e+04
15.7,2.935e+02,2.631e+02,1.363e+04,1.418e+04
17.2,3.204e+02,2.717e+02,1.656e+04,1.715e+04
18.8,3.208e+02,3.134e+02,2.016e+04,2.079e+04
20.4,2.721e+02,3.577e+02,2.384e+04,2.447e+04
21.9,2.876e+02,3.592e+02,2.813e+04,2.877e+04
23.5,3.112e+02,3.471e+02,3.301e+04,3.367e+04
25.1,3.097e+02,3.142e+02,3.634e+04,3.696e+04
26.6,2.986e+02,3.122e+02,3.845e+04,3.906e+04
28.2,3.256e+02,2.978e+02,4.136e+04,4.198e+04
29.8,3.410e+02,3.380e+02,4.495e+04,4.563e+04
31.3,3.708e+02,4.084e+02,4.989e+04,5.067e+04
32.9,3.677e+02,4.728e+02,5.668e+04,5.752e+04
34.5,3.493e+02,4.618e+02,6.356e+04,6.437e+04
36.0,3.148e+02,4.202e+02,7.147e+04,7.221e+04
37.6,2.905e+02,3.955e+02,7.978e+04,8.046e+04
39.2,2.956e+02,4.434e+02,8.824e+04,8.897e+04
40.7,3.395e+02,5.874e+02,9.787e+04,9.880e+04
42.3,3.578e+02,7.855e+02,1.086e+05,1.098e+05
43.9,3.747e+02,9.286e+02,1.204e+05,1.217e+05
45.4,3.845e+02,1.056e+03,1.327e+05,1.341e+05
47.0,4.272e+02,1.172e+03,1.464e+05,1.480e+05
48.6,4.890e+02,1.225e+03,1.630e+05,1.647e+05
50.1,6.921e+02,1.327e+03,1.838e+05,1.858e+05
51.7,1.001e+03,1.241e+03,2.078e+05,2.101e+05
53.3,1.428e+03,1.011e+03,2.377e+05,2.402e+05
