freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.213e+02,2.614e+02,8.253e+02,1.808e+03
1.6,3.204e+03,1.053e+03,7.791e+02,5.037e+03
3.2,3.676e+03,1.228e+03,7.832e+02,5.687e+03
4.8,3.487e+03,1.200e+03,1.477e+03,6.163e+03
6.4,3.380e+03,1.242e+03,2.396e+03,7.018e+03
8.0,3.877e+03,1.368e+03,3.732e+03,8.977e+03
9.6,3.778e+03,1.333e+03,5.225e+03,1.034e+04
11.2,3.340e+03,1.185e+03,6.982e+03,1.151e+04
12.8,3.418e+03,1.201e+03,9.075e+03,1.369e+04
14.4,3.490e+03,1.145e+03,1.134e+04,1.597e+04
16.0,3.695e+03,1.170e+03,1.390e+04,1.876e+04
17.7,3.232e+03,1.146e+03,1.661e+04,2.098e+04
19.3,3.288e+03,1.147e+03,1.981e+04,2.424e+04
20.9,3.310e+03,1.244e+03,2.413e+04,2.868e+04
22.5,3.453e+03,1.279e+03,2.870e+04,3.343e+04
24.1,3.332e+03,1.175e+03,3.306e+04,3.757e+04
25.7,3.630e+03,1.231e+03,3.661e+04,4.147e+04
27.3,3.897e+03,1.356e+03,3.981e+04,4.507e+04
28.9,3.534e+03,1.232e+03,4.554e+04,5.031e+04
30.5,3.531e+03,1.252e+03,5.190e+04,5.668e+04
32.1,3.918e+03,1.510e+03,5.927e+04,6.470e+04
33.7,4.154e+03,1.607e+03,6.798e+04,7.374e+04
35.3,3.931e+03,1.403e+03,7.730e+04,8.263e+04
36.9,3.497e+03,1.321e+03,8.727e+04,9.208e+04
38.5,3.700e+03,1.528e+03,1.003e+05,1.055e+05
40.1,4.096e+03,2.039e+03,1.153e+05,1.214e+05
41.7,4.036e+03,2.379e+03,1.301e+05,1.365e+05
43.3,4.803e+03,3.231e+03,1.469e+05,1.549e+05
44.9,4.976e+03,4.578e+03,1.651e+05,1.747e+05
46.5,5.758e+03,6.606e+03,1.818e+05,1.941e+05
48.1,5.753e+03,7.505e+03,1.993e+05,2.126e+05
49.7,6.030e+03,6.978e+03,2.220e+05,2.350e+05
51.3,6.237e+03,5.231e+03,2.507e+05,2.622e+05
53.0,5.440e+03,3.559e+03,2.844e+05,2.934e+05
54.6,5.159e+03,2.831e+03,3.255e+05,3.335e+05
56.2,5.973e+03,3.521e+03,3.690e+05,3.785e+05
57.8,7.099e+03,6.481e+03,4.157e+05,4.293e+05
59.4,8.393e+03,1.367e+04,4.623e+05,4.844e+05
61.0,1.018e+04,2.748e+04,4.901e+05,5.277e+05
62.6,1.118e+04,4.454e+04,5.007e+05,5.564e+05
64.2,1.058e+04,5.566e+04,5.177e+05,5.840e+05
65.8,7.950e+03,5.751e+04,5.539e+05,6.194e+05
67.4,7.311e+03,5.640e+04,6.181e+05,6.818e+05
69.0,2.135e+04,8.972e+04,7.110e+05,8.221e+05
70.6,3.931e+04,1.552e+05,8.350e+05,1.029e+06
72.2,4.464e+04,2.248e+05,9.851e+05,1.255e+06
73.8,3.688e+04,2.528e+05,1.173e+06,1.462e+06
75.4,2.979e+04,2.931e+05,1.356e+06,1.679e+06
77.0,2.738e+04,3.235e+05,1.472e+06,1.823e+06
78.6,3.247e+04,3.134e+05,1.534e+06,1.880e+06
80.2,3.893e+04,2.463e+05,1.579e+06,1.865e+06
81.8,4.769e+04,1.668e+05,1.553e+06,1.768e+06
83.4,5.031e+04,1.321e+05,1.503e+06,1.686e+06
85.0,4.684e+04,1.445e+05,1.485e+06,1.676e+06
86.6,5.071e+04,1.724e+05,1.454e+06,1.677e+06
88.3,5.328e+04,1.823e+05,1.360e+06,1.596e+06
89.9,4.821e+04,1.593e+05,1.211e+06,1.418e+06
91.5,3.426e+04,1.320e+05,1.031e+06,1.198e+06
93.1,2.369e+04,1.101e+05,8.798e+05,1.014e+06
94.7,1.982e+04,1.014e+05,7.805e+05,9.016e+05
96.3,1.769e+04,8.930e+04,7.453e+05,8.523e+05
97.9,1.236e+04,8.439e+04,7.583e+05,8.551e+05
99.5,8.376e+03,7.714e+04,7.384e+05,8.239e+05
101.1,6.183e+03,6.656e+04,7.207e+05,7.934e+05
102.7,5.340e+03,5.333e+04,7.519e+05,8.105e+05
104.3,4.526e+03,4.100e+04,8.168e+05,8.623e+05
105.9,3.804e+03,2.829e+04,8.787e+05,9.108e+05
107.5,4.101e+03,1.648e+04,9.230e+05,9.435e+05
109.1,5.822e+03,1.260e+04,9.741e+05,9.925e+05
110.7,8.643e+03,1.282e+04,1.081e+06,1.102e+06
112.3,1.772e+04,2.550e+04,1.241e+06,1.284e+06
113.9,3.620e+04,8.828e+04,1.217e+06,1.342e+06
115.5,4.735e+04,1.445e+05,1.152e+06,1.344e+06
117.1,3.728e+04,1.297e+05,1.077e+06,1.244e+06
118.7,2.703e+04,6.311e+04,9.808e+05,1.071e+06
120.3,2.689e+04,4.437e+04,1.020e+06,1.091e+06
121.9,2.556e+04,4.234e+04,1.184e+06,1.252e+06
123.6,2.589e+04,4.993e+04,1.386e+06,1.462e+06
125.2,2.609e+04,4.903e+04,1.524e+06,1.599e+06
126.8,2.462e+04,4.453e+04,1.661e+06,1.730e+06
128.4,2.166e+04,4.296e+04,1.847e+06,1.912e+06
130.0,2.026e+04,4.404e+04,2.060e+06,2.124e+06
131.6,2.122e+04,4.557e+04,2.309e+06,2.375e+06
133.2,2.033e+04,4.883e+04,2.574e+06,2.643e+06
134.8,1.814e+04,5.149e+04,2.934e+06,3.004e+06
136.4,1.817e+04,5.471e+04,3.504e+06,3.577e+06
138.0,2.010e+04,6.193e+04,4.193e+06,4.275e+06
139.6,1.361e+04,4.382e+04,2.754e+06,2.812e+06
141.2,4.785e+03,8.769e+03,3.253e+05,3.389e+05
142.8,3.599e+03,4.250e+03,5.696e+04,6.481e+04
144.4,3.659e+03,4.138e+03,5.787e+04,6.566e+04
146.0,3.792e+03,4.820e+03,5.963e+04,6.824e+04
147.6,4.416e+03,5.918e+03,6.273e+04,7.306e+04
149.2,4.523e+03,6.758e+03,6.901e+04,8.029e+04
150.8,4.588e+03,7.465e+03,7.904e+04,9.109e+04
152.4,4.390e+03,7.661e+03,9.018e+04,1.022e+05
154.0,4.844e+03,7.496e+03,9.751e+04,1.099e+05
155.6,4.596e+03,6.569e+03,1.056e+05,1.167e+05
157.2,4.152e+03,4.836e+03,1.077e+05,1.167e+05
158.9,4.231e+03,4.106e+03,1.175e+05,1.259e+05
160.5,3.977e+03,3.728e+03,1.290e+05,1.367e+05
162.1,3.966e+03,3.339e+03,1.324e+05,1.397e+05
163.7,3.973e+03,3.257e+03,1.380e+05,1.453e+05
165.3,3.800e+03,3.358e+03,1.374e+05,1.446e+05
166.9,3.770e+03,3.454e+03,1.408e+05,1.480e+05
168.5,4.130e+03,3.768e+03,1.512e+05,1.591e+05
170.1,4.381e+03,4.120e+03,1.596e+05,1.681e+05
171.7,4.545e+03,4.511e+03,1.707e+05,1.797e+05
173.3,4.256e+03,4.851e+03,1.852e+05,1.943e+05
174.9,5.079e+03,5.687e+03,1.862e+05,1.969e+05
176.5,4.778e+03,5.694e+03,1.874e+05,1.979e+05
178.1,4.150e+03,5.756e+03,2.075e+05,2.174e+05
179.7,3.962e+03,6.229e+03,2.258e+05,2.360e+05
181.3,4.316e+03,7.095e+03,2.390e+05,2.504e+05
182.9,4.918e+03,7.895e+03,2.626e+05,2.755e+05
184.5,4.631e+03,8.958e+03,2.889e+05,3.024e+05
186.1,4.493e+03,1.055e+04,2.925e+05,3.076e+05
187.7,4.735e+03,8.902e+03,2.799e+05,2.936e+05
189.3,4.535e+03,7.558e+03,2.860e+05,2.981e+05
190.9,4.092e+03,9.578e+03,2.862e+05,2.999e+05
192.5,3.756e+03,7.761e+03,2.910e+05,3.025e+05
194.2,4.056e+03,8.178e+03,2.698e+05,2.820e+05
195.8,3.963e+03,9.043e+03,2.673e+05,2.803e+05
197.4,4.055e+03,7.942e+03,2.557e+05,2.677e+05
199.0,3.748e+03,7.416e+03,2.411e+05,2.523e+05
