freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.850e+02,6.154e+03,3.265e+01,6.471e+03
1.7,9.574e+02,3.740e+03,7.973e+01,4.777e+03
3.3,1.099e+03,4.789e+02,8.145e+01,1.659e+03
5.0,1.353e+03,3.130e+03,8.327e+01,4.566e+03
6.7,1.620e+03,8.209e+03,8.339e+01,9.913e+03
8.3,1.776e+03,1.304e+04,8.700e+01,1.491e+04
10.0,1.670e+03,1.870e+04,8.389e+01,2.045e+04
11.7,1.619e+03,2.534e+04,9.728e+01,2.705e+04
13.4,1.503e+03,3.394e+04,1.020e+02,3.555e+04
15.0,1.477e+03,4.437e+04,1.048e+02,4.595e+04
16.7,1.431e+03,5.696e+04,1.141e+02,5.851e+04
18.4,1.528e+03,7.159e+04,1.285e+02,7.324e+04
20.0,1.469e+03,8.732e+04,1.344e+02,8.893e+04
21.7,1.437e+03,1.026e+05,1.310e+02,1.041e+05
23.4,1.567e+03,1.201e+05,1.299e+02,1.218e+05
25.0,1.601e+03,1.455e+05,1.437e+02,1.472e+05
26.7,1.558e+03,1.746e+05,1.353e+02,1.763e+05
28.4,1.754e+03,2.021e+05,1.300e+02,2.040e+05
30.0,1.498e+03,2.300e+05,1.162e+02,2.316e+05
31.7,1.431e+03,2.609e+05,1.167e+02,2.624e+05
33.4,1.610e+03,2.968e+05,1.273e+02,2.985e+05
35.0,1.616e+03,3.421e+05,1.792e+02,3.439e+05
36.7,1.718e+03,4.165e+05,3.125e+02,4.185e+05
38.4,1.724e+03,5.510e+05,4.693e+02,5.532e+05
40.1,2.035e+03,7.083e+05,6.287e+02,7.110e+05
41.7,2.929e+03,8.496e+05,7.489e+02,8.533e+05
43.4,3.994e+03,9.554e+05,6.726e+02,9.600e+05
45.1,6.018e+03,1.126e+06,7.535e+02,1.133e+06
46.7,9.198e+03,1.454e+06,1.120e+03,1.465e+06
48.4,1.369e+04,2.038e+06,2.181e+03,2.054e+06
50.1,1.813e+04,3.186e+06,6.482e+03,3.211e+06
51.7,2.429e+04,4.991e+06,1.701e+04,5.032e+06
53.4,4.364e+04,6.981e+06,3.314e+04,7.057e+06
55.1,6.234e+04,7.309e+06,4.039e+04,7.411e+06
56.7,7.204e+04,7.723e+06,3.469e+04,7.830e+06
58.4,7.698e+04,7.766e+06,2.519e+04,7.869e+06
60.1,6.936e+04,6.687e+06,1.528e+04,6.771e+06
61.8,6.342e+04,5.693e+06,1.005e+04,5.766e+06
63.4,6.627e+04,5.377e+06,9.001e+03,5.452e+06
65.1,8.057e+04,5.954e+06,8.434e+03,6.043e+06
66.8,9.982e+04,7.260e+06,7.690e+03,7.367e+06
68.4,1.109e+05,8.999e+06,7.221e+03,9.117e+06
70.1,1.220e+05,1.116e+07,6.997e+03,1.129e+07
71.8,1.370e+05,1.383e+07,7.726e+03,1.397e+07
73.4,1.628e+05,1.742e+07,8.142e+03,1.759e+07
75.1,2.057e+05,2.023e+07,7.138e+03,2.044e+07
76.8,2.388e+05,2.021e+07,6.451e+03,2.045e+07
78.4,2.627e+05,1.962e+07,8.042e+03,1.989e+07
80.1,2.505e+05,1.764e+07,1.048e+04,1.790e+07
81.8,1.820e+05,1.391e+07,1.388e+04,1.410e+07
83.4,1.280e+05,1.173e+07,2.088e+04,1.188e+07
85.1,1.070e+05,1.027e+07,3.294e+04,1.041e+07
86.8,9.885e+04,8.343e+06,5.022e+04,8.492e+06
88.5,9.663e+04,6.660e+06,6.926e+04,6.826e+06
90.1,9.754e+04,5.520e+06,7.877e+04,5.697e+06
91.8,1.084e+05,4.889e+06,7.175e+04,5.069e+06
93.5,1.148e+05,4.386e+06,5.786e+04,4.559e+06
95.1,1.085e+05,3.881e+06,4.518e+04,4.034e+06
96.8,1.014e+05,3.316e+06,3.993e+04,3.457e+06
98.5,9.568e+04,2.690e+06,3.670e+04,2.822e+06
100.1,1.086e+05,2.044e+06,3.085e+04,2.184e+06
101.8,1.545e+05,1.675e+06,2.373e+04,1.853e+06
103.5,2.057e+05,2.124e+06,1.926e+04,2.349e+06
105.1,2.110e+05,3.824e+06,2.478e+04,4.060e+06
106.8,2.277e+05,4.664e+06,2.707e+04,4.919e+06
108.5,2.280e+05,3.997e+06,2.071e+04,4.245e+06
110.2,2.405e+05,3.538e+06,1.683e+04,3.795e+06
111.8,2.465e+05,3.089e+06,1.638e+04,3.352e+06
113.5,2.398e+05,2.711e+06,1.741e+04,2.968e+06
115.2,2.311e+05,2.628e+06,1.612e+04,2.875e+06
116.8,2.269e+05,2.494e+06,1.243e+04,2.734e+06
118.5,2.459e+05,2.441e+06,8.822e+03,2.696e+06
120.2,2.677e+05,2.460e+06,6.360e+03,2.734e+06
121.8,2.755e+05,2.486e+06,5.011e+03,2.766e+06
123.5,2.848e+05,2.471e+06,4.792e+03,2.761e+06
125.2,2.995e+05,2.399e+06,4.530e+03,2.703e+06
126.8,3.161e+05,2.306e+06,2.900e+03,2.626e+06
128.5,3.414e+05,2.316e+06,1.463e+03,2.659e+06
130.2,3.885e+05,2.342e+06,1.070e+03,2.732e+06
131.8,4.381e+05,2.307e+06,1.375e+03,2.746e+06
133.5,2.760e+05,1.356e+06,1.172e+03,1.634e+06
135.2,4.767e+04,1.947e+05,5.937e+02,2.429e+05
136.9,2.865e+04,7.432e+04,7.063e+02,1.037e+05
