freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.754e+02,4.652e+03,2.365e+01,4.851e+03
1.7,5.269e+02,2.651e+03,6.635e+01,3.244e+03
3.3,5.667e+02,2.222e+02,6.842e+01,8.573e+02
5.0,6.332e+02,2.832e+03,6.954e+01,3.535e+03
6.7,5.756e+02,7.766e+03,6.298e+01,8.404e+03
8.4,6.241e+02,1.229e+04,7.245e+01,1.299e+04
10.0,5.831e+02,1.765e+04,7.695e+01,1.831e+04
11.7,6.095e+02,2.399e+04,7.683e+01,2.468e+04
13.4,5.744e+02,3.177e+04,7.754e+01,3.242e+04
15.0,5.817e+02,4.126e+04,8.035e+01,4.192e+04
16.7,5.693e+02,5.247e+04,8.325e+01,5.312e+04
18.4,6.077e+02,6.613e+04,8.938e+01,6.683e+04
20.1,6.709e+02,8.069e+04,9.498e+01,8.145e+04
21.7,7.211e+02,9.687e+04,1.012e+02,9.769e+04
23.4,8.508e+02,1.165e+05,1.068e+02,1.174e+05
25.1,9.370e+02,1.352e+05,1.196e+02,1.363e+05
26.7,9.194e+02,1.534e+05,1.024e+02,1.544e+05
28.4,9.249e+02,1.720e+05,8.540e+01,1.730e+05
30.1,9.991e+02,1.911e+05,7.769e+01,1.921e+05
31.8,1.149e+03,2.171e+05,8.233e+01,2.183e+05
33.4,1.187e+03,2.562e+05,9.254e+01,2.575e+05
35.1,1.412e+03,3.042e+05,1.186e+02,3.057e+05
36.8,1.858e+03,3.614e+05,1.533e+02,3.634e+05
38.5,2.342e+03,4.439e+05,2.374e+02,4.465e+05
40.1,2.976e+03,5.574e+05,3.966e+02,5.608e+05
41.8,3.768e+03,6.703e+05,6.121e+02,6.746e+05
43.5,4.570e+03,8.176e+05,7.190e+02,8.228e+05
45.1,6.503e+03,1.011e+06,6.824e+02,1.018e+06
46.8,9.872e+03,1.268e+06,8.577e+02,1.278e+06
48.5,1.533e+04,1.632e+06,1.495e+03,1.649e+06
50.2,2.405e+04,2.147e+06,2.813e+03,2.174e+06
51.8,3.609e+04,2.897e+06,5.558e+03,2.939e+06
53.5,5.184e+04,4.120e+06,1.085e+04,4.183e+06
55.2,7.445e+04,5.837e+06,2.176e+04,5.933e+06
56.8,9.493e+04,6.881e+06,3.569e+04,7.012e+06
58.5,1.009e+05,6.410e+06,4.124e+04,6.552e+06
60.2,9.382e+04,5.265e+06,3.481e+04,5.394e+06
61.9,7.489e+04,4.571e+06,2.485e+04,4.671e+06
63.5,5.828e+04,4.421e+06,1.763e+04,4.497e+06
65.2,4.965e+04,4.650e+06,1.452e+04,4.714e+06
66.9,4.708e+04,5.228e+06,1.474e+04,5.289e+06
68.5,4.788e+04,6.197e+06,1.592e+04,6.261e+06
70.2,5.134e+04,7.668e+06,1.616e+04,7.736e+06
71.9,6.172e+04,9.713e+06,1.515e+04,9.789e+06
73.6,8.204e+04,1.241e+07,1.389e+04,1.250e+07
75.2,1.079e+05,1.514e+07,1.433e+04,1.526e+07
76.9,1.280e+05,1.664e+07,1.412e+04,1.679e+07
78.6,1.331e+05,1.599e+07,1.183e+04,1.613e+07
80.2,1.311e+05,1.415e+07,9.530e+03,1.429e+07
81.9,1.246e+05,1.254e+07,9.044e+03,1.268e+07
83.6,1.167e+05,1.073e+07,1.234e+04,1.086e+07
85.3,1.216e+05,9.077e+06,1.853e+04,9.218e+06
86.9,1.314e+05,7.565e+06,2.399e+04,7.720e+06
88.6,1.297e+05,6.325e+06,3.269e+04,6.487e+06
90.3,1.164e+05,5.322e+06,4.454e+04,5.483e+06
91.9,1.100e+05,4.485e+06,5.214e+04,4.647e+06
93.6,1.258e+05,3.860e+06,5.025e+04,4.036e+06
95.3,1.436e+05,3.500e+06,4.478e+04,3.688e+06
97.0,1.492e+05,3.423e+06,3.320e+04,3.605e+06
98.6,1.348e+05,3.391e+06,2.442e+04,3.550e+06
100.3,1.143e+05,3.196e+06,1.944e+04,3.330e+06
102.0,1.025e+05,2.800e+06,1.520e+04,2.918e+06
103.7,9.973e+04,2.428e+06,1.262e+04,2.540e+06
105.3,1.004e+05,2.235e+06,1.302e+04,2.348e+06
107.0,1.077e+05,2.132e+06,1.086e+04,2.250e+06
108.7,1.089e+05,1.989e+06,8.756e+03,2.107e+06
110.3,1.088e+05,1.792e+06,7.308e+03,1.908e+06
112.0,1.063e+05,1.597e+06,6.530e+03,1.709e+06
113.7,1.057e+05,1.461e+06,5.366e+03,1.572e+06
115.4,9.660e+04,1.350e+06,4.258e+03,1.451e+06
117.0,8.340e+04,1.226e+06,2.966e+03,1.312e+06
118.7,8.593e+04,1.029e+06,1.389e+03,1.117e+06
120.4,9.408e+04,7.960e+05,6.501e+02,8.907e+05
122.0,8.968e+04,7.370e+05,7.564e+02,8.274e+05
123.7,9.996e+04,8.809e+05,8.858e+02,9.817e+05
125.4,1.354e+05,1.546e+06,7.950e+02,1.682e+06
127.1,1.726e+05,1.794e+06,7.073e+02,1.968e+06
128.7,1.920e+05,1.608e+06,1.062e+03,1.801e+06
130.4,2.068e+05,1.537e+06,1.701e+03,1.745e+06
132.1,2.089e+05,1.463e+06,2.296e+03,1.674e+06
133.7,1.203e+05,7.829e+05,1.594e+03,9.049e+05
135.4,3.114e+04,1.387e+05,5.279e+02,1.704e+05
137.1,2.667e+04,8.766e+04,4.744e+02,1.148e+05
138.8,3.038e+04,8.708e+04,5.522e+02,1.180e+05
140.4,3.614e+04,8.485e+04,5.710e+02,1.216e+05
142.1,4.217e+04,8.443e+04,5.481e+02,1.272e+05
143.8,5.059e+04,8.598e+04,5.545e+02,1.371e+05
145.4,6.240e+04,8.834e+04,6.069e+02,1.513e+05
147.1,7.823e+04,9.132e+04,6.645e+02,1.702e+05
148.8,9.815e+04,9.653e+04,7.536e+02,1.954e+05
150.5,1.143e+05,1.043e+05,7.769e+02,2.194e+05
152.1,1.325e+05,1.135e+05,8.012e+02,2.468e+05
153.8,1.453e+05,1.253e+05,8.309e+02,2.714e+05
155.5,1.559e+05,1.465e+05,8.776e+02,3.032e+05
157.1,1.654e+05,1.733e+05,8.860e+02,3.396e+05
158.8,1.743e+05,1.921e+05,9.151e+02,3.674e+05
160.5,1.876e+05,1.996e+05,9.814e+02,3.881e+05
162.2,1.934e+05,2.048e+05,9.517e+02,3.992e+05
163.8,2.040e+05,2.092e+05,1.140e+03,4.144e+05
165.5,2.265e+05,2.159e+05,1.609e+03,4.439e+05
167.2,2.435e+05,2.164e+05,2.190e+03,4.621e+05
168.9,2.390e+05,2.021e+05,2.617e+03,4.437e+05
170.5,2.179e+05,1.689e+05,2.740e+03,3.895e+05
172.2,1.920e+05,1.332e+05,2.787e+03,3.281e+05
173.9,1.655e+05,9.604e+04,2.571e+03,2.641e+05
175.5,1.360e+05,6.544e+04,2.141e+03,2.036e+05
177.2,1.054e+05,4.467e+04,1.682e+03,1.518e+05
178.9,7.988e+04,2.876e+04,1.337e+03,1.100e+05
180.6,6.823e+04,2.030e+04,1.182e+03,8.971e+04
182.2,6.977e+04,2.010e+04,1.202e+03,9.107e+04
183.9,7.103e+04,2.166e+04,1.194e+03,9.388e+04
185.6,7.478e+04,2.181e+04,1.267e+03,9.786e+04
187.2,7.394e+04,2.577e+04,1.294e+03,1.010e+05
188.9,6.596e+04,3.731e+04,1.239e+03,1.045e+05
190.6,6.410e+04,4.712e+04,1.330e+03,1.125e+05
192.3,6.831e+04,5.274e+04,1.428e+03,1.225e+05
193.9,7.057e+04,5.634e+04,1.492e+03,1.284e+05
195.6,6.726e+04,6.147e+04,1.548e+03,1.303e+05
197.3,6.043e+04,6.305e+04,1.473e+03,1.250e+05
198.9,5.342e+04,6.271e+04,1.322e+03,1.174e+05
