freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.859e+02,7.230e+01,1.716e+01,6.754e+02
1.7,5.332e+02,7.750e+01,5.976e+01,6.704e+02
3.3,3.112e+02,5.498e+01,6.157e+01,4.278e+02
5.0,9.774e+02,5.086e+01,6.237e+01,1.091e+03
6.7,2.245e+03,5.232e+01,6.430e+01,2.362e+03
8.3,3.355e+03,5.229e+01,6.623e+01,3.473e+03
10.0,4.702e+03,4.969e+01,6.056e+01,4.813e+03
11.7,6.364e+03,4.827e+01,6.295e+01,6.475e+03
13.3,8.204e+03,5.081e+01,5.992e+01,8.315e+03
15.0,1.008e+04,5.653e+01,6.356e+01,1.020e+04
16.7,1.227e+04,6.195e+01,6.943e+01,1.240e+04
18.3,1.504e+04,6.412e+01,6.710e+01,1.517e+04
20.0,1.830e+04,5.938e+01,6.511e+01,1.842e+04
21.7,2.154e+04,5.596e+01,6.688e+01,2.166e+04
23.3,2.444e+04,5.604e+01,6.222e+01,2.456e+04
25.0,2.836e+04,5.737e+01,7.203e+01,2.849e+04
26.7,3.351e+04,5.922e+01,7.804e+01,3.365e+04
28.3,3.934e+04,7.394e+01,6.576e+01,3.948e+04
30.0,4.512e+04,8.933e+01,6.651e+01,4.528e+04
31.7,5.071e+04,9.729e+01,6.703e+01,5.088e+04
33.3,5.680e+04,1.232e+02,7.099e+01,5.699e+04
35.0,6.327e+04,2.016e+02,8.038e+01,6.355e+04
36.6,7.055e+04,3.078e+02,8.436e+01,7.094e+04
38.3,7.909e+04,2.896e+02,7.450e+01,7.945e+04
40.0,8.889e+04,2.367e+02,7.418e+01,8.920e+04
41.6,9.985e+04,2.226e+02,7.314e+01,1.001e+05
43.3,1.113e+05,2.165e+02,7.481e+01,1.116e+05
45.0,1.225e+05,3.705e+02,7.399e+01,1.229e+05
46.6,1.348e+05,1.162e+03,9.544e+01,1.361e+05
48.3,1.505e+05,3.091e+03,1.471e+02,1.537e+05
50.0,1.699e+05,4.669e+03,2.075e+02,1.747e+05
51.6,1.877e+05,4.238e+03,2.221e+02,1.921e+05
53.3,2.065e+05,3.385e+03,2.021e+02,2.101e+05
55.0,2.243e+05,2.875e+03,1.809e+02,2.273e+05
56.6,2.417e+05,2.778e+03,1.711e+02,2.447e+05
58.3,2.615e+05,3.172e+03,1.679e+02,2.648e+05
60.0,2.823e+05,4.608e+03,1.680e+02,2.870e+05
61.6,3.145e+05,9.721e+03,1.469e+02,3.244e+05
63.3,3.555e+05,2.132e+04,1.304e+02,3.769e+05
65.0,4.046e+05,4.538e+04,1.354e+02,4.501e+05
66.6,4.703e+05,1.006e+05,1.226e+02,5.710e+05
68.3,5.456e+05,2.177e+05,1.894e+02,7.635e+05
70.0,6.069e+05,4.445e+05,7.657e+02,1.052e+06
71.6,6.895e+05,5.763e+05,2.269e+03,1.268e+06
73.3,9.604e+05,2.601e+05,6.321e+03,1.227e+06
75.0,1.261e+06,1.457e+05,1.582e+04,1.423e+06
76.6,1.413e+06,2.004e+05,2.735e+04,1.641e+06
78.3,1.461e+06,2.061e+05,3.057e+04,1.698e+06
80.0,1.524e+06,1.710e+05,2.929e+04,1.725e+06
81.6,1.642e+06,1.073e+05,2.842e+04,1.777e+06
83.3,1.632e+06,8.213e+04,2.843e+04,1.743e+06
85.0,1.496e+06,8.578e+04,2.854e+04,1.610e+06
86.6,1.293e+06,1.087e+05,3.053e+04,1.432e+06
88.3,1.044e+06,1.194e+05,2.997e+04,1.193e+06
90.0,8.606e+05,1.165e+05,2.641e+04,1.004e+06
91.6,7.671e+05,1.228e+05,2.163e+04,9.116e+05
93.3,7.621e+05,1.333e+05,1.805e+04,9.135e+05
95.0,7.164e+05,1.132e+05,1.525e+04,8.449e+05
96.6,6.764e+05,9.245e+04,1.448e+04,7.833e+05
98.3,6.106e+05,7.391e+04,1.315e+04,6.976e+05
99.9,5.364e+05,6.150e+04,1.178e+04,6.097e+05
101.6,4.740e+05,5.912e+04,1.007e+04,5.432e+05
103.3,4.426e+05,7.911e+04,7.404e+03,5.291e+05
104.9,3.979e+05,9.336e+04,5.132e+03,4.964e+05
106.6,2.898e+05,3.821e+04,3.843e+03,3.318e+05
108.3,2.172e+05,3.146e+04,2.256e+03,2.509e+05
109.9,1.760e+05,2.686e+04,2.334e+03,2.052e+05
111.6,1.400e+05,2.261e+04,3.258e+03,1.658e+05
113.3,1.152e+05,3.109e+04,4.716e+03,1.511e+05
114.9,1.182e+05,5.632e+04,6.548e+03,1.811e+05
116.6,1.374e+05,6.586e+04,7.392e+03,2.106e+05
118.3,1.480e+05,6.133e+04,5.892e+03,2.152e+05
119.9,1.622e+05,6.104e+04,3.776e+03,2.270e+05
121.6,2.035e+05,4.544e+04,3.040e+03,2.520e+05
123.3,2.628e+05,3.610e+04,3.266e+03,3.022e+05
124.9,3.325e+05,4.242e+04,2.717e+03,3.777e+05
126.6,4.220e+05,6.761e+04,2.015e+03,4.917e+05
128.3,5.228e+05,8.966e+04,1.299e+03,6.138e+05
129.9,6.048e+05,9.644e+04,5.311e+02,7.018e+05
131.6,6.150e+05,1.002e+05,1.048e+03,7.162e+05
133.3,4.070e+05,6.754e+04,1.166e+03,4.757e+05
134.9,8.451e+04,1.172e+04,3.318e+02,9.656e+04
136.6,3.975e+04,4.255e+03,2.252e+02,4.423e+04
138.3,3.742e+04,3.993e+03,2.923e+02,4.171e+04
139.9,3.665e+04,3.904e+03,3.751e+02,4.093e+04
141.6,3.625e+04,3.653e+03,4.882e+02,4.039e+04
143.3,3.192e+04,3.080e+03,5.202e+02,3.552e+04
144.9,2.974e+04,2.891e+03,5.070e+02,3.314e+04
146.6,3.538e+04,3.532e+03,4.643e+02,3.938e+04
148.3,4.083e+04,3.293e+03,3.634e+02,4.449e+04
149.9,4.604e+04,2.861e+03,2.829e+02,4.919e+04
151.6,5.438e+04,2.725e+03,2.404e+02,5.735e+04
153.3,6.743e+04,2.959e+03,2.324e+02,7.062e+04
154.9,8.238e+04,3.468e+03,2.571e+02,8.610e+04
156.6,9.388e+04,3.698e+03,2.669e+02,9.785e+04
158.3,1.009e+05,3.611e+03,3.072e+02,1.049e+05
159.9,1.117e+05,3.680e+03,3.658e+02,1.158e+05
161.6,1.283e+05,3.525e+03,3.895e+02,1.322e+05
163.3,1.467e+05,2.909e+03,4.108e+02,1.500e+05
164.9,1.765e+05,3.117e+03,5.474e+02,1.802e+05
166.6,1.905e+05,5.965e+03,7.774e+02,1.972e+05
168.2,1.735e+05,1.521e+04,1.052e+03,1.898e+05
169.9,1.950e+05,1.251e+04,1.169e+03,2.087e+05
171.6,2.031e+05,4.322e+03,9.194e+02,2.084e+05
173.2,1.914e+05,3.992e+03,8.867e+02,1.963e+05
174.9,1.762e+05,4.166e+03,9.299e+02,1.813e+05
176.6,1.768e+05,4.345e+03,1.045e+03,1.821e+05
178.2,2.027e+05,5.248e+03,1.341e+03,2.093e+05
179.9,2.272e+05,6.197e+03,1.630e+03,2.351e+05
181.6,2.158e+05,6.149e+03,1.637e+03,2.236e+05
183.2,2.005e+05,5.747e+03,1.560e+03,2.078e+05
184.9,1.839e+05,5.808e+03,1.448e+03,1.911e+05
186.6,1.727e+05,5.119e+03,1.380e+03,1.792e+05
188.2,1.642e+05,4.737e+03,1.253e+03,1.702e+05
189.9,1.569e+05,4.768e+03,1.150e+03,1.629e+05
191.6,1.495e+05,5.845e+03,1.045e+03,1.564e+05
193.2,1.592e+05,7.409e+03,1.067e+03,1.677e+05
194.9,1.813e+05,8.471e+03,1.208e+03,1.910e+05
196.6,1.745e+05,8.578e+03,1.187e+03,1.843e+05
198.2,1.574e+05,8.940e+03,1.048e+03,1.674e+05
199.9,1.394e+05,1.109e+04,9.012e+02,1.514e+05
