freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.418e+01,1.223e+03,1.222e+01,1.279e+03
1.7,1.329e+02,7.173e+02,4.880e+01,8.990e+02
3.3,1.606e+02,8.176e+01,6.255e+01,3.049e+02
5.0,1.252e+02,7.401e+02,6.026e+01,9.256e+02
6.7,1.261e+02,1.971e+03,5.844e+01,2.156e+03
8.3,1.347e+02,3.106e+03,5.963e+01,3.300e+03
10.0,1.345e+02,4.451e+03,6.743e+01,4.653e+03
11.7,1.381e+02,5.996e+03,7.078e+01,6.204e+03
13.3,1.485e+02,8.074e+03,7.517e+01,8.298e+03
15.0,1.409e+02,1.053e+04,7.439e+01,1.074e+04
16.7,1.350e+02,1.356e+04,7.369e+01,1.377e+04
18.3,1.327e+02,1.705e+04,6.936e+01,1.725e+04
20.0,1.402e+02,2.096e+04,7.269e+01,2.118e+04
21.7,1.566e+02,2.466e+04,7.214e+01,2.489e+04
23.3,1.889e+02,2.802e+04,7.408e+01,2.828e+04
25.0,2.129e+02,3.350e+04,6.997e+01,3.378e+04
26.7,2.581e+02,4.065e+04,6.763e+01,4.098e+04
28.3,3.031e+02,4.789e+04,7.538e+01,4.827e+04
30.0,3.910e+02,5.418e+04,7.419e+01,5.464e+04
31.7,5.186e+02,6.071e+04,7.397e+01,6.130e+04
33.3,6.443e+02,6.779e+04,7.224e+01,6.851e+04
35.0,7.491e+02,7.652e+04,8.013e+01,7.735e+04
36.7,8.291e+02,9.092e+04,1.091e+02,9.186e+04
38.3,8.888e+02,1.168e+05,1.567e+02,1.178e+05
40.0,1.126e+03,1.488e+05,1.974e+02,1.501e+05
41.7,1.592e+03,1.788e+05,2.486e+02,1.806e+05
43.3,2.065e+03,1.953e+05,2.246e+02,1.976e+05
45.0,2.796e+03,2.251e+05,2.265e+02,2.282e+05
46.7,3.939e+03,2.786e+05,2.783e+02,2.829e+05
48.3,4.989e+03,3.555e+05,4.152e+02,3.609e+05
50.0,5.944e+03,4.947e+05,8.041e+02,5.014e+05
51.7,7.276e+03,7.532e+05,1.844e+03,7.623e+05
53.3,1.020e+04,1.158e+06,4.005e+03,1.173e+06
55.0,1.486e+04,1.575e+06,6.726e+03,1.597e+06
56.7,1.916e+04,1.804e+06,7.515e+03,1.831e+06
58.3,1.983e+04,1.763e+06,6.399e+03,1.790e+06
60.0,1.736e+04,1.513e+06,5.189e+03,1.536e+06
61.7,1.581e+04,1.352e+06,4.191e+03,1.372e+06
63.3,1.597e+04,1.330e+06,3.575e+03,1.350e+06
65.0,1.583e+04,1.363e+06,3.035e+03,1.382e+06
66.7,1.685e+04,1.548e+06,2.680e+03,1.568e+06
68.3,2.088e+04,2.035e+06,2.569e+03,2.059e+06
70.0,2.633e+04,2.676e+06,2.721e+03,2.705e+06
71.7,3.067e+04,3.264e+06,3.067e+03,3.298e+06
73.3,3.386e+04,3.841e+06,3.531e+03,3.879e+06
75.0,3.428e+04,3.936e+06,4.049e+03,3.974e+06
76.7,3.291e+04,3.578e+06,4.204e+03,3.615e+06
78.3,3.160e+04,3.174e+06,3.465e+03,3.209e+06
80.0,3.072e+04,2.883e+06,2.793e+03,2.917e+06
81.7,2.849e+04,2.715e+06,3.553e+03,2.747e+06
83.3,2.627e+04,2.525e+06,5.091e+03,2.556e+06
85.0,2.412e+04,2.349e+06,7.607e+03,2.381e+06
86.7,2.068e+04,1.977e+06,1.003e+04,2.008e+06
88.3,1.833e+04,1.590e+06,1.316e+04,1.622e+06
90.0,1.890e+04,1.333e+06,1.615e+04,1.368e+06
91.7,1.993e+04,1.178e+06,1.541e+04,1.214e+06
93.3,1.962e+04,1.103e+06,1.158e+04,1.134e+06
95.0,1.851e+04,1.036e+06,8.424e+03,1.063e+06
96.7,1.742e+04,9.253e+05,7.380e+03,9.501e+05
98.3,1.607e+04,7.960e+05,7.291e+03,8.194e+05
100.0,1.540e+04,6.699e+05,7.388e+03,6.927e+05
101.7,1.470e+04,5.016e+05,6.542e+03,5.229e+05
103.3,1.667e+04,3.187e+05,4.626e+03,3.400e+05
105.0,2.519e+04,3.196e+05,4.200e+03,3.490e+05
106.7,2.843e+04,6.516e+05,4.462e+03,6.845e+05
108.3,2.587e+04,1.054e+06,5.276e+03,1.085e+06
110.0,2.569e+04,9.054e+05,4.765e+03,9.358e+05
111.7,2.507e+04,6.279e+05,3.945e+03,6.570e+05
113.3,2.442e+04,4.991e+05,3.750e+03,5.273e+05
115.0,2.371e+04,4.232e+05,3.754e+03,4.506e+05
116.7,2.231e+04,3.753e+05,3.330e+03,4.009e+05
118.3,2.031e+04,3.372e+05,2.487e+03,3.600e+05
120.0,1.929e+04,3.021e+05,1.832e+03,3.232e+05
121.7,1.885e+04,2.812e+05,1.449e+03,3.015e+05
123.3,1.957e+04,2.737e+05,1.177e+03,2.945e+05
125.0,2.178e+04,2.750e+05,9.275e+02,2.977e+05
126.7,2.530e+04,2.797e+05,6.280e+02,3.057e+05
128.3,2.810e+04,2.852e+05,3.908e+02,3.136e+05
130.0,3.082e+04,2.806e+05,3.336e+02,3.117e+05
131.7,3.194e+04,2.419e+05,3.182e+02,2.742e+05
133.3,2.561e+04,1.610e+05,2.693e+02,1.868e+05
135.0,1.187e+04,3.912e+04,2.085e+02,5.120e+04
136.7,9.803e+03,1.845e+04,1.826e+02,2.844e+04
138.3,9.882e+03,1.897e+04,1.556e+02,2.901e+04
140.0,9.721e+03,1.946e+04,1.555e+02,2.933e+04
141.7,9.555e+03,1.980e+04,1.611e+02,2.951e+04
143.3,9.157e+03,2.201e+04,1.497e+02,3.131e+04
145.0,9.520e+03,2.582e+04,1.797e+02,3.552e+04
146.7,1.073e+04,2.817e+04,2.003e+02,3.910e+04
148.3,1.348e+04,2.924e+04,2.200e+02,4.294e+04
150.0,1.751e+04,3.036e+04,2.386e+02,4.811e+04
151.7,2.093e+04,3.155e+04,2.204e+02,5.270e+04
153.3,2.437e+04,3.336e+04,2.230e+02,5.796e+04
155.0,2.955e+04,3.445e+04,2.033e+02,6.420e+04
156.7,3.359e+04,2.980e+04,2.074e+02,6.360e+04
158.3,3.558e+04,2.586e+04,1.945e+02,6.164e+04
160.0,4.086e+04,2.572e+04,2.093e+02,6.679e+04
161.7,4.626e+04,2.750e+04,2.887e+02,7.406e+04
163.3,5.373e+04,2.944e+04,3.587e+02,8.352e+04
165.0,5.942e+04,2.996e+04,4.055e+02,8.978e+04
166.7,5.702e+04,2.828e+04,4.183e+02,8.571e+04
168.3,6.003e+04,1.990e+04,4.937e+02,8.043e+04
170.0,6.628e+04,1.494e+04,5.452e+02,8.176e+04
171.7,6.602e+04,1.142e+04,5.030e+02,7.794e+04
173.3,6.174e+04,9.005e+03,4.747e+02,7.122e+04
175.0,6.069e+04,8.013e+03,4.503e+02,6.915e+04
176.7,6.591e+04,9.190e+03,4.825e+02,7.558e+04
178.3,7.382e+04,1.165e+04,4.956e+02,8.596e+04
180.0,8.079e+04,1.577e+04,5.143e+02,9.708e+04
181.7,9.099e+04,1.948e+04,5.751e+02,1.110e+05
183.3,9.735e+04,2.062e+04,6.137e+02,1.186e+05
185.0,1.036e+05,2.178e+04,6.661e+02,1.260e+05
186.7,1.065e+05,2.435e+04,6.781e+02,1.316e+05
188.3,1.082e+05,3.000e+04,7.236e+02,1.390e+05
190.0,1.061e+05,3.509e+04,7.340e+02,1.419e+05
191.7,1.018e+05,3.823e+04,7.702e+02,1.408e+05
193.3,9.810e+04,4.444e+04,8.248e+02,1.434e+05
195.0,8.919e+04,4.865e+04,8.094e+02,1.386e+05
196.7,7.933e+04,4.782e+04,8.584e+02,1.280e+05
198.3,7.098e+04,4.742e+04,7.996e+02,1.192e+05
