freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.121e+02,1.166e+02,1.016e+03,1.245e+03
1.6,3.533e+02,2.808e+02,7.734e+02,1.407e+03
3.2,3.717e+02,2.973e+02,3.376e+02,1.007e+03
4.8,3.857e+02,2.936e+02,1.070e+03,1.749e+03
6.4,4.210e+02,2.901e+02,2.812e+03,3.523e+03
8.0,4.065e+02,3.212e+02,4.253e+03,4.980e+03
9.6,3.928e+02,3.379e+02,5.919e+03,6.650e+03
11.2,4.184e+02,3.539e+02,7.839e+03,8.611e+03
12.8,4.077e+02,3.634e+02,1.027e+04,1.104e+04
14.4,3.654e+02,3.378e+02,1.308e+04,1.378e+04
16.0,3.624e+02,3.209e+02,1.598e+04,1.667e+04
17.6,3.855e+02,3.534e+02,1.875e+04,1.949e+04
19.2,3.964e+02,3.732e+02,2.322e+04,2.399e+04
20.8,3.780e+02,3.708e+02,2.782e+04,2.857e+04
22.4,4.020e+02,3.642e+02,3.252e+04,3.328e+04
24.0,4.171e+02,3.476e+02,3.768e+04,3.844e+04
25.6,4.038e+02,3.641e+02,4.342e+04,4.419e+04
27.2,4.194e+02,3.796e+02,5.074e+04,5.154e+04
28.8,4.202e+02,4.246e+02,5.778e+04,5.863e+04
30.4,4.397e+02,4.431e+02,6.430e+04,6.519e+04
32.0,4.204e+02,4.432e+02,7.329e+04,7.415e+04
33.6,4.322e+02,4.856e+02,8.411e+04,8.503e+04
35.2,4.858e+02,5.306e+02,9.511e+04,9.613e+04
36.8,5.006e+02,5.068e+02,1.075e+05,1.085e+05
38.4,4.760e+02,4.741e+02,1.215e+05,1.225e+05
40.0,4.840e+02,4.176e+02,1.374e+05,1.383e+05
41.7,4.731e+02,3.549e+02,1.570e+05,1.578e+05
43.3,4.428e+02,3.731e+02,1.771e+05,1.779e+05
44.9,4.298e+02,4.136e+02,1.959e+05,1.967e+05
46.5,4.348e+02,5.201e+02,2.173e+05,2.182e+05
48.1,4.360e+02,7.643e+02,2.431e+05,2.443e+05
49.7,5.411e+02,1.083e+03,2.717e+05,2.733e+05
