freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.738e+02,1.519e+03,9.628e+01,2.189e+03
1.6,6.392e+02,1.061e+03,2.903e+02,1.990e+03
3.2,4.073e+02,3.251e+02,3.239e+02,1.056e+03
4.8,3.761e+02,1.104e+03,3.316e+02,1.812e+03
6.4,4.285e+02,2.858e+03,3.194e+02,3.606e+03
8.0,4.588e+02,4.271e+03,3.340e+02,5.064e+03
9.6,4.367e+02,5.917e+03,3.400e+02,6.693e+03
11.2,4.064e+02,7.899e+03,3.205e+02,8.626e+03
12.8,4.541e+02,1.058e+04,3.072e+02,1.134e+04
14.4,4.513e+02,1.392e+04,3.087e+02,1.468e+04
16.0,4.061e+02,1.749e+04,3.013e+02,1.820e+04
17.6,4.312e+02,2.190e+04,2.919e+02,2.262e+04
19.2,4.645e+02,2.722e+04,3.177e+02,2.800e+04
20.8,4.907e+02,3.218e+04,3.309e+02,3.301e+04
22.4,5.038e+02,3.823e+04,3.764e+02,3.911e+04
24.0,6.166e+02,4.597e+04,3.637e+02,4.695e+04
25.6,7.430e+02,5.392e+04,3.531e+02,5.502e+04
27.2,9.998e+02,6.099e+04,3.439e+02,6.234e+04
28.8,1.351e+03,6.637e+04,3.269e+02,6.805e+04
30.4,1.973e+03,7.332e+04,3.475e+02,7.564e+04
32.0,2.401e+03,8.937e+04,4.695e+02,9.224e+04
33.6,2.092e+03,1.132e+05,5.293e+02,1.158e+05
35.2,1.848e+03,1.378e+05,5.285e+02,1.402e+05
36.8,1.924e+03,1.646e+05,5.908e+02,1.671e+05
38.4,2.688e+03,1.963e+05,7.025e+02,1.997e+05
40.1,4.412e+03,2.331e+05,8.063e+02,2.383e+05
41.7,7.742e+03,2.788e+05,8.567e+02,2.874e+05
43.3,1.290e+04,3.241e+05,8.753e+02,3.379e+05
44.9,1.972e+04,3.622e+05,8.401e+02,3.827e+05
46.5,3.063e+04,4.049e+05,8.153e+02,4.363e+05
48.1,4.411e+04,4.720e+05,1.051e+03,5.172e+05
49.7,5.748e+04,6.024e+05,1.377e+03,6.613e+05
51.3,8.417e+04,8.201e+05,1.555e+03,9.058e+05
52.9,1.457e+05,1.106e+06,1.582e+03,1.253e+06
54.5,2.735e+05,1.428e+06,1.347e+03,1.703e+06
56.1,4.989e+05,1.777e+06,1.666e+03,2.277e+06
57.7,8.331e+05,1.967e+06,4.622e+03,2.804e+06
59.3,1.166e+06,1.807e+06,1.075e+04,2.983e+06
60.9,1.342e+06,1.395e+06,1.722e+04,2.754e+06
62.5,1.343e+06,1.025e+06,2.045e+04,2.388e+06
64.1,1.268e+06,8.455e+05,2.035e+04,2.134e+06
65.7,1.212e+06,8.305e+05,1.909e+04,2.062e+06
67.3,1.152e+06,9.209e+05,1.858e+04,2.092e+06
68.9,1.097e+06,1.064e+06,1.977e+04,2.180e+06
70.5,1.094e+06,1.251e+06,2.288e+04,2.368e+06
72.1,1.143e+06,1.485e+06,3.180e+04,2.660e+06
73.7,1.284e+06,1.871e+06,3.907e+04,3.194e+06
75.3,1.485e+06,2.451e+06,4.365e+04,3.980e+06
76.9,1.726e+06,3.284e+06,4.916e+04,5.059e+06
78.5,1.945e+06,4.331e+06,5.395e+04,6.330e+06
80.1,2.084e+06,5.333e+06,5.480e+04,7.472e+06
81.7,2.017e+06,5.838e+06,4.815e+04,7.904e+06
83.3,1.757e+06,5.796e+06,3.929e+04,7.592e+06
84.9,1.402e+06,5.231e+06,3.034e+04,6.664e+06
86.5,1.117e+06,4.667e+06,2.232e+04,5.806e+06
88.1,8.853e+05,4.116e+06,1.624e+04,5.017e+06
89.7,7.045e+05,3.633e+06,1.135e+04,4.349e+06
91.3,5.565e+05,3.173e+06,6.832e+03,3.736e+06
92.9,4.310e+05,2.749e+06,4.280e+03,3.185e+06
94.5,3.271e+05,2.379e+06,4.365e+03,2.710e+06
96.1,2.564e+05,2.139e+06,4.955e+03,2.400e+06
97.7,1.996e+05,1.890e+06,5.761e+03,2.095e+06
99.3,1.499e+05,1.664e+06,6.555e+03,1.820e+06
100.9,1.139e+05,1.459e+06,6.999e+03,1.580e+06
102.5,8.908e+04,1.294e+06,7.871e+03,1.391e+06
104.1,6.734e+04,1.145e+06,9.883e+03,1.223e+06
105.7,5.081e+04,9.673e+05,1.204e+04,1.030e+06
107.3,3.812e+04,7.943e+05,1.451e+04,8.470e+05
108.9,3.060e+04,6.501e+05,2.127e+04,7.020e+05
110.5,2.524e+04,5.299e+05,3.002e+04,5.851e+05
112.1,1.924e+04,4.205e+05,2.301e+04,4.628e+05
113.7,1.735e+04,3.793e+05,1.840e+04,4.150e+05
115.3,3.806e+04,7.354e+05,3.024e+04,8.037e+05
116.9,6.501e+04,1.210e+06,3.081e+04,1.305e+06
118.6,5.459e+04,1.081e+06,2.682e+04,1.162e+06
120.2,4.340e+04,9.054e+05,2.697e+04,9.757e+05
121.8,3.917e+04,8.483e+05,2.866e+04,9.162e+05
123.4,3.575e+04,8.233e+05,3.163e+04,8.907e+05
125.0,3.250e+04,7.763e+05,3.460e+04,8.433e+05
126.6,3.074e+04,7.329e+05,3.597e+04,7.997e+05
128.2,3.106e+04,6.942e+05,3.786e+04,7.632e+05
129.8,1.653e+04,3.569e+05,2.301e+04,3.964e+05
131.4,3.745e+03,6.479e+04,8.255e+03,7.679e+04
133.0,3.076e+03,4.590e+04,8.850e+03,5.782e+04
134.6,3.057e+03,4.859e+04,1.021e+04,6.186e+04
136.2,2.991e+03,4.995e+04,1.101e+04,6.396e+04
137.8,2.946e+03,5.122e+04,1.107e+04,6.523e+04
139.4,2.828e+03,5.142e+04,1.075e+04,6.500e+04
141.0,3.021e+03,5.240e+04,1.192e+04,6.734e+04
142.6,3.564e+03,5.546e+04,1.357e+04,7.259e+04
144.2,4.317e+03,6.115e+04,1.576e+04,8.123e+04
145.8,4.595e+03,6.382e+04,1.864e+04,8.705e+04
147.4,4.478e+03,6.563e+04,2.239e+04,9.250e+04
149.0,4.367e+03,6.710e+04,2.745e+04,9.892e+04
150.6,4.124e+03,6.750e+04,3.356e+04,1.052e+05
