freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.629e+03,1.457e+02,4.403e+01,1.819e+03
1.7,6.913e+03,4.615e+02,2.030e+02,7.578e+03
3.3,8.003e+03,4.538e+02,2.194e+02,8.676e+03
5.0,7.984e+03,4.607e+02,2.176e+02,8.663e+03
6.7,1.044e+04,4.867e+02,2.425e+02,1.117e+04
8.4,1.229e+04,4.978e+02,2.587e+02,1.304e+04
10.0,1.198e+04,4.577e+02,2.192e+02,1.266e+04
11.7,1.432e+04,4.526e+02,2.261e+02,1.500e+04
13.4,1.647e+04,4.593e+02,2.474e+02,1.718e+04
15.1,1.809e+04,4.696e+02,2.347e+02,1.880e+04
16.7,2.054e+04,4.831e+02,2.307e+02,2.125e+04
18.4,2.355e+04,4.770e+02,2.319e+02,2.426e+04
20.1,2.542e+04,4.551e+02,2.174e+02,2.609e+04
21.8,2.808e+04,4.767e+02,2.227e+02,2.878e+04
23.4,3.191e+04,5.160e+02,2.184e+02,3.264e+04
25.1,3.479e+04,5.524e+02,2.258e+02,3.557e+04
26.8,3.723e+04,5.098e+02,2.152e+02,3.796e+04
28.5,3.969e+04,5.747e+02,2.156e+02,4.048e+04
30.1,4.313e+04,6.259e+02,2.386e+02,4.399e+04
31.8,4.535e+04,6.900e+02,2.470e+02,4.628e+04
33.5,4.858e+04,7.923e+02,2.345e+02,4.960e+04
35.2,5.379e+04,8.635e+02,2.207e+02,5.488e+04
36.8,5.994e+04,8.705e+02,2.292e+02,6.104e+04
38.5,6.608e+04,8.430e+02,2.402e+02,6.716e+04
40.2,7.205e+04,7.534e+02,2.607e+02,7.306e+04
41.9,7.758e+04,5.859e+02,2.311e+02,7.840e+04
43.5,8.544e+04,5.671e+02,2.220e+02,8.623e+04
45.2,9.405e+04,5.230e+02,2.388e+02,9.481e+04
46.9,1.046e+05,5.689e+02,2.597e+02,1.054e+05
48.6,1.159e+05,7.842e+02,2.571e+02,1.170e+05
50.2,1.282e+05,1.170e+03,2.492e+02,1.296e+05
51.9,1.441e+05,1.672e+03,2.724e+02,1.461e+05
53.6,1.598e+05,2.028e+03,2.909e+02,1.621e+05
55.3,1.781e+05,2.247e+03,3.398e+02,1.807e+05
56.9,2.009e+05,2.431e+03,4.101e+02,2.037e+05
58.6,2.268e+05,3.019e+03,4.791e+02,2.303e+05
60.3,2.565e+05,5.352e+03,5.290e+02,2.624e+05
62.0,2.865e+05,1.206e+04,5.926e+02,2.992e+05
63.6,3.140e+05,2.267e+04,7.108e+02,3.374e+05
65.3,3.439e+05,3.340e+04,7.849e+02,3.781e+05
67.0,3.855e+05,4.765e+04,9.144e+02,4.341e+05
68.7,4.321e+05,7.237e+04,1.150e+03,5.056e+05
70.3,4.878e+05,1.293e+05,1.564e+03,6.187e+05
72.0,5.553e+05,2.695e+05,2.071e+03,8.269e+05
73.7,6.564e+05,4.716e+05,2.909e+03,1.131e+06
75.4,7.965e+05,5.184e+05,3.994e+03,1.319e+06
77.0,8.767e+05,4.085e+05,5.396e+03,1.291e+06
78.7,9.027e+05,3.202e+05,7.967e+03,1.231e+06
80.4,9.238e+05,2.462e+05,1.241e+04,1.182e+06
82.0,9.643e+05,1.719e+05,1.725e+04,1.153e+06
83.7,9.877e+05,1.498e+05,2.423e+04,1.162e+06
85.4,1.000e+06,1.562e+05,2.192e+04,1.178e+06
87.1,1.008e+06,1.575e+05,1.571e+04,1.181e+06
88.7,9.902e+05,1.560e+05,1.756e+04,1.164e+06
90.4,9.159e+05,1.484e+05,1.813e+04,1.082e+06
92.1,8.536e+05,1.393e+05,1.592e+04,1.009e+06
93.8,7.965e+05,1.472e+05,1.229e+04,9.559e+05
95.4,7.113e+05,1.468e+05,9.952e+03,8.681e+05
97.1,6.391e+05,1.549e+05,9.958e+03,8.039e+05
98.8,5.636e+05,1.958e+05,9.940e+03,7.694e+05
