freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.977e+03,6.428e+01,3.214e+01,3.074e+03
1.7,3.101e+03,1.339e+02,8.324e+01,3.318e+03
3.3,2.306e+03,1.073e+02,9.090e+01,2.504e+03
5.0,4.861e+03,1.354e+02,8.416e+01,5.081e+03
6.6,1.032e+04,1.433e+02,9.148e+01,1.056e+04
8.3,1.530e+04,1.501e+02,9.306e+01,1.554e+04
10.0,2.107e+04,1.517e+02,9.114e+01,2.131e+04
11.6,2.774e+04,1.488e+02,9.718e+01,2.799e+04
13.3,3.546e+04,1.385e+02,1.017e+02,3.570e+04
14.9,4.444e+04,1.526e+02,9.454e+01,4.469e+04
16.6,5.508e+04,1.589e+02,9.332e+01,5.533e+04
18.3,6.631e+04,1.540e+02,9.532e+01,6.656e+04
19.9,7.828e+04,2.030e+02,1.000e+02,7.858e+04
21.6,9.231e+04,2.690e+02,1.045e+02,9.269e+04
23.2,1.067e+05,2.901e+02,1.006e+02,1.071e+05
24.9,1.208e+05,2.636e+02,1.017e+02,1.212e+05
26.6,1.357e+05,2.472e+02,1.071e+02,1.360e+05
28.2,1.530e+05,2.772e+02,1.177e+02,1.534e+05
29.9,1.734e+05,3.436e+02,1.358e+02,1.739e+05
31.5,1.983e+05,5.331e+02,1.592e+02,1.990e+05
33.2,2.246e+05,8.303e+02,1.586e+02,2.256e+05
34.9,2.531e+05,1.273e+03,1.485e+02,2.545e+05
36.5,2.849e+05,1.669e+03,1.530e+02,2.867e+05
38.2,3.149e+05,1.903e+03,1.589e+02,3.170e+05
39.9,3.462e+05,1.909e+03,1.492e+02,3.483e+05
41.5,3.835e+05,1.788e+03,1.404e+02,3.855e+05
43.2,4.231e+05,1.663e+03,1.323e+02,4.249e+05
44.8,4.649e+05,1.435e+03,1.273e+02,4.664e+05
46.5,5.132e+05,1.419e+03,1.621e+02,5.148e+05
48.2,5.663e+05,1.293e+03,1.967e+02,5.678e+05
49.8,6.232e+05,1.329e+03,2.281e+02,6.247e+05
51.5,6.835e+05,1.618e+03,2.725e+02,6.854e+05
53.1,7.498e+05,1.979e+03,3.196e+02,7.521e+05
54.8,8.234e+05,3.056e+03,3.907e+02,8.268e+05
56.5,9.008e+05,4.701e+03,4.172e+02,9.059e+05
58.1,9.816e+05,5.629e+03,4.323e+02,9.876e+05
59.8,1.066e+06,6.293e+03,4.418e+02,1.073e+06
61.4,1.163e+06,7.886e+03,3.059e+02,1.172e+06
63.1,1.275e+06,1.128e+04,2.038e+02,1.287e+06
64.8,1.381e+06,1.782e+04,2.587e+02,1.399e+06
66.4,1.511e+06,2.679e+04,5.969e+02,1.538e+06
68.1,1.668e+06,2.873e+04,1.593e+03,1.698e+06
69.7,1.855e+06,2.569e+04,3.403e+03,1.884e+06
71.4,2.090e+06,2.425e+04,6.111e+03,2.120e+06
73.1,2.391e+06,3.317e+04,9.256e+03,2.433e+06
74.7,2.773e+06,4.530e+04,1.369e+04,2.832e+06
76.4,3.266e+06,5.454e+04,1.926e+04,3.340e+06
78.0,3.828e+06,6.887e+04,2.487e+04,3.921e+06
79.7,4.439e+06,6.275e+04,3.038e+04,4.532e+06
81.4,5.150e+06,3.212e+04,3.451e+04,5.217e+06
83.0,6.060e+06,8.707e+03,3.966e+04,6.108e+06
84.7,7.129e+06,5.518e+03,4.272e+04,7.177e+06
86.3,8.071e+06,2.061e+04,3.770e+04,8.129e+06
88.0,8.591e+06,3.949e+04,3.433e+04,8.665e+06
89.7,8.559e+06,4.723e+04,3.348e+04,8.640e+06
91.3,7.956e+06,4.694e+04,3.856e+04,8.041e+06
93.0,6.890e+06,4.650e+04,6.156e+04,6.998e+06
94.6,5.673e+06,5.173e+04,9.368e+04,5.818e+06
96.3,4.390e+06,3.735e+04,1.133e+05,4.541e+06
98.0,3.597e+06,3.185e+04,1.196e+05,3.749e+06
99.6,3.533e+06,6.867e+04,1.318e+05,3.733e+06
101.3,3.110e+06,8.934e+04,1.456e+05,3.345e+06
102.9,2.640e+06,1.006e+05,1.412e+05,2.882e+06
104.6,2.327e+06,9.989e+04,1.288e+05,2.556e+06
106.3,2.115e+06,7.760e+04,9.620e+04,2.289e+06
107.9,1.928e+06,6.627e+04,5.262e+04,2.047e+06
109.6,1.858e+06,7.408e+04,1.895e+04,1.951e+06
111.2,1.853e+06,9.172e+04,7.133e+03,1.951e+06
112.9,1.882e+06,9.762e+04,1.168e+04,1.992e+06
114.6,1.915e+06,1.084e+05,1.844e+04,2.042e+06
116.2,2.080e+06,2.042e+05,2.108e+04,2.305e+06
117.9,2.323e+06,3.549e+05,2.191e+04,2.699e+06
119.6,2.476e+06,3.413e+05,2.513e+04,2.843e+06
121.2,2.721e+06,2.649e+05,2.506e+04,3.010e+06
122.9,2.991e+06,2.117e+05,2.172e+04,3.224e+06
124.5,3.263e+06,1.740e+05,1.915e+04,3.456e+06
126.2,3.638e+06,1.479e+05,1.951e+04,3.806e+06
127.9,4.046e+06,1.373e+05,2.032e+04,4.204e+06
129.5,4.508e+06,1.275e+05,2.251e+04,4.658e+06
131.2,4.982e+06,1.274e+05,2.600e+04,5.135e+06
132.8,4.376e+06,1.054e+05,2.451e+04,4.506e+06
134.5,1.219e+06,3.016e+04,7.642e+03,1.257e+06
136.2,1.612e+05,6.232e+03,1.686e+03,1.691e+05
137.8,1.719e+05,6.614e+03,1.880e+03,1.804e+05
139.5,1.997e+05,7.491e+03,2.153e+03,2.094e+05
141.1,2.241e+05,8.117e+03,2.412e+03,2.346e+05
142.8,2.451e+05,8.368e+03,2.588e+03,2.560e+05
144.5,2.589e+05,8.646e+03,2.672e+03,2.703e+05
146.1,2.659e+05,8.636e+03,2.728e+03,2.772e+05
147.8,2.728e+05,8.771e+03,2.864e+03,2.845e+05
149.4,2.844e+05,9.368e+03,3.035e+03,2.968e+05
151.1,3.137e+05,1.012e+04,3.130e+03,3.270e+05
152.8,3.632e+05,1.065e+04,3.356e+03,3.772e+05
154.4,4.220e+05,9.635e+03,3.405e+03,4.350e+05
156.1,4.836e+05,8.299e+03,3.314e+03,4.952e+05
157.7,5.196e+05,8.708e+03,3.024e+03,5.314e+05
