freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.134e+03,2.568e+02,7.706e+01,5.468e+03
1.7,2.748e+04,7.083e+02,4.140e+02,2.861e+04
3.3,3.628e+04,7.574e+02,5.292e+02,3.757e+04
5.0,3.275e+04,6.401e+02,4.369e+02,3.383e+04
6.7,3.667e+04,6.408e+02,4.777e+02,3.779e+04
8.4,4.618e+04,6.743e+02,5.748e+02,4.743e+04
10.0,4.613e+04,6.587e+02,5.658e+02,4.735e+04
11.7,4.687e+04,6.884e+02,5.401e+02,4.810e+04
13.4,4.844e+04,7.371e+02,5.581e+02,4.974e+04
15.0,4.665e+04,7.276e+02,5.326e+02,4.791e+04
16.7,5.136e+04,7.922e+02,5.594e+02,5.271e+04
18.4,5.057e+04,7.906e+02,4.888e+02,5.185e+04
20.1,5.667e+04,7.877e+02,5.407e+02,5.800e+04
21.7,5.695e+04,7.750e+02,5.184e+02,5.824e+04
23.4,6.211e+04,8.377e+02,5.188e+02,6.347e+04
25.1,6.989e+04,9.889e+02,5.924e+02,7.147e+04
26.7,7.239e+04,1.108e+03,6.336e+02,7.413e+04
28.4,7.986e+04,1.114e+03,6.605e+02,8.163e+04
30.1,8.617e+04,1.141e+03,5.992e+02,8.791e+04
31.8,8.622e+04,1.189e+03,5.408e+02,8.795e+04
33.4,9.098e+04,1.138e+03,5.009e+02,9.262e+04
35.1,9.122e+04,1.278e+03,5.041e+02,9.300e+04
36.8,1.011e+05,1.627e+03,6.284e+02,1.033e+05
38.4,1.024e+05,1.904e+03,5.379e+02,1.049e+05
40.1,1.156e+05,2.201e+03,6.223e+02,1.185e+05
41.8,1.231e+05,1.770e+03,5.988e+02,1.255e+05
43.5,1.244e+05,1.682e+03,5.394e+02,1.266e+05
45.1,1.347e+05,1.476e+03,4.966e+02,1.366e+05
46.8,1.439e+05,1.422e+03,5.122e+02,1.458e+05
48.5,1.577e+05,2.459e+03,6.044e+02,1.607e+05
50.1,1.676e+05,5.213e+03,5.982e+02,1.734e+05
51.8,1.758e+05,8.957e+03,7.093e+02,1.854e+05
53.5,1.885e+05,1.032e+04,8.262e+02,1.996e+05
55.2,1.968e+05,8.714e+03,9.072e+02,2.064e+05
56.8,2.192e+05,7.165e+03,8.745e+02,2.272e+05
58.5,2.299e+05,9.896e+03,7.790e+02,2.406e+05
60.2,2.498e+05,1.935e+04,8.159e+02,2.700e+05
61.8,2.625e+05,3.366e+04,7.504e+02,2.969e+05
63.5,2.758e+05,5.123e+04,8.094e+02,3.278e+05
65.2,2.938e+05,7.703e+04,8.423e+02,3.716e+05
66.9,3.177e+05,1.070e+05,8.034e+02,4.255e+05
68.5,3.515e+05,1.364e+05,9.722e+02,4.889e+05
70.2,3.708e+05,1.675e+05,1.225e+03,5.395e+05
71.9,3.965e+05,2.110e+05,1.668e+03,6.092e+05
73.5,4.182e+05,2.541e+05,2.301e+03,6.747e+05
75.2,4.782e+05,3.312e+05,2.979e+03,8.124e+05
76.9,5.372e+05,4.787e+05,3.347e+03,1.019e+06
78.6,5.759e+05,6.860e+05,4.975e+03,1.267e+06
80.2,6.946e+05,7.881e+05,7.366e+03,1.490e+06
81.9,7.814e+05,7.650e+05,8.123e+03,1.554e+06
83.6,8.875e+05,7.197e+05,8.401e+03,1.616e+06
85.2,1.024e+06,6.328e+05,8.242e+03,1.665e+06
86.9,1.183e+06,5.148e+05,7.749e+03,1.706e+06
88.6,1.393e+06,4.416e+05,9.646e+03,1.844e+06
