freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.098e+03,6.318e+02,1.044e+03,2.774e+03
1.6,6.335e+03,2.989e+03,8.278e+02,1.015e+04
3.2,7.647e+03,3.575e+03,3.744e+02,1.160e+04
4.8,7.572e+03,3.648e+03,1.162e+03,1.238e+04
6.4,7.849e+03,3.941e+03,2.865e+03,1.465e+04
8.0,8.236e+03,3.877e+03,4.305e+03,1.642e+04
9.6,7.572e+03,3.606e+03,6.006e+03,1.718e+04
11.2,6.960e+03,3.422e+03,7.972e+03,1.835e+04
12.8,6.696e+03,3.151e+03,1.051e+04,2.035e+04
14.4,7.765e+03,3.592e+03,1.346e+04,2.481e+04
16.0,7.086e+03,3.174e+03,1.646e+04,2.672e+04
17.6,7.208e+03,3.408e+03,1.992e+04,3.054e+04
19.2,7.473e+03,3.614e+03,2.370e+04,3.479e+04
20.8,8.077e+03,3.893e+03,2.821e+04,4.018e+04
22.4,8.204e+03,4.076e+03,3.305e+04,4.533e+04
24.0,8.967e+03,4.080e+03,3.868e+04,5.173e+04
25.6,8.577e+03,3.848e+03,4.329e+04,5.571e+04
27.2,7.545e+03,3.400e+03,4.585e+04,5.679e+04
28.8,7.996e+03,3.638e+03,5.034e+04,6.197e+04
30.4,7.997e+03,3.984e+03,5.773e+04,6.971e+04
32.0,7.822e+03,4.015e+03,6.709e+04,7.892e+04
33.6,8.930e+03,4.594e+03,7.702e+04,9.054e+04
35.2,8.548e+03,4.427e+03,8.739e+04,1.004e+05
36.8,8.771e+03,4.322e+03,9.715e+04,1.102e+05
38.4,8.427e+03,4.539e+03,1.072e+05,1.202e+05
40.0,8.572e+03,4.334e+03,1.191e+05,1.320e+05
41.6,8.148e+03,4.115e+03,1.331e+05,1.453e+05
43.2,8.488e+03,4.192e+03,1.476e+05,1.603e+05
44.8,8.526e+03,4.739e+03,1.610e+05,1.742e+05
46.4,9.568e+03,6.070e+03,1.762e+05,1.919e+05
48.0,1.064e+04,6.460e+03,1.943e+05,2.114e+05
49.6,9.862e+03,6.301e+03,2.145e+05,2.307e+05
51.2,9.193e+03,5.711e+03,2.366e+05,2.515e+05
52.8,8.889e+03,5.134e+03,2.624e+05,2.764e+05
54.4,9.483e+03,4.944e+03,2.919e+05,3.063e+05
56.0,1.040e+04,4.909e+03,3.256e+05,3.409e+05
57.6,1.014e+04,4.998e+03,3.590e+05,3.741e+05
59.2,1.058e+04,6.625e+03,3.888e+05,4.060e+05
60.8,1.051e+04,7.340e+03,4.165e+05,4.344e+05
62.4,1.083e+04,7.155e+03,4.440e+05,4.620e+05
64.0,1.058e+04,7.972e+03,4.738e+05,4.923e+05
65.6,1.119e+04,7.438e+03,5.125e+05,5.311e+05
67.2,1.752e+04,8.474e+03,5.633e+05,5.892e+05
68.8,3.128e+04,1.229e+04,6.282e+05,6.718e+05
70.4,4.888e+04,2.319e+04,7.081e+05,7.802e+05
72.0,6.783e+04,4.162e+04,8.034e+05,9.128e+05
73.6,8.539e+04,6.899e+04,9.144e+05,1.069e+06
75.2,9.579e+04,9.704e+04,1.049e+06,1.241e+06
76.8,1.094e+05,1.367e+05,1.207e+06,1.453e+06
78.4,1.329e+05,1.999e+05,1.384e+06,1.717e+06
80.0,1.340e+05,2.440e+05,1.573e+06,1.951e+06
81.6,1.344e+05,3.013e+05,1.793e+06,2.229e+06
83.2,1.458e+05,4.039e+05,2.043e+06,2.592e+06
84.8,1.405e+05,5.131e+05,2.292e+06,2.945e+06
86.4,1.380e+05,6.374e+05,2.539e+06,3.314e+06
88.0,1.219e+05,6.825e+05,2.733e+06,3.537e+06
89.6,9.813e+04,6.495e+05,2.870e+06,3.618e+06
91.2,6.612e+04,5.650e+05,2.890e+06,3.521e+06
92.8,4.368e+04,4.704e+05,2.865e+06,3.380e+06
94.4,3.511e+04,3.930e+05,2.762e+06,3.191e+06
96.0,3.245e+04,3.564e+05,2.418e+06,2.807e+06
97.6,2.657e+04,2.949e+05,2.351e+06,2.672e+06
99.2,3.415e+04,2.389e+05,2.529e+06,2.802e+06
100.8,5.405e+04,2.418e+05,2.277e+06,2.573e+06
102.4,7.689e+04,2.365e+05,2.075e+06,2.388e+06
104.0,9.141e+04,2.274e+05,1.957e+06,2.276e+06
105.6,8.939e+04,1.978e+05,1.741e+06,2.028e+06
107.2,7.202e+04,1.620e+05,1.448e+06,1.682e+06
108.8,5.990e+04,1.338e+05,1.171e+06,1.365e+06
110.4,5.477e+04,9.285e+04,9.101e+05,1.058e+06
112.0,4.437e+04,5.784e+04,7.023e+05,8.045e+05
113.6,3.789e+04,2.812e+04,5.507e+05,6.167e+05
115.2,3.280e+04,2.083e+04,4.324e+05,4.861e+05
116.8,2.714e+04,4.908e+04,3.976e+05,4.738e+05
118.4,4.039e+04,2.158e+05,3.964e+05,6.526e+05
120.0,5.307e+04,2.905e+05,4.558e+05,7.994e+05
121.6,5.553e+04,2.465e+05,5.921e+05,8.942e+05
123.2,5.876e+04,2.149e+05,7.579e+05,1.031e+06
124.8,6.254e+04,2.091e+05,9.520e+05,1.224e+06
126.4,7.595e+04,2.134e+05,1.126e+06,1.415e+06
128.0,7.885e+04,2.052e+05,1.213e+06,1.497e+06
129.6,4.312e+04,1.181e+05,7.557e+05,9.169e+05
131.2,1.159e+04,2.187e+04,1.009e+05,1.343e+05
132.8,7.863e+03,1.142e+04,2.873e+04,4.801e+04
134.4,6.856e+03,1.148e+04,3.273e+04,5.107e+04
136.0,6.633e+03,1.171e+04,3.560e+04,5.394e+04
137.6,7.555e+03,1.288e+04,3.955e+04,5.998e+04
139.2,6.974e+03,1.248e+04,4.551e+04,6.496e+04
140.8,7.410e+03,1.221e+04,5.494e+04,7.456e+04
142.4,7.252e+03,1.237e+04,6.500e+04,8.463e+04
144.0,7.346e+03,1.206e+04,7.690e+04,9.630e+04
145.6,7.015e+03,1.268e+04,8.816e+04,1.079e+05
147.2,6.652e+03,1.331e+04,1.011e+05,1.210e+05
148.8,7.802e+03,1.396e+04,1.195e+05,1.412e+05
150.4,7.305e+03,1.411e+04,1.366e+05,1.580e+05
152.0,6.662e+03,1.394e+04,1.533e+05,1.739e+05
153.6,6.728e+03,1.487e+04,1.691e+05,1.907e+05
155.2,6.953e+03,1.587e+04,1.912e+05,2.141e+05
156.8,7.382e+03,1.663e+04,2.108e+05,2.348e+05
158.4,7.842e+03,1.714e+04,2.329e+05,2.578e+05
160.0,6.952e+03,1.603e+04,2.639e+05,2.869e+05
161.6,5.962e+03,1.507e+04,2.961e+05,3.171e+05
163.2,6.687e+03,1.632e+04,3.487e+05,3.717e+05
164.8,6.815e+03,1.704e+04,4.054e+05,4.293e+05
166.4,6.737e+03,1.799e+04,4.705e+05,4.952e+05
168.0,7.139e+03,1.979e+04,5.742e+05,6.012e+05
169.6,7.610e+03,2.153e+04,6.492e+05,6.784e+05
171.2,7.339e+03,2.406e+04,7.202e+05,7.516e+05
172.8,6.931e+03,2.869e+04,8.412e+05,8.768e+05
