freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.177e+03,4.151e+03,9.522e+01,6.424e+03
1.6,6.075e+03,4.257e+03,2.999e+02,1.063e+04
3.2,7.123e+03,3.349e+03,3.596e+02,1.083e+04
4.8,6.806e+03,3.734e+03,3.419e+02,1.088e+04
6.4,6.356e+03,5.395e+03,3.625e+02,1.211e+04
8.0,7.239e+03,7.283e+03,3.506e+02,1.487e+04
9.6,6.481e+03,8.658e+03,3.178e+02,1.546e+04
11.2,6.654e+03,1.096e+04,3.140e+02,1.793e+04
12.8,6.937e+03,1.354e+04,3.172e+02,2.080e+04
14.4,8.057e+03,1.681e+04,3.214e+02,2.519e+04
16.0,7.975e+03,2.062e+04,3.313e+02,2.893e+04
17.6,7.878e+03,2.442e+04,3.279e+02,3.263e+04
19.2,7.604e+03,2.874e+04,3.503e+02,3.669e+04
20.8,6.307e+03,3.379e+04,3.619e+02,4.046e+04
22.4,7.001e+03,4.041e+04,3.899e+02,4.780e+04
24.0,7.929e+03,4.744e+04,3.616e+02,5.573e+04
25.6,7.070e+03,5.423e+04,3.484e+02,6.165e+04
27.2,7.647e+03,6.095e+04,3.271e+02,6.893e+04
28.8,8.060e+03,6.604e+04,3.505e+02,7.445e+04
30.4,9.154e+03,7.056e+04,3.704e+02,8.008e+04
32.0,8.998e+03,8.141e+04,3.651e+02,9.077e+04
33.6,8.846e+03,9.934e+04,4.108e+02,1.086e+05
35.2,8.647e+03,1.177e+05,4.620e+02,1.268e+05
36.8,8.648e+03,1.358e+05,4.183e+02,1.449e+05
38.4,9.188e+03,1.567e+05,4.455e+02,1.663e+05
40.0,1.006e+04,1.790e+05,4.673e+02,1.895e+05
41.6,1.248e+04,2.010e+05,4.699e+02,2.140e+05
43.2,1.579e+04,2.216e+05,4.679e+02,2.379e+05
44.8,1.944e+04,2.393e+05,5.139e+02,2.592e+05
46.4,2.302e+04,2.553e+05,6.546e+02,2.790e+05
48.0,3.164e+04,2.783e+05,9.576e+02,3.108e+05
49.6,4.269e+04,3.330e+05,1.397e+03,3.770e+05
51.2,5.191e+04,4.161e+05,1.772e+03,4.698e+05
52.8,6.800e+04,4.963e+05,2.249e+03,5.666e+05
54.4,1.013e+05,5.816e+05,3.611e+03,6.865e+05
56.0,1.701e+05,6.777e+05,5.668e+03,8.534e+05
57.6,3.220e+05,8.007e+05,9.091e+03,1.132e+06
59.2,6.411e+05,9.800e+05,1.667e+04,1.638e+06
60.8,1.350e+06,1.283e+06,3.119e+04,2.665e+06
62.4,2.394e+06,1.872e+06,5.003e+04,4.316e+06
64.0,3.274e+06,2.666e+06,6.348e+04,6.003e+06
65.6,3.453e+06,3.100e+06,6.370e+04,6.617e+06
67.2,3.433e+06,3.418e+06,6.355e+04,6.914e+06
68.8,3.515e+06,3.982e+06,6.585e+04,7.563e+06
70.4,3.563e+06,4.641e+06,6.753e+04,8.272e+06
72.0,3.612e+06,5.541e+06,7.097e+04,9.224e+06
73.6,3.786e+06,6.832e+06,7.530e+04,1.069e+07
75.2,4.090e+06,8.599e+06,8.241e+04,1.277e+07
76.8,4.705e+06,1.133e+07,9.201e+04,1.613e+07
78.4,5.530e+06,1.511e+07,9.669e+04,2.074e+07
80.0,6.625e+06,2.080e+07,1.029e+05,2.752e+07
81.6,7.498e+06,2.712e+07,1.046e+05,3.472e+07
83.2,7.588e+06,3.130e+07,9.281e+04,3.898e+07
84.8,6.453e+06,2.981e+07,6.942e+04,3.633e+07
86.4,4.969e+06,2.534e+07,4.582e+04,3.035e+07
88.0,3.677e+06,2.033e+07,2.773e+04,2.403e+07
89.6,2.727e+06,1.606e+07,1.672e+04,1.880e+07
91.2,1.982e+06,1.249e+07,1.021e+04,1.448e+07
92.8,1.477e+06,9.902e+06,7.197e+03,1.139e+07
94.4,1.152e+06,7.992e+06,5.216e+03,9.149e+06
96.0,9.082e+05,6.403e+06,4.275e+03,7.315e+06
97.6,7.670e+05,5.464e+06,6.201e+03,6.237e+06
99.2,6.581e+05,4.770e+06,7.606e+03,5.436e+06
100.8,5.363e+05,4.080e+06,1.033e+04,4.627e+06
102.4,4.705e+05,3.598e+06,1.300e+04,4.081e+06
104.0,4.319e+05,3.247e+06,1.874e+04,3.697e+06
105.6,4.009e+05,2.909e+06,2.921e+04,3.339e+06
