freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.127e+02,3.398e+01,1.727e+01,7.640e+02
1.7,4.766e+02,4.074e+01,6.010e+01,5.774e+02
3.4,1.379e+02,3.177e+01,6.112e+01,2.308e+02
5.0,8.583e+02,3.164e+01,5.628e+01,9.462e+02
6.7,2.188e+03,3.087e+01,5.828e+01,2.277e+03
8.4,3.367e+03,3.190e+01,5.800e+01,3.457e+03
10.1,4.736e+03,3.085e+01,5.617e+01,4.823e+03
11.7,6.379e+03,3.278e+01,5.653e+01,6.468e+03
13.4,8.288e+03,3.727e+01,5.884e+01,8.384e+03
15.1,1.044e+04,3.812e+01,6.313e+01,1.054e+04
16.8,1.291e+04,3.700e+01,6.754e+01,1.301e+04
18.4,1.551e+04,3.843e+01,6.006e+01,1.561e+04
20.1,1.826e+04,4.135e+01,5.723e+01,1.836e+04
21.8,2.154e+04,5.334e+01,5.986e+01,2.165e+04
23.5,2.546e+04,8.529e+01,6.065e+01,2.560e+04
25.1,2.940e+04,1.065e+02,6.386e+01,2.957e+04
26.8,3.230e+04,1.168e+02,6.317e+01,3.248e+04
28.5,3.453e+04,1.077e+02,6.202e+01,3.470e+04
30.2,3.827e+04,1.059e+02,6.162e+01,3.843e+04
31.8,4.371e+04,1.206e+02,5.942e+01,4.389e+04
33.5,4.867e+04,1.509e+02,6.230e+01,4.888e+04
35.2,5.345e+04,1.912e+02,6.430e+01,5.370e+04
36.9,5.844e+04,2.357e+02,5.916e+01,5.874e+04
38.5,6.323e+04,2.637e+02,6.018e+01,6.356e+04
40.2,7.013e+04,2.503e+02,6.768e+01,7.045e+04
41.9,7.949e+04,2.267e+02,7.857e+01,7.980e+04
43.6,9.106e+04,1.753e+02,8.979e+01,9.132e+04
45.2,1.035e+05,1.064e+02,8.829e+01,1.037e+05
46.9,1.170e+05,5.424e+01,9.450e+01,1.172e+05
48.6,1.316e+05,9.360e+01,8.818e+01,1.318e+05
50.3,1.443e+05,2.374e+02,8.390e+01,1.446e+05
51.9,1.558e+05,3.989e+02,9.080e+01,1.563e+05
53.6,1.699e+05,6.691e+02,1.512e+02,1.708e+05
55.3,1.878e+05,1.201e+03,2.832e+02,1.893e+05
57.0,2.073e+05,1.902e+03,4.363e+02,2.097e+05
58.6,2.273e+05,2.198e+03,5.190e+02,2.300e+05
60.3,2.439e+05,1.564e+03,4.131e+02,2.459e+05
62.0,2.585e+05,9.080e+02,2.697e+02,2.597e+05
63.7,2.762e+05,1.066e+03,2.885e+02,2.775e+05
65.3,2.975e+05,1.459e+03,3.891e+02,2.994e+05
67.0,3.260e+05,1.492e+03,4.371e+02,3.280e+05
68.7,3.585e+05,1.151e+03,4.306e+02,3.601e+05
70.4,3.922e+05,1.007e+03,4.617e+02,3.937e+05
72.0,4.298e+05,1.648e+03,6.910e+02,4.321e+05
73.7,4.781e+05,2.828e+03,1.593e+03,4.825e+05
75.4,5.398e+05,4.372e+03,2.537e+03,5.467e+05
77.1,6.151e+05,6.312e+03,3.140e+03,6.246e+05
78.7,7.090e+05,6.905e+03,3.798e+03,7.197e+05
80.4,8.206e+05,1.031e+04,4.573e+03,8.355e+05
82.1,9.139e+05,1.343e+04,4.553e+03,9.319e+05
83.8,1.067e+06,2.735e+04,4.141e+03,1.098e+06
85.4,1.274e+06,8.982e+04,4.105e+03,1.368e+06
87.1,1.512e+06,1.486e+05,4.701e+03,1.666e+06
88.8,1.738e+06,1.947e+05,7.041e+03,1.940e+06
90.5,1.861e+06,2.007e+05,1.254e+04,2.074e+06
92.1,1.886e+06,1.983e+05,1.962e+04,2.104e+06
93.8,1.889e+06,2.436e+05,2.630e+04,2.159e+06
95.5,1.799e+06,2.610e+05,3.125e+04,2.091e+06
97.2,1.568e+06,2.341e+05,3.338e+04,1.835e+06
98.8,1.296e+06,1.883e+05,3.418e+04,1.518e+06
100.5,1.048e+06,1.465e+05,3.483e+04,1.230e+06
102.2,8.171e+05,1.191e+05,4.166e+04,9.779e+05
103.9,6.698e+05,1.066e+05,6.189e+04,8.384e+05
105.5,5.346e+05,8.350e+04,7.464e+04,6.927e+05
107.2,3.942e+05,5.708e+04,5.834e+04,5.096e+05
108.9,3.032e+05,3.157e+04,2.949e+04,3.643e+05
110.6,2.669e+05,1.926e+04,1.445e+04,3.007e+05
112.2,2.698e+05,2.032e+04,1.344e+04,3.035e+05
