freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.668e+02,3.274e+03,1.354e+01,3.455e+03
1.7,3.273e+02,1.867e+03,5.881e+01,2.253e+03
3.4,3.636e+02,8.534e+01,7.065e+01,5.196e+02
5.0,3.993e+02,7.761e+02,6.312e+01,1.238e+03
6.7,3.817e+02,2.019e+03,6.130e+01,2.462e+03
8.4,4.599e+02,3.147e+03,6.502e+01,3.672e+03
10.1,4.851e+02,4.462e+03,6.915e+01,5.017e+03
11.7,5.128e+02,6.073e+03,6.973e+01,6.656e+03
13.4,4.733e+02,7.962e+03,6.304e+01,8.498e+03
15.1,4.427e+02,1.005e+04,6.477e+01,1.056e+04
16.8,4.170e+02,1.239e+04,7.256e+01,1.288e+04
18.4,4.274e+02,1.509e+04,7.567e+01,1.559e+04
20.1,4.587e+02,1.871e+04,8.234e+01,1.925e+04
21.8,4.747e+02,2.316e+04,8.778e+01,2.372e+04
23.5,5.343e+02,2.807e+04,9.016e+01,2.869e+04
25.1,5.306e+02,3.250e+04,8.686e+01,3.312e+04
26.8,4.929e+02,3.612e+04,8.825e+01,3.670e+04
28.5,4.749e+02,4.029e+04,9.159e+01,4.085e+04
30.2,4.648e+02,4.668e+04,1.010e+02,4.724e+04
31.8,4.632e+02,5.383e+04,9.512e+01,5.438e+04
33.5,5.330e+02,5.952e+04,8.304e+01,6.014e+04
35.2,5.550e+02,6.455e+04,7.482e+01,6.518e+04
36.9,5.288e+02,7.177e+04,8.558e+01,7.239e+04
38.6,5.389e+02,8.130e+04,1.060e+02,8.194e+04
40.2,6.141e+02,9.276e+04,1.426e+02,9.351e+04
41.9,7.117e+02,1.045e+05,1.961e+02,1.054e+05
43.6,9.475e+02,1.078e+05,1.747e+02,1.089e+05
45.3,1.275e+03,1.170e+05,1.257e+02,1.184e+05
46.9,1.808e+03,1.456e+05,1.033e+02,1.476e+05
48.6,2.457e+03,1.854e+05,1.092e+02,1.880e+05
50.3,3.246e+03,2.244e+05,1.819e+02,2.279e+05
52.0,4.030e+03,2.620e+05,2.781e+02,2.664e+05
53.6,5.176e+03,3.056e+05,3.679e+02,3.112e+05
55.3,7.588e+03,3.824e+05,5.243e+02,3.905e+05
57.0,1.289e+04,4.931e+05,8.254e+02,5.068e+05
58.7,2.250e+04,6.235e+05,1.259e+03,6.472e+05
60.3,3.609e+04,8.201e+05,2.007e+03,8.582e+05
62.0,5.246e+04,1.263e+06,3.613e+03,1.320e+06
63.7,7.740e+04,2.069e+06,6.294e+03,2.153e+06
65.4,1.131e+05,3.214e+06,8.111e+03,3.335e+06
67.1,1.368e+05,4.470e+06,7.141e+03,4.614e+06
68.7,1.345e+05,5.404e+06,4.879e+03,5.543e+06
70.4,1.116e+05,6.196e+06,3.428e+03,6.311e+06
72.1,8.649e+04,7.298e+06,3.040e+03,7.387e+06
73.8,7.250e+04,9.559e+06,2.549e+03,9.634e+06
75.4,8.298e+04,1.412e+07,1.892e+03,1.421e+07
77.1,1.182e+05,1.986e+07,1.910e+03,1.998e+07
78.8,1.633e+05,2.337e+07,3.389e+03,2.354e+07
80.5,2.064e+05,2.283e+07,4.388e+03,2.304e+07
82.1,2.280e+05,1.910e+07,3.693e+03,1.933e+07
83.8,2.156e+05,1.504e+07,2.144e+03,1.525e+07
85.5,1.978e+05,1.148e+07,8.008e+02,1.168e+07
87.2,1.937e+05,9.128e+06,4.894e+02,9.322e+06
88.8,1.810e+05,7.482e+06,3.090e+02,7.663e+06
90.5,1.675e+05,6.323e+06,3.453e+02,6.491e+06
92.2,1.514e+05,5.336e+06,1.353e+03,5.489e+06
93.9,1.486e+05,4.606e+06,2.772e+03,4.758e+06
95.5,1.572e+05,4.081e+06,3.906e+03,4.242e+06
97.2,1.648e+05,3.640e+06,4.824e+03,3.810e+06
98.9,1.738e+05,3.252e+06,4.546e+03,3.430e+06
100.6,1.800e+05,2.885e+06,3.928e+03,3.069e+06
102.3,1.816e+05,2.544e+06,4.700e+03,2.730e+06
103.9,1.727e+05,2.140e+06,7.347e+03,2.320e+06
105.6,1.585e+05,1.614e+06,1.028e+04,1.783e+06
107.3,1.425e+05,1.048e+06,1.307e+04,1.203e+06
109.0,1.213e+05,9.833e+05,1.555e+04,1.120e+06
110.6,1.296e+05,1.772e+06,9.012e+03,1.911e+06
112.3,1.432e+05,2.181e+06,5.968e+03,2.330e+06
114.0,1.308e+05,1.680e+06,4.241e+03,1.815e+06
115.7,1.120e+05,1.352e+06,1.858e+03,1.466e+06
117.3,1.702e+05,1.921e+06,1.657e+03,2.093e+06
119.0,2.130e+05,2.219e+06,2.371e+03,2.434e+06
120.7,2.119e+05,1.999e+06,2.042e+03,2.213e+06
122.4,2.223e+05,1.822e+06,1.455e+03,2.045e+06
124.0,2.281e+05,1.727e+06,9.651e+02,1.956e+06
125.7,2.089e+05,1.618e+06,9.355e+02,1.828e+06
127.4,1.644e+05,1.557e+06,1.424e+03,1.723e+06
129.1,1.421e+05,1.509e+06,2.070e+03,1.654e+06
130.8,1.476e+05,1.442e+06,2.579e+03,1.592e+06
132.4,1.503e+05,1.248e+06,2.245e+03,1.400e+06
134.1,7.286e+04,4.815e+05,9.175e+02,5.553e+05
135.8,3.202e+04,8.659e+04,3.138e+02,1.189e+05
137.5,3.525e+04,7.721e+04,3.099e+02,1.128e+05
139.1,3.987e+04,7.975e+04,3.514e+02,1.200e+05
140.8,4.376e+04,8.270e+04,4.376e+02,1.269e+05
142.5,4.558e+04,9.330e+04,5.048e+02,1.394e+05
144.2,4.513e+04,1.002e+05,5.009e+02,1.458e+05
145.8,4.708e+04,1.065e+05,4.836e+02,1.541e+05
147.5,4.826e+04,1.198e+05,5.059e+02,1.686e+05
149.2,6.350e+04,1.335e+05,5.970e+02,1.976e+05
150.9,9.477e+04,1.472e+05,7.178e+02,2.427e+05
152.5,1.382e+05,1.574e+05,9.183e+02,2.965e+05
154.2,1.686e+05,1.701e+05,1.163e+03,3.399e+05
155.9,1.865e+05,1.737e+05,1.410e+03,3.616e+05
157.6,1.866e+05,1.655e+05,1.605e+03,3.537e+05
159.2,1.730e+05,1.469e+05,1.694e+03,3.217e+05
160.9,1.588e+05,1.253e+05,1.684e+03,2.858e+05
162.6,1.296e+05,1.029e+05,1.491e+03,2.340e+05
164.3,9.168e+04,8.937e+04,1.816e+03,1.829e+05
166.0,1.044e+05,9.396e+04,2.233e+03,2.006e+05
167.6,1.092e+05,9.538e+04,1.883e+03,2.064e+05
169.3,9.937e+04,8.158e+04,1.785e+03,1.827e+05
171.0,1.032e+05,7.304e+04,1.822e+03,1.781e+05
172.7,8.756e+04,7.829e+04,1.653e+03,1.675e+05
174.3,8.817e+04,7.866e+04,1.720e+03,1.686e+05
176.0,1.002e+05,7.656e+04,1.966e+03,1.788e+05
177.7,1.191e+05,7.638e+04,2.243e+03,1.977e+05
179.4,1.279e+05,7.841e+04,2.466e+03,2.088e+05
