parameters,median_magnitude,toff
current=2000_tbl=0_toff=2_hstrt=2_hend=2_speed=100,5135.414665481603,2
current=2000_tbl=1_toff=2_hstrt=2_hend=2_speed=100,4525.8733092557995,2
current=2000_tbl=2_toff=2_hstrt=2_hend=2_speed=100,4118.286602921977,2
current=2010_tbl=0_toff=2_hstrt=2_hend=2_speed=100,5139.853030855361,2
current=2010_tbl=1_toff=2_hstrt=2_hend=2_speed=100,4611.257259464024,2
current=2010_tbl=2_toff=2_hstrt=2_hend=2_speed=100,4233.531119316436,2
current=2020_tbl=0_toff=2_hstrt=2_hend=2_speed=100,5036.607090767865,2
current=2020_tbl=1_toff=2_hstrt=2_hend=2_speed=100,4717.629629166989,2
current=2020_tbl=2_toff=2_hstrt=2_hend=2_speed=100,4296.316746124017,2
current=2030_tbl=0_toff=2_hstrt=2_hend=2_speed=100,5171.169650888777,2
current=2030_tbl=1_toff=2_hstrt=2_hend=2_speed=100,4955.643497898722,2
current=2030_tbl=2_toff=2_hstrt=2_hend=2_speed=100,4391.623744220075,2
current=2040_tbl=0_toff=2_hstrt=2_hend=2_speed=100,5309.875102612755,2
current=2040_tbl=1_toff=2_hstrt=2_hend=2_speed=100,4888.096769525221,2
current=2040_tbl=2_toff=2_hstrt=2_hend=2_speed=100,4402.273390587719,2
current=2050_tbl=0_toff=2_hstrt=2_hend=2_speed=100,5322.266671279304,2
current=2050_tbl=1_toff=2_hstrt=2_hend=2_speed=100,4904.304560454474,2
current=2050_tbl=2_toff=2_hstrt=2_hend=2_speed=100,4449.29768721625,2
current=2060_tbl=0_toff=2_hstrt=2_hend=2_speed=100,5432.187679985138,2
current=2060_tbl=1_toff=2_hstrt=2_hend=2_speed=100,5119.195075354633,2
current=2060_tbl=2_toff=2_hstrt=2_hend=2_speed=100,4447.748834431778,2
current=2070_tbl=0_toff=2_hstrt=2_hend=2_speed=100,5601.476168649345,2
current=2070_tbl=1_toff=2_hstrt=2_hend=2_speed=100,5305.319664667003,2
current=2070_tbl=2_toff=2_hstrt=2_hend=2_speed=100,4550.406851964937,2
current=2080_tbl=0_toff=2_hstrt=2_hend=2_speed=100,5829.329759497072,2
current=2080_tbl=1_toff=2_hstrt=2_hend=2_speed=100,5343.712040838942,2
current=2080_tbl=2_toff=2_hstrt=2_hend=2_speed=100,4732.142875822286,2
current=2090_tbl=0_toff=2_hstrt=2_hend=2_speed=100,6190.111043964583,2
current=2090_tbl=1_toff=2_hstrt=2_hend=2_speed=100,5339.010043002292,2
current=2090_tbl=2_toff=2_hstrt=2_hend=2_speed=100,4868.836158247251,2
current=2100_tbl=0_toff=2_hstrt=2_hend=2_speed=100,6098.424069133028,2
current=2100_tbl=1_toff=2_hstrt=2_hend=2_speed=100,5283.94169961039,2
current=2100_tbl=2_toff=2_hstrt=2_hend=2_speed=100,4825.394506722344,2
