freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.525e+02,9.749e+02,2.025e+01,1.448e+03
1.7,2.067e+03,6.593e+02,9.604e+01,2.823e+03
3.3,2.095e+03,2.058e+02,1.087e+02,2.409e+03
5.0,2.377e+03,8.350e+02,1.081e+02,3.320e+03
6.7,2.144e+03,2.036e+03,9.883e+01,4.279e+03
8.4,2.325e+03,3.112e+03,1.076e+02,5.545e+03
10.0,2.563e+03,4.441e+03,1.145e+02,7.119e+03
11.7,2.606e+03,6.122e+03,1.065e+02,8.834e+03
13.4,2.292e+03,8.032e+03,1.052e+02,1.043e+04
15.1,2.716e+03,1.024e+04,1.122e+02,1.306e+04
16.7,2.441e+03,1.293e+04,1.091e+02,1.548e+04
18.4,2.303e+03,1.616e+04,1.197e+02,1.858e+04
20.1,2.192e+03,1.972e+04,1.209e+02,2.203e+04
21.8,2.252e+03,2.311e+04,1.315e+02,2.550e+04
23.4,2.330e+03,2.668e+04,1.302e+02,2.914e+04
25.1,2.088e+03,3.199e+04,1.175e+02,3.420e+04
26.8,2.262e+03,3.836e+04,1.372e+02,4.076e+04
28.5,1.948e+03,4.283e+04,1.305e+02,4.491e+04
30.1,1.950e+03,4.633e+04,1.322e+02,4.842e+04
31.8,1.716e+03,5.005e+04,1.205e+02,5.189e+04
33.5,1.705e+03,5.445e+04,1.198e+02,5.627e+04
35.2,1.935e+03,6.040e+04,1.326e+02,6.247e+04
36.8,2.083e+03,6.850e+04,1.617e+02,7.075e+04
38.5,2.186e+03,8.191e+04,2.198e+02,8.431e+04
40.2,2.106e+03,1.052e+05,2.982e+02,1.076e+05
41.9,1.946e+03,1.346e+05,4.017e+02,1.369e+05
43.5,2.097e+03,1.637e+05,4.856e+02,1.663e+05
45.2,2.364e+03,1.978e+05,6.070e+02,2.008e+05
46.9,2.478e+03,2.314e+05,7.501e+02,2.346e+05
48.6,2.584e+03,2.719e+05,8.439e+02,2.754e+05
50.2,3.075e+03,3.468e+05,1.244e+03,3.511e+05
51.9,3.188e+03,4.475e+05,2.068e+03,4.527e+05
53.6,4.211e+03,5.822e+05,3.317e+03,5.897e+05
55.3,5.501e+03,7.316e+05,4.768e+03,7.419e+05
56.9,7.980e+03,8.481e+05,5.609e+03,8.617e+05
58.6,8.260e+03,8.687e+05,5.402e+03,8.824e+05
60.3,6.950e+03,8.578e+05,4.790e+03,8.696e+05
61.9,7.271e+03,9.657e+05,4.547e+03,9.775e+05
63.6,8.008e+03,1.076e+06,4.438e+03,1.088e+06
65.3,9.402e+03,1.161e+06,4.800e+03,1.175e+06
67.0,1.144e+04,1.224e+06,5.372e+03,1.240e+06
68.6,1.355e+04,1.314e+06,5.946e+03,1.334e+06
70.3,1.618e+04,1.533e+06,6.648e+03,1.556e+06
72.0,1.806e+04,2.029e+06,7.184e+03,2.054e+06
73.7,2.003e+04,2.837e+06,6.548e+03,2.864e+06
75.3,2.134e+04,3.570e+06,4.726e+03,3.596e+06
77.0,2.197e+04,3.755e+06,2.973e+03,3.780e+06
78.7,2.378e+04,3.492e+06,2.159e+03,3.518e+06
80.4,3.031e+04,2.995e+06,1.715e+03,3.027e+06
82.0,3.828e+04,2.654e+06,2.540e+03,2.695e+06
83.7,4.012e+04,2.483e+06,4.652e+03,2.528e+06
85.4,3.873e+04,2.211e+06,4.524e+03,2.254e+06
87.1,3.998e+04,1.919e+06,3.283e+03,1.963e+06
88.7,4.128e+04,1.615e+06,2.980e+03,1.659e+06
90.4,4.143e+04,1.340e+06,3.245e+03,1.384e+06
92.1,4.117e+04,1.124e+06,3.262e+03,1.169e+06
93.8,4.198e+04,9.577e+05,2.275e+03,1.002e+06
95.4,4.199e+04,8.271e+05,1.089e+03,8.702e+05
97.1,4.134e+04,7.319e+05,1.341e+03,7.746e+05
98.8,3.599e+04,6.448e+05,3.000e+03,6.838e+05
100.5,3.269e+04,5.824e+05,4.116e+03,6.192e+05
102.1,3.314e+04,5.202e+05,4.490e+03,5.578e+05
103.8,3.356e+04,4.758e+05,4.517e+03,5.139e+05
105.5,3.395e+04,4.372e+05,4.234e+03,4.753e+05
107.2,3.408e+04,4.094e+05,3.444e+03,4.469e+05
108.8,3.412e+04,3.718e+05,2.732e+03,4.087e+05
110.5,3.484e+04,3.237e+05,2.198e+03,3.608e+05
112.2,3.736e+04,2.774e+05,1.660e+03,3.164e+05
113.9,3.835e+04,2.120e+05,1.181e+03,2.515e+05
115.5,3.741e+04,1.483e+05,8.290e+02,1.865e+05
117.2,3.339e+04,2.074e+05,5.996e+02,2.414e+05
