freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.323e+02,9.724e+01,2.058e+01,5.501e+02
1.7,3.712e+02,8.081e+01,5.931e+01,5.113e+02
3.3,2.045e+02,3.113e+01,5.794e+01,2.935e+02
5.0,8.517e+02,3.335e+01,5.689e+01,9.420e+02
6.7,2.065e+03,3.505e+01,5.837e+01,2.159e+03
8.3,3.167e+03,3.734e+01,6.299e+01,3.267e+03
10.0,4.422e+03,3.809e+01,6.055e+01,4.520e+03
11.7,5.897e+03,3.441e+01,5.951e+01,5.991e+03
13.4,7.558e+03,3.584e+01,6.381e+01,7.657e+03
15.0,9.495e+03,3.547e+01,6.272e+01,9.593e+03
16.7,1.167e+04,4.198e+01,6.274e+01,1.178e+04
18.4,1.392e+04,4.512e+01,6.291e+01,1.403e+04
20.0,1.649e+04,4.465e+01,6.490e+01,1.660e+04
21.7,1.932e+04,5.690e+01,6.294e+01,1.944e+04
23.4,2.238e+04,8.403e+01,6.082e+01,2.252e+04
25.0,2.566e+04,1.012e+02,6.273e+01,2.583e+04
26.7,2.851e+04,1.363e+02,6.177e+01,2.871e+04
28.4,3.166e+04,1.644e+02,6.531e+01,3.189e+04
30.1,3.574e+04,1.865e+02,6.892e+01,3.600e+04
31.7,4.021e+04,2.227e+02,6.477e+01,4.050e+04
33.4,4.495e+04,2.497e+02,7.024e+01,4.527e+04
35.1,5.023e+04,2.421e+02,7.893e+01,5.056e+04
36.7,5.618e+04,2.404e+02,7.895e+01,5.649e+04
38.4,6.149e+04,3.142e+02,7.866e+01,6.188e+04
40.1,6.777e+04,5.836e+02,7.514e+01,6.843e+04
41.7,7.636e+04,1.011e+03,6.753e+01,7.744e+04
43.4,8.493e+04,1.482e+03,6.522e+01,8.647e+04
45.1,9.323e+04,1.950e+03,6.588e+01,9.525e+04
46.8,1.031e+05,2.387e+03,6.545e+01,1.056e+05
48.4,1.148e+05,2.683e+03,7.170e+01,1.176e+05
50.1,1.296e+05,3.011e+03,7.846e+01,1.327e+05
51.8,1.454e+05,3.115e+03,8.325e+01,1.486e+05
53.4,1.599e+05,2.810e+03,8.346e+01,1.628e+05
55.1,1.751e+05,2.136e+03,9.941e+01,1.773e+05
56.8,1.925e+05,1.607e+03,1.310e+02,1.943e+05
58.4,2.104e+05,1.869e+03,1.612e+02,2.124e+05
60.1,2.291e+05,2.945e+03,1.954e+02,2.322e+05
61.8,2.505e+05,3.249e+03,2.217e+02,2.540e+05
63.5,2.790e+05,2.326e+03,2.210e+02,2.815e+05
65.1,3.112e+05,3.619e+03,2.165e+02,3.150e+05
66.8,3.491e+05,1.760e+04,3.014e+02,3.670e+05
68.5,3.996e+05,4.944e+04,5.739e+02,4.497e+05
70.1,4.609e+05,1.064e+05,9.880e+02,5.683e+05
71.8,5.338e+05,2.169e+05,1.619e+03,7.523e+05
73.5,6.112e+05,4.500e+05,2.805e+03,1.064e+06
75.1,6.749e+05,7.250e+05,4.198e+03,1.404e+06
76.8,7.782e+05,5.680e+05,7.381e+03,1.354e+06
78.5,8.917e+05,2.356e+05,1.269e+04,1.140e+06
80.2,9.581e+05,1.848e+05,1.944e+04,1.162e+06
81.8,1.003e+06,1.931e+05,3.016e+04,1.226e+06
83.5,1.070e+06,2.241e+05,4.816e+04,1.342e+06
85.2,1.127e+06,2.614e+05,7.304e+04,1.461e+06
86.8,1.113e+06,2.539e+05,9.318e+04,1.460e+06
88.5,1.037e+06,2.402e+05,1.031e+05,1.380e+06
90.2,9.388e+05,2.230e+05,1.045e+05,1.266e+06
91.8,8.368e+05,1.929e+05,9.501e+04,1.125e+06
93.5,7.507e+05,1.661e+05,8.564e+04,1.002e+06
95.2,6.994e+05,1.573e+05,7.974e+04,9.365e+05
96.9,6.596e+05,1.706e+05,6.059e+04,8.908e+05
98.5,6.180e+05,1.675e+05,3.677e+04,8.222e+05
100.2,5.817e+05,1.502e+05,2.322e+04,7.551e+05
101.9,5.355e+05,1.203e+05,1.990e+04,6.757e+05
103.5,4.599e+05,9.109e+04,1.899e+04,5.700e+05
105.2,4.090e+05,8.547e+04,1.591e+04,5.104e+05
106.9,3.713e+05,8.607e+04,1.223e+04,4.696e+05
108.5,2.929e+05,8.313e+04,9.510e+03,3.855e+05
110.2,2.224e+05,1.064e+05,8.853e+03,3.377e+05
111.9,1.794e+05,1.452e+05,8.164e+03,3.327e+05
113.6,1.562e+05,1.555e+05,6.197e+03,3.179e+05
115.2,1.340e+05,1.409e+05,4.115e+03,2.790e+05
116.9,1.177e+05,1.300e+05,2.544e+03,2.502e+05
118.6,1.223e+05,1.129e+05,1.333e+03,2.365e+05
120.2,1.451e+05,7.812e+04,5.159e+02,2.237e+05
121.9,1.721e+05,4.634e+04,2.311e+02,2.186e+05
123.6,1.805e+05,6.603e+04,4.001e+02,2.470e+05
125.2,1.934e+05,8.810e+04,8.384e+02,2.823e+05
126.9,2.133e+05,1.477e+05,1.088e+03,3.621e+05
128.6,2.341e+05,1.362e+05,1.627e+03,3.720e+05
130.3,2.590e+05,1.209e+05,2.352e+03,3.822e+05
131.9,2.660e+05,1.172e+05,2.593e+03,3.858e+05
133.6,1.498e+05,6.276e+04,1.529e+03,2.141e+05
135.3,1.572e+04,6.603e+03,3.425e+02,2.266e+04
136.9,5.134e+03,1.889e+03,2.669e+02,7.291e+03
138.6,6.864e+03,1.798e+03,2.756e+02,8.937e+03
140.3,8.713e+03,1.736e+03,2.629e+02,1.071e+04
141.9,1.026e+04,1.559e+03,2.462e+02,1.206e+04
143.6,1.128e+04,1.311e+03,2.392e+02,1.283e+04
145.3,1.317e+04,1.116e+03,2.255e+02,1.452e+04
146.9,1.659e+04,1.152e+03,2.316e+02,1.797e+04
148.6,1.998e+04,1.608e+03,2.533e+02,2.184e+04
150.3,2.542e+04,2.229e+03,2.974e+02,2.795e+04
152.0,3.515e+04,2.910e+03,3.363e+02,3.839e+04
153.6,4.016e+04,2.153e+03,3.447e+02,4.266e+04
155.3,4.589e+04,1.410e+03,3.353e+02,4.763e+04
157.0,5.124e+04,1.160e+03,3.047e+02,5.270e+04
158.6,5.963e+04,9.127e+02,3.246e+02,6.087e+04
160.3,7.003e+04,8.157e+02,3.487e+02,7.120e+04
162.0,7.637e+04,7.342e+02,3.444e+02,7.745e+04
163.6,8.618e+04,7.391e+02,3.508e+02,8.727e+04
165.3,1.030e+05,7.473e+02,3.812e+02,1.041e+05
167.0,1.260e+05,7.859e+02,4.417e+02,1.272e+05
168.7,1.498e+05,1.042e+03,5.165e+02,1.514e+05
170.3,1.624e+05,1.115e+03,5.741e+02,1.641e+05
172.0,1.767e+05,1.133e+03,6.739e+02,1.785e+05
173.7,1.869e+05,1.263e+03,7.562e+02,1.889e+05
175.3,1.923e+05,1.310e+03,8.255e+02,1.944e+05
177.0,2.050e+05,1.177e+03,9.477e+02,2.071e+05
178.7,2.142e+05,1.132e+03,1.061e+03,2.164e+05
180.3,2.223e+05,1.345e+03,1.109e+03,2.248e+05
182.0,2.246e+05,1.300e+03,1.096e+03,2.270e+05
183.7,2.286e+05,1.255e+03,1.043e+03,2.309e+05
185.4,2.379e+05,1.430e+03,1.059e+03,2.404e+05
187.0,2.317e+05,1.268e+03,9.429e+02,2.339e+05
188.7,2.194e+05,1.116e+03,8.105e+02,2.213e+05
190.4,1.997e+05,1.056e+03,6.812e+02,2.015e+05
192.0,1.910e+05,9.197e+02,5.970e+02,1.925e+05
193.7,1.777e+05,7.732e+02,4.855e+02,1.790e+05
195.4,1.557e+05,8.142e+02,4.030e+02,1.569e+05
197.0,1.328e+05,1.486e+03,3.595e+02,1.347e+05
198.7,1.121e+05,2.776e+03,2.975e+02,1.152e+05
