freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.468e+02,2.132e+01,1.595e+01,6.841e+02
1.7,8.279e+02,5.687e+01,5.921e+01,9.440e+02
3.3,6.145e+02,5.395e+01,5.976e+01,7.282e+02
5.0,1.348e+03,4.547e+01,6.621e+01,1.460e+03
6.7,2.588e+03,4.684e+01,6.561e+01,2.700e+03
8.3,3.732e+03,4.967e+01,6.207e+01,3.843e+03
10.0,5.073e+03,4.389e+01,6.459e+01,5.181e+03
11.6,6.646e+03,4.477e+01,6.579e+01,6.757e+03
13.3,8.520e+03,4.655e+01,6.745e+01,8.634e+03
15.0,1.063e+04,4.167e+01,6.292e+01,1.074e+04
16.6,1.303e+04,4.667e+01,6.090e+01,1.314e+04
18.3,1.577e+04,5.637e+01,6.846e+01,1.589e+04
20.0,1.861e+04,5.933e+01,7.576e+01,1.875e+04
21.6,2.178e+04,6.327e+01,6.242e+01,2.191e+04
23.3,2.510e+04,8.354e+01,6.117e+01,2.524e+04
25.0,2.842e+04,8.852e+01,6.687e+01,2.858e+04
26.6,3.149e+04,7.785e+01,6.612e+01,3.164e+04
28.3,3.514e+04,7.362e+01,6.698e+01,3.528e+04
29.9,3.985e+04,8.563e+01,6.838e+01,4.000e+04
31.6,4.484e+04,9.863e+01,7.378e+01,4.501e+04
33.3,4.956e+04,1.304e+02,7.716e+01,4.977e+04
34.9,5.473e+04,2.242e+02,8.708e+01,5.504e+04
36.6,6.053e+04,3.926e+02,9.837e+01,6.102e+04
38.3,6.773e+04,6.781e+02,9.835e+01,6.851e+04
39.9,7.631e+04,1.029e+03,9.437e+01,7.744e+04
41.6,8.556e+04,1.365e+03,8.515e+01,8.701e+04
43.3,9.449e+04,1.675e+03,8.227e+01,9.624e+04
44.9,1.026e+05,1.754e+03,7.153e+01,1.044e+05
46.6,1.122e+05,1.553e+03,6.539e+01,1.138e+05
48.3,1.228e+05,1.368e+03,7.716e+01,1.242e+05
49.9,1.329e+05,1.451e+03,8.676e+01,1.344e+05
51.6,1.432e+05,1.545e+03,8.470e+01,1.449e+05
53.2,1.544e+05,1.440e+03,8.019e+01,1.559e+05
54.9,1.677e+05,1.160e+03,1.005e+02,1.689e+05
56.6,1.829e+05,9.911e+02,1.215e+02,1.840e+05
58.2,1.998e+05,1.116e+03,1.279e+02,2.011e+05
59.9,2.141e+05,1.463e+03,1.570e+02,2.158e+05
61.6,2.296e+05,2.471e+03,1.726e+02,2.322e+05
63.2,2.495e+05,3.968e+03,1.411e+02,2.536e+05
64.9,2.725e+05,5.056e+03,1.464e+02,2.777e+05
66.6,2.973e+05,5.768e+03,1.780e+02,3.032e+05
68.2,3.262e+05,7.336e+03,2.601e+02,3.338e+05
69.9,3.597e+05,9.251e+03,3.795e+02,3.693e+05
71.5,3.958e+05,1.057e+04,4.983e+02,4.068e+05
73.2,4.408e+05,9.733e+03,7.304e+02,4.512e+05
74.9,4.956e+05,9.832e+03,1.187e+03,5.066e+05
76.5,5.634e+05,1.284e+04,1.719e+03,5.779e+05
78.2,6.508e+05,2.086e+04,2.732e+03,6.744e+05
79.9,7.605e+05,3.185e+04,5.382e+03,7.978e+05
81.5,8.742e+05,3.753e+04,9.051e+03,9.208e+05
83.2,1.023e+06,3.902e+04,1.268e+04,1.074e+06
84.9,1.198e+06,3.843e+04,1.603e+04,1.252e+06
86.5,1.344e+06,3.064e+04,1.891e+04,1.394e+06
88.2,1.502e+06,1.594e+04,1.980e+04,1.538e+06
89.8,1.712e+06,1.495e+04,2.000e+04,1.746e+06
91.5,1.845e+06,2.393e+04,2.180e+04,1.891e+06
93.2,1.796e+06,2.058e+04,2.295e+04,1.839e+06
94.8,1.588e+06,1.026e+04,2.308e+04,1.621e+06
96.5,1.403e+06,9.021e+03,2.304e+04,1.435e+06
98.2,1.468e+06,8.373e+03,3.143e+04,1.508e+06
99.8,1.307e+06,7.679e+03,3.932e+04,1.354e+06
101.5,1.041e+06,1.031e+04,3.961e+04,1.091e+06
103.2,8.719e+05,1.446e+04,3.869e+04,9.250e+05
104.8,7.194e+05,1.600e+04,4.062e+04,7.760e+05
106.5,5.540e+05,1.296e+04,4.054e+04,6.074e+05
108.2,4.211e+05,1.445e+04,3.245e+04,4.680e+05
109.8,3.556e+05,1.601e+04,2.160e+04,3.932e+05
111.5,3.292e+05,1.029e+04,1.097e+04,3.505e+05
113.1,3.208e+05,1.960e+04,4.282e+03,3.447e+05
114.8,3.195e+05,4.258e+04,2.105e+03,3.642e+05
116.5,3.754e+05,9.852e+04,2.116e+03,4.760e+05
118.1,4.540e+05,1.176e+05,3.484e+03,5.751e+05
119.8,5.175e+05,8.054e+04,4.750e+03,6.028e+05
121.5,6.235e+05,5.698e+04,5.506e+03,6.859e+05
123.1,7.874e+05,5.045e+04,6.813e+03,8.447e+05
124.8,9.165e+05,4.338e+04,7.547e+03,9.674e+05
126.5,9.758e+05,2.999e+04,6.826e+03,1.013e+06
128.1,1.009e+06,1.933e+04,8.144e+03,1.037e+06
129.8,1.073e+06,1.960e+04,1.161e+04,1.105e+06
131.4,1.157e+06,2.940e+04,1.473e+04,1.201e+06
133.1,9.120e+05,2.848e+04,1.272e+04,9.532e+05
134.8,2.009e+05,7.501e+03,2.883e+03,2.112e+05
136.4,3.746e+04,2.090e+03,6.498e+02,4.020e+04
138.1,4.137e+04,1.881e+03,7.763e+02,4.402e+04
139.8,4.659e+04,1.756e+03,8.499e+02,4.920e+04
141.4,5.062e+04,1.628e+03,8.865e+02,5.313e+04
143.1,5.376e+04,1.577e+03,8.429e+02,5.618e+04
144.8,5.821e+04,1.657e+03,7.995e+02,6.067e+04
146.4,6.094e+04,1.681e+03,7.627e+02,6.338e+04
148.1,6.439e+04,1.834e+03,7.458e+02,6.697e+04
149.7,6.983e+04,1.974e+03,8.458e+02,7.265e+04
151.4,7.856e+04,2.028e+03,9.076e+02,8.150e+04
153.1,9.210e+04,1.968e+03,9.391e+02,9.500e+04
154.7,1.136e+05,1.894e+03,9.322e+02,1.164e+05
156.4,1.383e+05,2.090e+03,9.611e+02,1.414e+05
158.1,1.535e+05,2.291e+03,9.637e+02,1.567e+05
159.7,1.751e+05,2.579e+03,9.330e+02,1.786e+05
161.4,2.082e+05,3.025e+03,9.836e+02,2.122e+05
163.1,2.401e+05,3.532e+03,1.009e+03,2.446e+05
164.7,2.735e+05,4.167e+03,1.040e+03,2.787e+05
166.4,3.157e+05,5.279e+03,1.119e+03,3.221e+05
168.1,3.654e+05,6.480e+03,1.239e+03,3.731e+05
169.7,4.019e+05,6.972e+03,1.338e+03,4.102e+05
171.4,4.516e+05,7.488e+03,1.376e+03,4.604e+05
173.0,5.075e+05,7.935e+03,1.455e+03,5.169e+05
174.7,5.637e+05,7.620e+03,1.621e+03,5.730e+05
176.4,6.101e+05,7.563e+03,1.783e+03,6.194e+05
178.0,6.578e+05,7.626e+03,1.915e+03,6.673e+05
179.7,6.940e+05,8.006e+03,2.021e+03,7.040e+05
181.4,7.156e+05,8.231e+03,2.144e+03,7.260e+05
183.0,7.068e+05,8.600e+03,2.161e+03,7.175e+05
184.7,7.160e+05,8.021e+03,2.096e+03,7.262e+05
186.4,6.818e+05,7.072e+03,1.934e+03,6.908e+05
188.0,6.596e+05,6.358e+03,1.800e+03,6.677e+05
189.7,6.200e+05,7.205e+03,1.489e+03,6.287e+05
191.3,5.537e+05,1.149e+04,1.244e+03,5.665e+05
193.0,5.103e+05,2.132e+04,1.263e+03,5.329e+05
194.7,5.101e+05,2.392e+04,1.468e+03,5.355e+05
196.3,5.079e+05,6.025e+03,1.403e+03,5.154e+05
198.0,4.747e+05,1.694e+03,1.413e+03,4.778e+05
199.7,4.490e+05,1.255e+03,1.390e+03,4.516e+05
